request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P1_c2_r0,SUSTAINED_P1,97,64000,61952,2048,1,0.49214625358581543,0.49214625358581543,0.0005750656127929688,0.4927253723144531,1766196550.3245714,1766196550.8172967,2,0.0,1766196550.8167176,[1766196550.8167186],[1]
P1_c2_r1,SUSTAINED_P1,97,64000,61952,2048,1,0.6622121334075928,0.6622121334075928,0.0005691051483154297,0.6627852916717529,1766196550.3733404,1766196551.0361257,2,0.0,1766196551.0355525,[1766196551.035554],[1]
P1_c2_r2,SUSTAINED_P1,97,64000,61952,2048,1,0.4201934337615967,0.4201934337615967,0.0005283355712890625,0.42072629928588867,1766196550.8634777,1766196551.284204,2,0.0,1766196551.2836711,[1766196551.2836723],[1]
P1_c2_r3,SUSTAINED_P1,97,64000,61952,2048,1,0.4519388675689697,0.4519388675689697,0.0005586147308349609,0.4525017738342285,1766196551.0715714,1766196551.5240731,2,0.0,1766196551.5235102,[1766196551.5235116],[1]
P1_c2_r4,SUSTAINED_P1,97,64000,61952,2048,1,0.44010400772094727,0.44010400772094727,0.0005621910095214844,0.4406712055206299,1766196551.3210635,1766196551.7617347,2,0.0,1766196551.7611675,[1766196551.7611694],[1]
P1_c2_r5,SUSTAINED_P1,97,64000,61952,2048,1,0.439971923828125,0.439971923828125,0.0005707740783691406,0.44054698944091797,1766196551.5607276,1766196552.0012746,2,0.0,1766196552.0006995,[1766196552.0007005],[1]
P1_c2_r6,SUSTAINED_P1,97,64000,61952,2048,1,0.42005133628845215,0.42005133628845215,0.0005724430084228516,0.4206275939941406,1766196551.7979183,1766196552.218546,2,0.0,1766196552.2179697,[1766196552.2179706],[1]
P1_c2_r7,SUSTAINED_P1,97,64000,61952,2048,1,0.45243215560913086,0.45243215560913086,0.0005812644958496094,0.4530181884765625,1766196552.037833,1766196552.4908512,2,0.0,1766196552.4902651,[1766196552.4902663],[1]
P1_c2_r8,SUSTAINED_P1,97,64000,61952,2048,1,0.45006442070007324,0.45006442070007324,0.0005271434783935547,0.4505958557128906,1766196552.2549908,1766196552.7055867,2,0.0,1766196552.7050552,[1766196552.7050562],[1]
P1_c2_r9,SUSTAINED_P1,97,64000,61952,2048,1,0.41262388229370117,0.41262388229370117,0.0005779266357421875,0.4132063388824463,1766196552.527923,1766196552.9411294,2,0.0,1766196552.940547,[1766196552.9405484],[1]
P1_c2_r10,SUSTAINED_P1,97,64000,61952,2048,1,0.4143815040588379,0.4143815040588379,0.0005147457122802734,0.4149007797241211,1766196552.7413194,1766196553.1562202,2,0.0,1766196553.155701,[1766196553.155702],[1]
P1_c2_r11,SUSTAINED_P1,97,64000,61952,2048,1,0.4170506000518799,0.4170506000518799,0.0005602836608886719,0.4176158905029297,1766196552.977727,1766196553.3953428,2,0.0,1766196553.3947775,[1766196553.394779],[1]
P1_c2_r12,SUSTAINED_P1,97,64000,61952,2048,1,0.44110679626464844,0.44110679626464844,0.0005393028259277344,0.4416501522064209,1766196553.1916986,1766196553.6333487,2,0.0,1766196553.6328053,[1766196553.6328065],[1]
P1_c2_r13,SUSTAINED_P1,97,64000,61952,2048,1,0.4180638790130615,0.4180638790130615,0.0005295276641845703,0.4185976982116699,1766196553.432012,1766196553.8506098,2,0.0,1766196553.850076,[1766196553.850077],[1]
P1_c2_r14,SUSTAINED_P1,97,64000,61952,2048,1,0.39197874069213867,0.39197874069213867,0.0005772113800048828,0.3925604820251465,1766196553.6687481,1766196554.0613086,2,0.0,1766196554.060727,[1766196554.060728],[1]
P1_c2_r15,SUSTAINED_P1,97,64000,61952,2048,1,0.390491247177124,0.390491247177124,0.0005199909210205078,0.39101552963256836,1766196553.8947666,1766196554.285782,2,0.0,1766196554.2852578,[1766196554.285259],[1]
P1_c2_r16,SUSTAINED_P1,97,64000,61952,2048,1,0.40393614768981934,0.40393614768981934,0.0005764961242675781,0.40451717376708984,1766196554.097542,1766196554.5020592,2,0.0,1766196554.5014782,[1766196554.5014796],[1]
P1_c2_r17,SUSTAINED_P1,97,64000,61952,2048,1,0.3987448215484619,0.3987448215484619,0.0005307197570800781,0.3992805480957031,1766196554.322092,1766196554.7213726,2,0.0,1766196554.7208369,[1766196554.7208385],[1]
P1_c2_r18,SUSTAINED_P1,97,64000,61952,2048,1,0.3898918628692627,0.3898918628692627,0.0005898475646972656,0.3904862403869629,1766196554.5390751,1766196554.9295614,2,0.0,1766196554.928967,[1766196554.9289684],[1]
P1_c2_r19,SUSTAINED_P1,97,64000,61952,2048,1,0.42547082901000977,0.42547082901000977,0.0005316734313964844,0.4260072708129883,1766196554.7568896,1766196555.1828969,2,0.0,1766196555.1823604,[1766196555.1823616],[1]
P1_c2_r20,SUSTAINED_P1,97,64000,61952,2048,1,0.423750638961792,0.423750638961792,0.0005786418914794922,0.4243333339691162,1766196554.9663475,1766196555.3906808,2,0.0,1766196555.390098,[1766196555.3900993],[1]
P1_c2_r21,SUSTAINED_P1,97,64000,61952,2048,1,0.4313817024230957,0.4313817024230957,0.0005207061767578125,0.43190646171569824,1766196555.2186315,1766196555.650538,2,0.0,1766196555.6500132,[1766196555.6500142],[1]
P1_c2_r22,SUSTAINED_P1,97,64000,61952,2048,1,0.4414341449737549,0.4414341449737549,0.0006010532379150391,0.44203996658325195,1766196555.4274368,1766196555.8694768,2,0.0,1766196555.868871,[1766196555.8688724],[1]
P1_c2_r23,SUSTAINED_P1,97,64000,61952,2048,1,0.39421892166137695,0.39421892166137695,0.000522613525390625,0.3947455883026123,1766196555.6863651,1766196556.0811107,2,0.0,1766196556.080584,[1766196556.0805852],[1]
P1_c2_r24,SUSTAINED_P1,97,64000,61952,2048,1,0.42550110816955566,0.42550110816955566,0.0006601810455322266,0.4261665344238281,1766196555.9063928,1766196556.3325593,2,0.0,1766196556.331894,[1766196556.331895],[1]
