request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.42513394355773926,0.42513418197631836,0.00035691261291503906,0.42549753189086914,1773169207.0501697,1773169207.4756672,1,0.0
P1_c1_r1,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35845017433166504,0.35845041275024414,0.00033855438232421875,0.3587946891784668,1773169207.516169,1773169207.8749638,1,0.0
P1_c1_r2,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3630547523498535,0.3630549907684326,0.0003311634063720703,0.3633909225463867,1773169207.915465,1773169208.278856,1,0.0
P1_c1_r3,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.5121042728424072,0.5121045112609863,0.0003750324249267578,0.5124833583831787,1773169208.3192215,1773169208.8317049,1,0.0
P1_c1_r4,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.5848782062530518,0.5848782062530518,0.00035262107849121094,0.5852348804473877,1773169208.8717365,1773169209.4569714,1,0.0
P1_c1_r5,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.43323659896850586,0.43323683738708496,0.00034165382385253906,0.4335825443267822,1773169209.497476,1773169209.9310586,1,0.0
P1_c1_r6,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35909247398376465,0.35909271240234375,0.0003447532653808594,0.35944128036499023,1773169209.9714005,1773169210.3308418,1,0.0
P1_c1_r7,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3567318916320801,0.3567321300506592,0.00034308433532714844,0.35707902908325195,1773169210.3712428,1773169210.7283218,1,0.0
P1_c1_r8,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35622358322143555,0.35622358322143555,0.0003490447998046875,0.3565797805786133,1773169210.7748404,1773169211.1314201,1,0.0
P1_c1_r9,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36075544357299805,0.36075568199157715,0.0003478527069091797,0.36110711097717285,1773169211.1747904,1773169211.5358975,1,0.0
P1_c1_r10,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3645660877227783,0.3645663261413574,0.00034308433532714844,0.3649132251739502,1773169211.5765803,1773169211.9414935,1,0.0
P1_c1_r11,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3521256446838379,0.352125883102417,0.00035452842712402344,0.35248446464538574,1773169211.9823859,1773169212.3348703,1,0.0
P1_c1_r12,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3559150695800781,0.3559153079986572,0.00033211708068847656,0.35625171661376953,1773169212.3765044,1773169212.7327561,1,0.0
P1_c1_r13,SUSTAINED_P1,8000000,96,64000,61440,2560,1,1.0880999565124512,1.0881001949310303,0.00037479400634765625,1.0884792804718018,1773169212.7754593,1773169213.8639386,1,0.0
P1_c1_r14,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35770130157470703,0.35770177841186523,0.00032901763916015625,0.358034610748291,1773169213.9047952,1773169214.2628298,1,0.0
P1_c1_r15,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3557610511779785,0.3557612895965576,0.0002961158752441406,0.3560612201690674,1773169214.3041441,1773169214.6602054,1,0.0
P1_c1_r16,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3645946979522705,0.3645946979522705,0.0003418922424316406,0.3649413585662842,1773169214.7002974,1773169215.0652387,1,0.0
P1_c1_r17,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3540971279144287,0.3540973663330078,0.0003113746643066406,0.3544125556945801,1773169215.1061523,1773169215.4605649,1,0.0
P1_c1_r18,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3812417984008789,0.381242036819458,0.00032520294189453125,0.38157105445861816,1773169215.5030327,1773169215.8846037,1,0.0
P1_c1_r19,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3550570011138916,0.3550572395324707,0.0003170967102050781,0.3553779125213623,1773169215.924868,1773169216.280246,1,0.0
P1_c1_r20,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3886892795562744,0.3886895179748535,0.0003199577331542969,0.38901448249816895,1773169216.3207154,1773169216.70973,1,0.0
P1_c1_r21,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.355349063873291,0.3553493022918701,0.00030875205993652344,0.35566186904907227,1773169216.7497962,1773169217.105458,1,0.0
P1_c1_r22,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35808753967285156,0.35808777809143066,0.00036525726318359375,0.3584568500518799,1773169217.145351,1773169217.5038078,1,0.0
P1_c1_r23,SUSTAINED_P1,8000000,96,64000,61440,2560,1,1.0025081634521484,1.0025084018707275,0.0003502368927001953,1.0028624534606934,1773169217.5444288,1773169218.5472913,1,0.0
P1_c1_r24,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.360795259475708,0.3607954978942871,0.0003380775451660156,0.36113786697387695,1773169218.5869293,1773169218.9480672,1,0.0
P1_c1_r25,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36669492721557617,0.36669492721557617,0.0003235340118408203,0.3670229911804199,1773169218.9881337,1773169219.3551567,1,0.0
P1_c1_r26,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3519470691680908,0.3519473075866699,0.00034427642822265625,0.3522958755493164,1773169219.3955843,1773169219.7478802,1,0.0
P1_c1_r27,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3763887882232666,0.3763887882232666,0.000339508056640625,0.37673330307006836,1773169219.7897937,1773169220.166527,1,0.0
P1_c1_r28,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3645057678222656,0.3645060062408447,0.00035381317138671875,0.3648674488067627,1773169220.2075639,1773169220.5724313,1,0.0
P1_c1_r29,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3541271686553955,0.3541276454925537,0.0003552436828613281,0.35448741912841797,1773169220.6147783,1773169220.9692657,1,0.0
P1_c1_r30,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3797581195831299,0.379758358001709,0.00033926963806152344,0.38010144233703613,1773169221.0105257,1773169221.3906271,1,0.0
P1_c1_r31,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36078429222106934,0.36078453063964844,0.0003132820129394531,0.3611011505126953,1773169221.4320428,1773169221.793144,1,0.0
P1_c1_r32,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35298609733581543,0.35298609733581543,0.0003421306610107422,0.3533322811126709,1773169221.833369,1773169222.1867013,1,0.0
P1_c1_r33,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35353922843933105,0.35353946685791016,0.00032973289489746094,0.35387301445007324,1773169222.2280483,1773169222.5819213,1,0.0
P1_c1_r34,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35267210006713867,0.3526723384857178,0.0003249645233154297,0.35300111770629883,1773169222.6237848,1773169222.976786,1,0.0
P1_c1_r35,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3679358959197998,0.3679361343383789,0.0003371238708496094,0.36827754974365234,1773169223.0190904,1773169223.387368,1,0.0
P1_c1_r36,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.352618932723999,0.352618932723999,0.00030803680419921875,0.35293102264404297,1773169223.42905,1773169223.781981,1,0.0
P1_c1_r37,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36516809463500977,0.36516809463500977,0.00031948089599609375,0.3654916286468506,1773169223.8223817,1773169224.1878734,1,0.0
P1_c1_r38,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.39139533042907715,0.39139556884765625,0.0003345012664794922,0.39173412322998047,1773169224.2281134,1773169224.6198475,1,0.0
P1_c1_r39,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35736680030822754,0.35736680030822754,0.0003364086151123047,0.35770750045776367,1773169224.6603763,1773169225.0180838,1,0.0
P1_c1_r40,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36606287956237793,0.36606311798095703,0.0003314018249511719,0.36639857292175293,1773169225.0586224,1773169225.425021,1,0.0
P1_c1_r41,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35590624809265137,0.35590672492980957,0.0003216266632080078,0.356231689453125,1773169225.4652078,1773169225.8214395,1,0.0
P1_c1_r42,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35521888732910156,0.35521912574768066,0.00030922889709472656,0.355532169342041,1773169225.8618448,1773169226.217377,1,0.0
P1_c1_r43,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3709094524383545,0.3709096908569336,0.00032067298889160156,0.3712339401245117,1773169226.257851,1773169226.6290848,1,0.0
P1_c1_r44,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3558976650238037,0.3558979034423828,0.0003249645233154297,0.35622668266296387,1773169226.669361,1773169227.0255878,1,0.0
P1_c1_r45,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35428929328918457,0.35428929328918457,0.00032973289489746094,0.35462331771850586,1773169227.066126,1773169227.4207494,1,0.0
P1_c1_r46,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3562145233154297,0.3562147617340088,0.00034689903259277344,0.3565652370452881,1773169227.4615242,1773169227.8180895,1,0.0
P1_c1_r47,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35103869438171387,0.35103869438171387,0.0003085136413574219,0.3513519763946533,1773169227.8585489,1773169228.2099009,1,0.0
P1_c1_r48,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35178375244140625,0.35178399085998535,0.0003094673156738281,0.3520975112915039,1773169228.2497504,1773169228.601848,1,0.0
P1_c1_r49,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.39792537689208984,0.39792561531066895,0.0003414154052734375,0.39827418327331543,1773169228.6432385,1773169229.0415127,1,0.0
P1_c1_r50,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3612477779388428,0.3612480163574219,0.0003261566162109375,0.36157798767089844,1773169229.08288,1773169229.444458,1,0.0
P1_c1_r51,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3534433841705322,0.3534433841705322,0.00034809112548828125,0.35379528999328613,1773169229.4846509,1773169229.8384461,1,0.0
P1_c1_r52,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36862897872924805,0.36862921714782715,0.00031685829162597656,0.36894989013671875,1773169229.879755,1773169230.248705,1,0.0
P1_c1_r53,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.357043981552124,0.357043981552124,0.00030541419982910156,0.35735344886779785,1773169230.2892296,1773169230.646583,1,0.0
P1_c1_r54,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37043046951293945,0.37043046951293945,0.0003254413604736328,0.3707599639892578,1773169230.6872673,1773169231.0580273,1,0.0
P1_c1_r55,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35351109504699707,0.35351109504699707,0.0003266334533691406,0.35384178161621094,1773169231.0986018,1773169231.4524436,1,0.0
P1_c1_r56,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3534715175628662,0.3534717559814453,0.00030493736267089844,0.35378003120422363,1773169231.4933002,1773169231.8470802,1,0.0
P1_c1_r57,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36051321029663086,0.36051344871520996,0.0003173351287841797,0.36083436012268066,1773169231.8874962,1773169232.2483306,1,0.0
P1_c1_r58,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3836698532104492,0.3836700916290283,0.0003561973571777344,0.3840296268463135,1773169232.2889595,1773169232.6729891,1,0.0
P1_c1_r59,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3545670509338379,0.3545670509338379,0.00032019615173339844,0.354891300201416,1773169232.713775,1773169233.0686662,1,0.0
P1_c1_r60,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35851001739501953,0.35851025581359863,0.0003566741943359375,0.3588709831237793,1773169233.1088853,1773169233.4677563,1,0.0
P1_c1_r61,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36995768547058105,0.36995792388916016,0.0003178119659423828,0.37027955055236816,1773169233.508405,1773169233.8786845,1,0.0
P1_c1_r62,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3549799919128418,0.35498046875,0.00030159950256347656,0.3552854061126709,1773169233.919292,1773169234.2745774,1,0.0
P1_c1_r63,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3550689220428467,0.3550691604614258,0.0003266334533691406,0.35539960861206055,1773169234.3152416,1773169234.6706412,1,0.0
P1_c1_r64,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3729114532470703,0.3729116916656494,0.00032067298889160156,0.37323665618896484,1773169234.7109406,1773169235.0841773,1,0.0
P1_c1_r65,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3529696464538574,0.3529696464538574,0.00030875205993652344,0.35328197479248047,1773169235.1251214,1773169235.4784033,1,0.0
P1_c1_r66,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.354381799697876,0.354381799697876,0.0003101825714111328,0.35469627380371094,1773169235.5206974,1773169235.8753936,1,0.0
P1_c1_r67,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35059070587158203,0.35059094429016113,0.0002980232238769531,0.3508925437927246,1773169235.9161026,1773169236.2669952,1,0.0
P1_c1_r68,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35163426399230957,0.35163450241088867,0.0003056526184082031,0.3519437313079834,1773169236.3070564,1773169236.6590002,1,0.0
P1_c1_r69,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3645203113555908,0.3645203113555908,0.00031185150146484375,0.3648366928100586,1773169236.6995544,1773169237.0643911,1,0.0
