period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,96,640000,1773169207.0096884,1773169237.066145,30.054879903793335,1,70,69,4416000,69,146931.21430316014,2.2958002234868773,0.38847706628882367,0.35808753967285156,0.48055720329284624,1.0298975372314447,0.3884772563326186,0.35808777809143066,0.48055744171142534,1.0298977756500238,0,0,0,0,3031.9382616317657,0.38847706628882367,RAMP_UP,21
2,64000,96,640000,1773169237.0661716,1773169269.7862394,32.71855974197388,21,215,194,12416000,194,379478.80646078085,5.929356350949701,2.9235812683695372,3.096601724624634,3.3955063581466676,3.444814612865448,2.9235814416531434,3.0966018438339233,3.39550644159317,3.4448148512840273,0,0,0,0,835.8546530621388,2.9235812683695372,RAMP_UP,27
3,64000,96,1024000,1773169269.7862604,1773169308.0874257,38.2998366355896,27,206,179,11456000,179,299113.5473761961,4.673649177753064,3.723681833490979,4.001184463500977,4.527041387557984,5.57755304813385,3.723682023959453,4.001184463500977,4.527041411399841,5.577553286552429,0,0,0,0,875.8735198854355,3.723681833490979,RAMP_UP,31
4,64000,96,1024000,1773169308.0874395,1773169342.3833785,34.294432401657104,31,214,183,11712000,183,341513.1605862086,5.33614313415951,4.461685379997629,4.5622076988220215,6.025363755226135,6.402867679595947,4.461685579331195,4.562207937240601,6.0253639936447145,6.402867875099182,0,0,0,0,921.8827778524541,4.461685379997629,RAMP_UP,33
5,64000,96,1024000,1773169342.3833928,1773169376.7976024,34.412798166275024,33,227,194,12416000,194,360796.0021155105,5.637437533054852,4.429157018661499,4.707414031028748,5.103886377811432,5.270849282741547,4.4291572017768,4.707414150238037,5.103886461257934,5.270849521160126,0,0,0,0,848.7967238857772,4.429157018661499,RAMP_UP,35
6,64000,96,1408000,1773169376.7976205,1773169411.5738814,34.7750346660614,35,174,140,8960000,140,257656.1054803056,4.025876648129775,6.437957625729697,6.509941101074219,10.33203431367874,10.549308426380156,6.437957796028682,6.509941458702087,10.332034766674042,10.549308519363402,0,0,0,0,908.8139288495651,6.437957625729697,RAMP_DOWN,33
7,64000,96,1408000,1773169411.5738983,1773169446.1019776,34.52661323547363,33,216,183,11712000,183,339216.5898266198,5.300259216040933,4.736885826444365,4.8818817138671875,5.2592963695526125,5.809395275115967,4.736886002326924,4.8818817138671875,5.259296607971192,5.809395470619202,0,0,0,0,884.6063455680683,4.736885826444365,RAMP_UP,35
8,64000,96,1792000,1773169446.101989,1773169487.3081849,41.20494771003723,35,201,167,10688000,167,259386.32601143865,4.052911343928729,4.8561531783577925,5.044913053512573,6.7631797075271605,8.699130215644837,4.85615336538075,5.044913053512573,6.763179779052734,8.699130454063416,0,0,0,0,946.4277264047662,4.8561531783577925,PLATEAU_RAMP_DOWN,29
9,64000,96,1792000,1773169487.3081982,1773169524.3068469,36.99748635292053,29,140,111,7104000,111,192013.04467645867,3.0002038230696666,6.239105791658969,6.413232803344727,9.72365403175354,9.965435433387757,6.23910597637967,6.413233041763306,9.72365403175354,9.965435671806336,0,0,0,0,1174.05954424287,6.239105791658969,RAMP_DOWN,27
10,64000,96,2176000,1773169524.3068647,1773169567.4480786,43.13992261886597,27,143,116,7424000,116,172091.1756284267,2.688924619194167,6.041947816980296,6.682374835014343,8.434800267219543,9.561810731887817,6.041947989628233,6.682375073432922,8.434800505638123,9.561810970306396,0,0,0,0,1074.4005018700927,6.041947816980296,RAMP_DOWN,25
11,64000,96,2176000,1773169567.4480944,1773169611.995564,44.546295166015625,25,96,71,4544000,71,102006.23829805308,1.5938474734070793,8.47490059825736,7.6909239292144775,13.884102582931519,14.562634229660034,8.474900789663826,7.6909239292144775,13.884102821350098,14.562634468078613,0,0,0,0,1375.6538695395707,8.47490059825736,RAMP_DOWN,21
12,64000,96,2560000,1773169611.9955876,1773169652.4246018,40.427927017211914,21,89,68,4352000,68,107648.35897094515,1.682005608921018,7.6577030841042015,7.533728718757629,11.511461603641509,12.169201502799988,7.657703304992003,7.533729076385498,11.511461842060088,12.169201900959015,0,0,0,0,1395.8928418114513,7.6577030841042015,RAMP_DOWN,17
13,64000,96,2560000,1773169652.4246151,1773169691.1039217,38.67811369895935,17,66,49,3136000,49,81079.44519756596,1.2668663312119681,8.605286676056531,7.818958282470703,14.880539131164545,15.547530498504637,8.605286880415314,7.818958520889282,14.880539369583124,15.547530851364135,0,0,0,0,1874.4369903526288,8.605286676056531,RAMP_DOWN,13
14,64000,96,2560000,1773169691.1039348,1773169726.6447172,35.53968834877014,13,75,62,3968000,62,111649.82543065304,1.7445285223539537,5.304172412041695,4.583685398101807,8.721725809574126,9.921808035373688,5.304172638923891,4.583685636520386,8.721726036071777,9.921808273792267,0,0,0,0,1625.202473272171,5.304172412041695,RAMP_DOWN,11
