request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.704965591430664,1.7049658298492432,0.00047016143798828125,1.7054476737976074,1773202373.7597573,1773202375.465205,1,0.0
P1_c1_r1,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6646850109100342,1.6646852493286133,0.0003495216369628906,1.6650416851043701,1773202375.5141325,1773202377.1791742,1,0.0
P1_c1_r2,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.667970895767212,1.667971134185791,0.0003559589385986328,1.6683318614959717,1773202377.221921,1773202378.8902528,1,0.0
P1_c1_r3,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.36441993713378906,0.36442017555236816,0.0003554821014404297,0.3647797107696533,1773202378.932263,1773202379.2970426,1,0.0
P1_c1_r4,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.669335126876831,1.6693353652954102,0.0004718303680419922,1.6698124408721924,1773202379.3384607,1773202381.0082731,1,0.0
P1_c1_r5,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6663954257965088,1.6663954257965088,0.00037407875061035156,1.6667742729187012,1773202381.061461,1773202382.7282352,1,0.0
P1_c1_r6,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6565687656402588,1.656569004058838,0.0003647804260253906,1.6569430828094482,1773202382.777528,1773202384.4344711,1,0.0
P1_c1_r7,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35933351516723633,0.35933351516723633,0.0003039836883544922,0.35964226722717285,1773202384.4764116,1773202384.8360538,1,0.0
P1_c1_r8,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35329270362854004,0.35329294204711914,0.0003581047058105469,0.3536550998687744,1773202384.8755012,1773202385.2291563,1,0.0
P1_c1_r9,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35386204719543457,0.35386228561401367,0.0003216266632080078,0.3541879653930664,1773202385.2712421,1773202385.62543,1,0.0
P1_c1_r10,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6678755283355713,1.6678757667541504,0.0003845691680908203,1.6682653427124023,1773202385.6660826,1773202387.334348,1,0.0
P1_c1_r11,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.410663366317749,0.4106636047363281,0.00034499168395996094,0.41101551055908203,1773202387.3850298,1773202387.7960453,1,0.0
P1_c1_r12,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35195159912109375,0.35195183753967285,0.0003287792205810547,0.35228538513183594,1773202387.8375933,1773202388.1898787,1,0.0
P1_c1_r13,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.6486215591430664,1.6486217975616455,0.00035071372985839844,1.6489765644073486,1773202388.2287517,1773202389.8777282,1,0.0
P1_c1_r14,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.38627004623413086,0.38627028465270996,0.0003304481506347656,0.38660526275634766,1773202389.9175403,1773202390.3041456,1,0.0
P1_c1_r15,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3585367202758789,0.358536958694458,0.0003745555877685547,0.3589158058166504,1773202390.3425622,1773202390.701478,1,0.0
P1_c1_r16,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.37378954887390137,0.37379002571105957,0.00034546852111816406,0.37413978576660156,1773202390.7416055,1773202391.1157453,1,0.0
P1_c1_r17,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.7118165493011475,1.7118165493011475,0.0003669261932373047,1.7121882438659668,1773202391.156919,1773202392.8691072,1,0.0
P1_c1_r18,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3696596622467041,0.3696599006652832,0.0003714561462402344,0.37003612518310547,1773202392.9096212,1773202393.2796574,1,0.0
P1_c1_r19,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.37305378913879395,0.37305402755737305,0.0003733634948730469,0.3734321594238281,1773202393.3184752,1773202393.6919074,1,0.0
P1_c1_r20,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3929405212402344,0.3929405212402344,0.0003800392150878906,0.3933253288269043,1773202393.7305877,1773202394.123913,1,0.0
P1_c1_r21,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.37966036796569824,0.37966060638427734,0.00036835670471191406,0.3800337314605713,1773202394.1622508,1773202394.5422845,1,0.0
P1_c1_r22,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.37155723571777344,0.37155747413635254,0.0003638267517089844,0.3719298839569092,1773202394.5844135,1773202394.9563434,1,0.0
P1_c1_r23,SUSTAINED_P1,5000000,96,64000,61440,2560,1,1.7307796478271484,1.7307796478271484,0.0003616809844970703,1.7311465740203857,1773202395.005565,1773202396.7367115,1,0.0
P1_c1_r24,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3682444095611572,0.36824464797973633,0.0003490447998046875,0.36859798431396484,1773202396.776935,1773202397.145533,1,0.0
P1_c1_r25,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3581531047821045,0.3581533432006836,0.0003566741943359375,0.35851407051086426,1773202397.1850972,1773202397.5436113,1,0.0
P1_c1_r26,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3541717529296875,0.3541722297668457,0.0005230903625488281,0.3547019958496094,1773202397.5834682,1773202397.9381702,1,0.0
P1_c1_r27,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3594658374786377,0.3594660758972168,0.0004050731658935547,0.3598763942718506,1773202397.9901934,1773202398.3500698,1,0.0
P1_c1_r28,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3820011615753174,0.3820013999938965,0.0004525184631347656,0.3824591636657715,1773202398.3969877,1773202398.7794468,1,0.0
P1_c1_r29,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3734419345855713,0.3734421730041504,0.0004172325134277344,0.3738703727722168,1773202398.8342812,1773202399.2081516,1,0.0
P1_c1_r30,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3687155246734619,0.3687164783477783,0.0005352497100830078,0.3692612648010254,1773202399.2557163,1773202399.6249776,1,0.0
P1_c1_r31,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3683044910430908,0.3683044910430908,0.0003345012664794922,0.36864352226257324,1773202399.6726878,1773202400.0413313,1,0.0
P1_c1_r32,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.36017608642578125,0.36017632484436035,0.0003592967987060547,0.36054015159606934,1773202400.085683,1773202400.4462233,1,0.0
P1_c1_r33,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35608720779418945,0.35608744621276855,0.00035572052001953125,0.3564479351043701,1773202400.4862893,1773202400.8427372,1,0.0
P1_c1_r34,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.36051368713378906,0.36051392555236816,0.0003559589385986328,0.3608741760253906,1773202400.8818622,1773202401.2427363,1,0.0
P1_c1_r35,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3709378242492676,0.3709383010864258,0.00049591064453125,0.3714408874511719,1773202401.28391,1773202401.655351,1,0.0
P1_c1_r36,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.36330604553222656,0.36330628395080566,0.0003457069396972656,0.36365580558776855,1773202401.704312,1773202402.067968,1,0.0
P1_c1_r37,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3625633716583252,0.3625633716583252,0.0003361701965332031,0.3629038333892822,1773202402.1066911,1773202402.469595,1,0.0
P1_c1_r38,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.36407923698425293,0.36407947540283203,0.0003192424774169922,0.36440324783325195,1773202402.5092413,1773202402.8736446,1,0.0
P1_c1_r39,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.35613346099853516,0.35613346099853516,0.0003211498260498047,0.3564591407775879,1773202402.9135287,1773202403.2699878,1,0.0
P1_c1_r40,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3818793296813965,0.3818793296813965,0.00032401084899902344,0.38220810890197754,1773202403.3088152,1773202403.6910233,1,0.0
P1_c1_r41,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3933415412902832,0.3933417797088623,0.0003693103790283203,0.39371538162231445,1773202403.7299988,1773202404.1237142,1,0.0
P2_c21_r1,SUSTAINED_P2,5000000,96,64000,61440,2560,1,0.5886805057525635,0.5886805057525635,0.0003654956817626953,0.5890505313873291,1773202404.2139156,1773202404.802966,21,0.0
P2_c21_r0,SUSTAINED_P2,5000000,96,64000,61440,2560,1,0.3643808364868164,0.3643810749053955,0.0002989768981933594,0.36468958854675293,1773202404.1673622,1773202404.5320518,21,0.0
P2_c21_r3,SUSTAINED_P2,5000000,96,64000,61440,2560,1,0.7765283584594727,0.7765285968780518,0.00039649009704589844,0.7769277095794678,1773202404.3019826,1773202405.0789104,21,0.0
P2_c21_r2,SUSTAINED_P2,5000000,96,64000,61440,2560,1,0.8193223476409912,0.8193225860595703,0.0008311271667480469,0.820157527923584,1773202404.2586992,1773202405.0788567,21,0.0
P2_c21_r5,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.181361198425293,1.181361436843872,0.0003612041473388672,1.1817259788513184,1773202404.3920205,1773202405.5737464,21,0.0
P2_c21_r4,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.2262310981750488,1.2262310981750488,0.04064440727233887,1.266890048980713,1773202404.3478518,1773202405.6147418,21,0.0
P2_c21_r6,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.138930320739746,1.1389310359954834,0.04029035568237305,1.1792266368865967,1773202404.4355874,1773202405.614814,21,0.0
P2_c21_r7,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.5936458110809326,1.5936460494995117,0.00036406517028808594,1.5940263271331787,1773202404.4790888,1773202406.073115,21,0.0
P2_c21_r9,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.5063683986663818,1.506368637084961,0.04232454299926758,1.5487029552459717,1773202404.567065,1773202406.115768,21,0.0
P2_c21_r8,SUSTAINED_P2,5000000,96,64000,61440,2560,1,1.5506839752197266,1.5506839752197266,0.04200315475463867,1.5927011966705322,1773202404.5231695,1773202406.1158707,21,0.0
