period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773227737.6678565,1773227767.6678565,2,18,19,21,21,21,0,2,2,0,0.7,28410.766666666666,168.13333333333333,7.181891055334182,5.318026542663574,18.908004760742188,22.622558021545412,0.028182774688110628,12931,0,0,511.65466475486755,14.724222540855402,3310336,28.18108944665818,0,0,0,0.41435651157213294,0.9530432224273682,0,2
2,1773227767.6678565,1773227797.6678565,4,17,14,21,20,19,2,4,4,0,0.7,21397.433333333334,183.9,0.5563892364501953,0.21148371696472168,1.4708800435066227,1.9906868958473196,0.8326347305389221,16545,1,0,66.3311059474945,89.47125302420721,429312,94.43610763549805,0,0,0,0.6350288291772207,4.7411558628082275,0,4
3,1773227797.6678565,1773227827.6678565,7,17,15,31,26,26,5,7,7,0,1.0333333333333334,32201.066666666666,287.1333333333333,0.5590802614505475,0.3554263114929199,1.507994532585144,2.178237736225128,0.7516079835554671,20174,3,0,94.2870922088623,86.9045705265469,958976,94.40919738549451,0,0,0,0.045473763436982124,0.15213298797607422,0,7
4,1773227827.6678565,1773227857.6678565,5,22,17,38,31,31,7,5,5,0,1.2666666666666666,33386.833333333336,268.96666666666664,0.4223960830319312,0.2656271457672119,1.4535183906555176,1.837774658203125,0.7249296495267332,23124,3,0,105.89375352859497,86.9266970952352,1101056,95.7760391696807,0,0,0,0.05559307999081082,0.15283942222595215,0,5
5,1773227857.6678565,1773227887.6678565,3,27,19,38,34,34,4,3,2,1,1.2666666666666666,35772.066666666666,368.03333333333336,0.43674572776345644,0.3858414888381958,1.0024873971939086,1.4549844074249279,0.726230975828111,25626,3,0,134.50208973884583,85.05532336235046,1174272,95.63254272236543,0,0,0,0.053973105218675405,0.15279483795166016,0,3
6,1773227887.6678565,1773227917.6678565,7,26,19,45,42,42,3,7,7,0,1.5,41155.23333333333,376.2,0.3715581326257615,0.215661883354187,0.9238629579544063,1.6058129191398616,0.7698375629249052,27523,3,0,130.74975180625916,86.79295436300413,1135360,96.2844186737424,0,0,0,0.04683287776246363,0.1527392864227295,0,7
7,1773227917.6678565,1773227947.6678565,8,28,24,53,46,46,7,8,8,0,1.7666666666666666,55709.7,370.23333333333335,0.5450181453785998,0.3402547836303711,1.6231610536575312,2.419344582557677,0.7166347259486393,32531,3,0,239.05193996429443,77.86556111441718,1892608,94.549818546214,0,0,0,0.04483278014443137,0.15245556831359863,2,6
8,1773227947.6678565,1773227977.6678565,10,27,24,38,30,30,8,10,10,0,1.2666666666666666,44010.166666666664,297.73333333333335,1.7170833423733711,1.1873915195465088,6.47173992395401,7.136469089984894,0.6691247816805744,34557,1,0,315.83184337615967,71.54668077692254,1745920,82.82916657626629,0,0,0,0.0426902174949646,0.10027480125427246,0,10
9,1773227977.6678565,1773228007.6678565,15,24,19,44,35,35,9,15,14,1,1.4666666666666666,33763.03333333333,365.96666666666664,0.332143429347447,0.24082159996032715,0.9024680376052839,1.6884824562072736,0.7783821390171399,35852,2,0,146.70647931098938,87.46098467427441,897024,96.67856570652553,0,0,0,0.041479461047114155,0.10246825218200684,4,11
10,1773228007.6678565,1773228037.6678565,6,34,22,51,36,36,15,6,6,0,1.7,64201.96666666667,444.6666666666667,0.578413724899292,0.4604318141937256,1.382821011543274,1.4752421140670775,0.8840194187670413,38638,1,0,181.5095829963684,84.8742014169693,892928,94.21586275100708,0,0,0,0.04658441316513788,0.10017538070678711,1,5
