timestamp,user_id,event_type,trace_id,details
1773227737.6679993,User-001,started,trace_0109,"601 requests, 47,714 initial tokens"
1773227737.7184062,User-002,started,trace_0466,"14 requests, 104,290 initial tokens"
1773227737.7685666,User-003,started,trace_0485,"137 requests, 69,944 initial tokens"
1773227737.8187072,User-004,started,trace_0392,"21 requests, 12,073 initial tokens"
1773227737.8688312,User-005,started,trace_0009,"33 requests, 43,698 initial tokens"
1773227737.9189622,User-006,started,trace_0288,"116 requests, 24,567 initial tokens"
1773227737.9690907,User-007,started,trace_0504,"69 requests, 124,901 initial tokens"
1773227738.0192318,User-008,started,trace_0589,"54 requests, 12,249 initial tokens"
1773227738.0693524,User-009,started,trace_0172,"466 requests, 89,509 initial tokens"
1773227738.1195042,User-010,started,trace_0242,"48 requests, 15,422 initial tokens"
1773227738.16965,User-011,started,trace_0441,"26 requests, 71,284 initial tokens"
1773227738.219772,User-012,started,trace_0043,"157 requests, 18,768 initial tokens"
1773227738.269895,User-013,started,trace_0220,"382 requests, 19,105 initial tokens"
1773227738.3200228,User-014,started,trace_0561,"89 requests, 40,023 initial tokens"
1773227738.3701463,User-015,started,trace_0180,"209 requests, 20,698 initial tokens"
1773227738.4202712,User-016,started,trace_0108,"136 requests, 47,006 initial tokens"
1773227738.4703956,User-017,started,trace_0046,"442 requests, 11,578 initial tokens"
1773227738.520552,User-018,started,trace_0042,"12 requests, 132,684 initial tokens"
1773227738.5707471,User-019,started,trace_0387,"44 requests, 28,379 initial tokens"
1773227738.620882,User-020,started,trace_0116,"430 requests, 18,847 initial tokens"
1773227767.6793437,User-021,started,trace_0010,"33 requests, 43,698 initial tokens"
1773227797.6956913,User-022,started,trace_0191,"462 requests, 17,696 initial tokens"
1773227797.7465754,User-023,started,trace_0430,"21 requests, 8,991 initial tokens"
1773227797.7970903,User-024,started,trace_0101,"179 requests, 19,700 initial tokens"
1773227827.7118444,User-025,started,trace_0078,"66 requests, 15,818 initial tokens"
1773227827.7625506,User-026,started,trace_0372,"179 requests, 20,583 initial tokens"
1773227827.8132288,User-027,started,trace_0538,"12 requests, 12,200 initial tokens"
1773227857.74093,User-028,started,trace_0112,"92 requests, 16,981 initial tokens"
1773227857.7916307,User-029,started,trace_0245,"36 requests, 19,556 initial tokens"
1773227857.8430097,User-030,started,trace_0570,"114 requests, 9,565 initial tokens"
1773227887.7137072,User-031,started,trace_0581,"1926 requests, 11,741 initial tokens"
