period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773224894.1650817,1773224924.1650817,4,16,17,19,19,19,0,4,4,0,0.6333333333333333,25260.4,143.13333333333333,6.212542282907586,5.2282116413116455,19.248863530158985,22.498710885047913,0.031696390837629956,11456,0,0,449.7633216381073,25.039446393648777,2932736,37.87457717092414,0,0,0,0.41420223401940387,0.9528632164001465,0,4
2,1773224924.1650817,1773224954.1650817,3,18,15,24,21,20,4,3,3,0,0.8,22731.533333333333,175.7,0.46965861320495605,0.19208073616027832,1.6325173377990723,2.005142879486084,0.8424612494128699,16545,1,0,66.8189148902893,89.39382303328742,429312,95.30341386795044,0,0,0,0.6856725613276163,4.8832032680511475,0,3
3,1773224954.1650817,1773224984.1650817,5,19,14,30,27,26,4,5,5,0,1.0,32427.3,282.7,0.4439712100558811,0.2934398651123047,1.3470395565032955,2.301797752380369,0.7517613748600777,20174,3,0,95.8813989162445,86.68313903941048,965120,95.56028789944119,0,0,0,0.051477380096912384,0.1527719497680664,0,5
4,1773224984.1650817,1773225014.1650817,5,22,18,39,33,33,6,5,5,0,1.3,38258.73333333333,292.73333333333335,0.48148978117740515,0.2725551128387451,1.7583310127258298,1.995845193862915,0.7599754450583179,23124,3,0,128.72611379623413,84.10788718565011,1101056,95.18510218822594,0,0,0,0.06023838018116198,0.15374374389648438,1,4
5,1773225014.1650817,1773225044.1650817,4,26,19,35,32,32,3,4,2,2,1.1666666666666667,35057.13333333333,347.8333333333333,0.5277355006246855,0.46163463592529297,1.2834826946258542,1.6188705444335936,0.7101272760489616,25702,3,0,144.33835172653198,83.96240536371866,1218560,94.72264499375314,0,0,0,0.05369334361132454,0.24849963188171387,0,4
6,1773225044.1650817,1773225074.1650817,8,25,20,47,43,43,4,8,8,0,1.5666666666666667,41997.13333333333,421.1333333333333,0.411790365396544,0.28524303436279297,1.2131680488586425,1.7215794992446896,0.774449473630677,27523,3,0,143.41248631477356,85.513890271235,1135360,95.88209634603456,0,0,0,0.03792392038831524,0.15237212181091309,1,7
7,1773225074.1650817,1773225104.1650817,9,27,23,51,43,43,8,9,9,0,1.7,54013.333333333336,368.23333333333335,0.7145718498663469,0.4335296154022217,2.4922202944755556,2.7083677434921265,0.6731894370651487,32535,3,0,249.61924743652344,76.88710671884043,2116352,92.85428150133652,0,0,0,0.0431637943915601,0.15241765975952148,1,8
8,1773225104.1650817,1773225134.1650817,8,29,27,40,32,31,9,8,8,0,1.3333333333333333,47941.6,318.56666666666666,1.2830380020719585,0.9872632026672363,3.64487042427063,3.79592041015625,0.6684777767881002,36263,1,0,283.6879231929779,74.44252944207406,1905664,87.16961997928043,0,0,0,0.04463701844215393,0.10031390190124512,0,8
9,1773225134.1650817,1773225164.1650817,10,29,22,51,42,42,9,10,10,0,1.7,48129.333333333336,431.6,0.4751171327772595,0.27499306201934814,1.558797967433928,2.109366731643676,0.8105230468923296,36138,2,0,187.33496117591858,83.9884648567591,1093376,95.24882867222739,0,0,0,0.04327114270283626,0.10173273086547852,0,10
10,1773225164.1650817,1773225194.1650817,8,32,21,42,34,34,8,8,6,2,1.4,44474.1,377.2,0.40846631807439465,0.3422837257385254,0.8546819567680357,0.9864595246315004,0.8432954054443325,38620,1,0,159.24072980880737,86.7299391825994,835584,95.91533681925605,0,0,0,0.03701114058494568,0.1524033546447754,0,8
11,1773225194.1650817,1773225224.1650817,14,29,22,42,34,34,8,14,14,0,1.4,39636.933333333334,454.0,0.4639495050205904,0.35111677646636963,1.0566525578498829,1.6772480034828192,0.8070024239159709,41727,3,0,155.30346822738647,87.96097145524135,917248,95.3605049497941,0,0,0,0.05600028236707052,0.15224885940551758,0,14
12,1773225224.1650817,1773225254.1650817,16,30,20,43,30,30,13,16,15,1,1.4333333333333333,40579.36666666667,311.6,0.8348519007364908,0.5350239276885986,2.401845133304596,2.6184808945655824,0.7769651688940334,44909,3,0,149.0803246498108,89.19707792392674,1085184,91.65148099263509,0,0,0,0.05629486507839627,0.15332531929016113,1,15
13,1773225254.1650817,1773225284.1650817,29,19,7,17,7,7,10,29,23,6,0.5666666666666667,10220.7,59.06666666666667,1.1835348904132843,0.5952610969543457,2.501290535926819,2.5458260011672973,0.463547106747441,47035,2,0,35.91836166381836,97.5056693289015,657408,88.16465109586716,0,0,0,0.050579341252644856,0.10103321075439453,6,23
14,1773225284.1650817,1773225314.1650817,12,39,20,57,29,29,28,12,11,1,1.9,48811.3,382.0,2.5015219118860035,0.7799031734466553,11.360627114772797,14.384130895137787,0.7995363485259382,50107,3,0,265.8424446582794,82.62467681972029,1173248,74.98478088113997,0,0,0,0.04841876029968262,0.15101957321166992,0,12
