period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,128000,96,640000,1773211365.8754518,1773211396.508395,30.631211042404175,1,11,10,1280000,10,41787.44347482827,0.3264644021470959,2.8799407958984373,3.0856947898864746,4.850252115726471,4.860804741382599,2.8799410343170164,3.0856951475143433,4.85025235414505,4.860804979801178,0,0,0,0,2397.168978815531,2.8799407958984373,MIN_REACHED,1
2,128000,96,640000,1773211396.508428,1773211427.224948,30.715162754058838,1,33,32,4096000,32,133354.33163084043,1.0418307158659408,0.8394525796175003,0.8345577716827393,0.8778995633125305,0.8941533923149109,0.8394528180360794,0.8345580101013184,0.8778998017311096,0.89415363073349,0,0,0,0,2346.0202162468368,0.8394525796175003,RAMP_UP,11
3,128000,96,896000,1773211427.2249677,1773211464.0830357,36.8567328453064,11,79,68,8704000,68,236157.66586072836,1.8449817645369404,4.140420822536244,4.381898880004883,4.544543313980102,4.728137276172637,4.140421081991756,4.3818992376327515,4.5445435523986815,4.728137514591216,0,0,0,0,1817.0427515966123,4.140420822536244,RAMP_DOWN,7
4,128000,96,896000,1773211464.0830464,1773211496.1288204,32.044326305389404,7,67,60,7680000,60,239668.01257757546,1.8724063482623083,3.1435231526692706,2.641707181930542,7.012603807449341,7.135526218414307,3.143523363272349,2.641707420349121,7.01260404586792,7.135526456832886,0,0,0,0,1921.9752149317517,3.1435231526692706,RAMP_DOWN,3
5,128000,96,896000,1773211496.1288338,1773211526.9732838,30.843141794204712,3,71,68,8704000,68,282202.1199421209,2.2047040620478193,1.2055926463183235,1.1787172555923462,1.5856429576873776,1.750908243656158,1.2055928496753467,1.1787173748016357,1.5856432795524595,1.750908403396606,0,0,0,0,2702.9916191703583,1.2055926463183235,RAMP_UP,9
6,128000,96,1152000,1773211526.973297,1773211564.7161,37.7412531375885,9,70,61,7808000,61,206882.3727589374,1.6162685371791985,3.9883121584282546,3.6457502841949463,7.57300066947937,7.750866174697876,3.988312389029831,3.6457505226135254,7.573000907897949,7.750866317749024,0,0,0,0,1815.3414308158424,3.9883121584282546,RAMP_DOWN,5
7,128000,96,1152000,1773211564.7161136,1773211596.2856016,31.568325519561768,5,74,69,8832000,69,279774.10441130697,2.1857351907133356,1.9737086641615715,1.8627305030822754,2.5289602279663086,2.5640569400787347,1.9737088403839995,1.8627307415008545,2.5289603233337403,2.56405701637268,0,0,0,0,2015.7390804070992,1.9737086641615715,RAMP_UP,7
8,128000,96,1408000,1773211596.2856135,1773211632.1961071,35.90935492515564,7,76,69,8832000,69,245952.62205094373,1.921504859772998,2.73129311506299,2.6220366954803467,3.3223460674285876,3.4961506748199462,2.7312932774640513,2.6220366954803467,3.3223463058471667,3.4961507511138916,0,0,0,0,2095.9813124823404,2.73129311506299,RAMP_DOWN,5
9,128000,96,1408000,1773211632.1961184,1773211663.9989614,31.801494121551514,5,65,60,7680000,60,241498.08718563794,1.8867038061377965,2.317289439837138,1.9099972248077393,5.878997719287872,6.061350452899932,2.3172896544138593,1.9099974632263184,5.878997957706451,6.0613508319854725,0,0,0,0,2295.2507087506383,2.317289439837138,RAMP_DOWN,3
10,128000,96,1408000,1773211663.9989727,1773211695.0362952,31.03608798980713,3,70,67,8576000,67,276323.48518977425,2.158777228045111,1.2312421691951467,1.2039620876312256,1.4609376668930054,1.6870243453979508,1.2312423506779457,1.2039623260498047,1.4609380722045897,1.687024502754213,0,0,0,0,2811.8558788737623,1.2312421691951467,RAMP_UP,9
11,128000,96,1664000,1773211695.0363085,1773211728.239222,33.20174717903137,9,59,50,6400000,50,192760.94012431768,1.505944844721232,4.120776567459107,3.7139333486557007,7.742277908325195,11.419006299972533,4.120776734352112,3.7139337062835693,7.742278277873992,11.419006416797638,0,0,0,0,2239.5463550837085,4.120776567459107,RAMP_DOWN,5
12,128000,96,1664000,1773211728.2392359,1773211759.6365433,31.396126747131348,5,53,48,6144000,48,195692.92892351362,1.5288510072149502,2.875189130504926,1.979746699333191,6.892867064476013,7.267206659317018,2.875189314285914,1.97974693775177,6.892867302894592,7.267206897735597,0,0,0,0,2217.233140280376,2.875189130504926,RAMP_DOWN,3
13,128000,96,1664000,1773211759.636554,1773211790.9633172,31.325627088546753,3,54,51,6528000,51,208391.6782111845,1.628059986024879,1.6436346652461034,1.1975758075714111,4.834215521812439,5.462599992752075,1.6436348428913192,1.1975758075714111,4.834215521812439,5.462600231170654,0,0,0,0,2678.3760523795963,1.6436346652461034,PLATEAU_RAMP_DOWN,1
14,128000,96,1920000,1773211790.9633274,1773211824.3060548,33.34137964248657,1,23,22,2816000,22,84459.61235544077,0.659840721526881,1.2165904261849143,0.8557769060134888,3.3167702794075002,4.5120324540138235,1.2165906754407017,0.8557771444320679,3.3167705297470085,4.512032504081725,0,0,0,0,2700.7531575400203,1.2165904261849143,PLATEAU_RAMP_DOWN,1
