period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,96,640000,1773178023.3829222,1773178053.8091261,30.424890995025635,1,39,38,2432000,38,79934.55097004698,1.2489773589069841,0.7493112902892264,0.4059140682220459,1.7325245141983032,1.7470113801956177,0.7493114910627666,0.405914306640625,1.7325247168540954,1.7470115303993226,0,0,0,0,3006.755886292468,0.7493112902892264,RAMP_UP,11
2,64000,96,640000,1773178053.809146,1773178085.3139083,31.503296375274658,11,173,162,10368000,162,329108.4169889383,5.142319015452161,1.8615387619277577,1.9890271425247192,2.1836105585098267,2.3796865606307978,1.8615389355906733,1.989027500152588,2.1836107969284058,2.379686706066131,0,0,0,0,936.8802235375091,1.8615387619277577,RAMP_UP,13
3,64000,96,896000,1773178085.3139307,1773178119.3573387,34.04208040237427,13,156,143,9152000,143,268843.733750235,4.200683339847422,2.2207911498063093,2.1722185611724854,2.727305674552918,3.211458525657661,2.220791328203428,2.1722185611724854,2.7273061275482178,3.21145876407624,0,0,0,0,1110.1772284445187,2.2207911498063093,RAMP_DOWN,11
4,64000,96,896000,1773178119.3573523,1773178151.0280201,31.669214248657227,11,174,163,10432000,163,329405.07832278527,5.146954348793519,1.8603833877235834,1.9725382328033447,2.2745815753936767,2.3326209783554077,1.8603835734852985,1.9725382328033447,2.2745815992355345,2.3326209783554077,0,0,0,0,1062.5591746651476,1.8603833877235834,RAMP_UP,13
5,64000,96,896000,1773178151.0280342,1773178183.2487447,32.21924591064453,13,169,156,9984000,156,309876.89866141486,4.841826541584607,2.259353607128828,2.1743757724761963,2.921008825302124,3.263784956932066,2.2593537798294654,2.1743760108947754,2.9210090041160583,3.263785195350645,0,0,0,0,1123.7148842537122,2.259353607128828,RAMP_DOWN,11
6,64000,96,1152000,1773178183.2487586,1773178214.8794148,31.6293306350708,11,141,130,8320000,130,263046.9830675054,4.1101091104297724,2.3387441671811615,2.0877885818481445,4.1226626992225635,4.810543956756592,2.3387443414101234,2.087788939476013,4.122662830352782,4.810544195175171,0,0,0,0,1234.0412584280887,2.3387441671811615,RAMP_DOWN,9
7,64000,96,1152000,1773178214.8794281,1773178246.077724,31.19695806503296,9,172,163,10432000,163,334391.57684071397,5.224868388136156,1.5090439407372036,1.5645644664764404,1.6847851276397705,1.7262976789474487,1.5090441308869906,1.5645647048950195,1.6847853660583496,1.7262979173660278,0,0,0,0,1097.2798067060126,1.5090439407372036,RAMP_UP,13
8,64000,96,1152000,1773178246.0777392,1773178278.223425,32.14420986175537,13,175,162,10368000,162,322546.4257665785,5.039787902602789,2.2114127344555325,2.1893569231033325,2.690005528926849,2.7761511039733877,2.211412912533607,2.1893571615219116,2.6900059938430783,2.7761511039733877,0,0,0,0,1161.7259613421609,2.2114127344555325,RAMP_DOWN,11
9,64000,96,1408000,1773178278.2234385,1773178309.851087,31.626517295837402,11,142,131,8384000,131,265094.0007581385,4.1420937618459135,2.329533555125462,2.1050307750701904,3.5202211141586304,3.695240306854248,2.3295337134645187,2.1050310134887695,3.52022123336792,3.695240306854248,0,0,0,0,1148.6241235552566,2.329533555125462,RAMP_DOWN,9
10,64000,96,1408000,1773178309.8511002,1773178341.1518803,31.299305200576782,9,169,160,10240000,160,327163.81192421156,5.111934561315806,1.5447151064872742,1.6042513847351074,1.7547078251838684,1.7953469467163086,1.5447152748703956,1.604251503944397,1.7547078371047973,1.7953470873832702,0,0,0,0,1103.1097252822226,1.5447151064872742,RAMP_UP,13
11,64000,96,1664000,1773178341.1518939,1773178375.0812101,33.92814326286316,13,164,151,9664000,151,284837.2787489953,4.450582480453051,2.2085202498151766,2.183049440383911,2.665924310684204,3.1313377618789673,2.2085204219186543,2.183049440383911,2.6659244298934937,3.1313380002975464,0,0,0,0,1154.8674595074042,2.2085202498151766,RAMP_DOWN,11
12,64000,96,1664000,1773178375.081222,1773178406.4909256,31.408353567123413,11,133,122,7808000,122,248596.28453027215,3.884316945785502,2.3889726791225496,2.0985459089279175,4.314237427711486,4.816917188167572,2.3889728530508574,2.0985461473464966,4.314237666130065,4.816917426586151,0,0,0,0,1156.3562777926993,2.3889726791225496,RAMP_DOWN,9
13,64000,96,1664000,1773178406.4909406,1773178438.279621,31.787431001663208,9,127,118,7552000,118,237578.17986627665,3.7121590604105728,1.9765996831958577,1.6338328123092651,3.2500528931617736,3.404165253639221,1.9765998609995439,1.6338330507278442,3.2500531315803527,3.4041654515266417,0,0,0,0,1156.320839328413,1.9765996831958577,PLATEAU_RAMP_DOWN,5
14,64000,96,1920000,1773178438.279633,1773178468.6732035,30.392432689666748,5,121,116,7424000,116,244271.3314793033,3.8167395543641143,1.181499026972672,0.8843573331832886,2.3363941311836243,3.2595131278037988,1.1814992160632694,0.8843574523925781,2.3363943696022034,3.2595131635665857,0,0,0,0,1789.0478445389906,1.181499026972672,PLATEAU_RAMP_DOWN,1
15,64000,96,1920000,1773178468.6732156,1773178498.7945414,30.120222330093384,1,52,51,3264000,51,108365.73396534688,1.693214593208545,0.5156196051952886,0.4113016128540039,1.6997523307800293,1.727705717086792,0.5156198062148749,0.411301851272583,1.6997525691986084,1.727705955505371,0,0,0,0,2946.77545459024,0.5156196051952886,PLATEAU_RAMP_DOWN,1
16,64000,96,1920000,1773178498.7945533,1773178528.8024116,30.00647282600403,1,55,54,3456000,54,115175.14970986467,1.7996117142166355,0.5056887865066528,0.40835344791412354,1.7052908539772034,1.7216580152511596,0.5056889807736432,0.4083535671234131,1.7052910923957825,1.7216582536697387,0,0,0,0,2918.178096614232,0.5056887865066528,PLATEAU_RAMP_DOWN,1
17,64000,96,2176000,1773178528.8024259,1773178559.1410248,30.33749222755432,1,45,44,2816000,44,92822.43828454419,1.450350598196003,0.6085010008378462,0.4135171175003052,1.7210597157478333,1.732028498649597,0.6085012013261969,0.4135172367095947,1.72105975151062,1.7320287370681762,0,0,0,0,2993.71130202315,0.6085010008378462,PLATEAU_RAMP_DOWN,1
18,64000,96,2176000,1773178559.141037,1773178589.510038,30.367722511291504,1,35,34,2176000,34,71655.02777466789,1.1196098089791857,0.8143270226085887,0.42966461181640625,1.7328439593315124,1.7336729598045348,0.8143272399902344,0.42966485023498535,1.732844352722168,1.733673198223114,0,0,0,0,2900.4502961747417,0.8143270226085887,PLATEAU_RAMP_DOWN,1
19,64000,96,2176000,1773178589.5100517,1773178619.883996,30.372804164886475,1,44,43,2752000,43,90607.37313091243,1.4157402051705068,0.6554246725038041,0.41439080238342285,1.7292441129684448,1.7468762397766113,0.6554248887439107,0.41439104080200195,1.729244351387024,1.7468763399124145,0,0,0,0,2958.8437576079364,0.6554246725038041,PLATEAU_RAMP_DOWN,1
20,64000,96,2432000,1773178619.8840082,1773178650.266667,30.381603002548218,1,35,34,2176000,34,71622.29062822954,1.1190982910660867,0.8397202211267808,0.42180335521698,1.7611972451210023,1.767601935863495,0.8397204034468707,0.42180347442626953,1.7611974000930786,1.767601935863495,0,0,0,0,2957.193482289709,0.8397202211267808,PLATEAU_RAMP_DOWN,1
21,64000,96,2432000,1773178650.2666788,1773178681.9099233,31.64216899871826,1,38,37,2368000,37,74836.84194013126,1.169325655314551,0.7674047624742663,0.42095494270324707,1.7410572528839112,1.7468555164337158,0.7674049880053546,0.42095518112182617,1.7410574436187745,1.7468556690216064,0,0,0,0,2953.823115080352,0.7674047624742663,PLATEAU_RAMP_DOWN,1
22,64000,96,2688000,1773178681.909935,1773178711.9816496,30.070632696151733,1,33,32,2048000,32,68106.31557686151,1.0641611808884612,0.8842644914984703,0.41549909114837646,1.739591896533966,1.7470241284370422,0.8842647150158882,0.41549932956695557,1.739592158794403,1.747024292945862,0,0,0,0,2899.9784779000643,0.8842644914984703,PLATEAU_RAMP_DOWN,1
23,64000,96,2688000,1773178711.981662,1773178742.2118616,30.229130744934082,1,29,28,1792000,28,59280.566653419584,0.926258853959681,1.0221511806760515,0.4626326560974121,1.733831763267517,1.7419780349731446,1.0221513765198844,0.46263277530670166,1.7338320016860962,1.7419782733917237,0,0,0,0,2856.1419178735814,1.0221511806760515,PLATEAU_RAMP_DOWN,1
24,64000,96,2688000,1773178742.2118735,1773178772.4830923,30.26991033554077,1,29,28,1792000,28,59200.70393786272,0.925010999029105,1.021904741014753,0.45163846015930176,1.743548583984375,1.745475151538849,1.021904936858586,0.45163869857788086,1.743548822402954,1.745475389957428,0,0,0,0,2881.870664977087,1.021904741014753,PLATEAU_RAMP_DOWN,1
25,64000,96,2944000,1773178772.483105,1773178802.6680725,30.18393301963806,1,35,34,2176000,34,72091.33410759512,1.1264270954311737,0.8334142811158124,0.4199042320251465,1.7303839564323424,1.7520393991470338,0.8334144774605247,0.4199044704437256,1.7303841948509215,1.7520396375656129,0,0,0,0,2875.2798207062506,0.8334142811158124,RAMP_UP,11
26,64000,96,2944000,1773178802.6680844,1773178838.1636682,35.49454069137573,11,44,33,2112000,33,59502.10817950272,0.92972044030473,8.06374325174274,9.211153030395508,11.361729097366332,11.675575542449952,8.063743468486901,9.211153268814087,11.361729335784911,11.675575618743895,0,0,0,0,2217.8414710088455,8.06374325174274,RAMP_DOWN,7
27,64000,96,2944000,1773178838.163681,1773178872.8705328,34.70580458641052,7,36,29,1856000,29,53478.08593167551,0.8355950926824298,6.370022740857355,6.6250715255737305,8.108794498443602,8.935164318084716,6.370023020382585,6.625072002410889,8.108795022964477,8.935164556503295,0,0,0,0,2325.9898957500845,6.370022740857355,RAMP_DOWN,3
28,64000,96,3136000,1773178872.8705459,1773178904.9337595,32.0621702671051,3,32,29,1856000,29,57887.53489043144,0.9044927326629911,2.832588499990003,3.1658921241760254,4.841613006591797,4.930745773315429,2.8325886973019303,3.1658921241760254,4.841613245010376,4.9307460117340085,0,0,0,0,2562.5016566533195,2.832588499990003,RAMP_DOWN,1
29,64000,96,3136000,1773178904.933772,1773178935.9411125,31.00614285469055,1,34,33,2112000,33,68115.53471509922,1.0643052299234255,0.8452647165818648,0.4186689853668213,1.7284892082214356,1.7360729312896728,0.8452649261012222,0.4186692237854004,1.728489303588867,1.7360731697082519,0,0,0,0,2913.9180277260975,0.8452647165818648,RAMP_UP,11
