timestamp,user_id,event_type,trace_id,details
1773254268.9423811,User-001,started,trace_0109,"422 requests remaining (advanced 30%), 58,299 tokens at start"
1773254269.0272665,User-002,started,trace_0466,"6 requests remaining (advanced 57%), 121,710 tokens at start"
1773254269.1081107,User-003,started,trace_0485,"46 requests remaining (advanced 66%), 107,428 tokens at start"
1773254269.1690447,User-004,started,trace_0392,"8 requests remaining (advanced 62%), 32,053 tokens at start"
1773254269.235831,User-005,started,trace_0009,"14 requests remaining (advanced 58%), 56,106 tokens at start"
1773254269.303249,User-006,started,trace_0288,"36 requests remaining (advanced 69%), 58,734 tokens at start"
1773254269.39951,User-007,started,trace_0504,"26 requests remaining (advanced 62%), 151,146 tokens at start"
1773254269.468221,User-008,started,trace_0589,"17 requests remaining (advanced 69%), 56,798 tokens at start"
1773254269.5643654,User-009,started,trace_0172,"316 requests remaining (advanced 32%), 147,616 tokens at start"
1773254269.6221578,User-010,started,trace_0242,"24 requests remaining (advanced 50%), 26,583 tokens at start"
1773254269.7114253,User-011,started,trace_0441,"14 requests remaining (advanced 46%), 139,065 tokens at start"
1773254269.7790475,User-012,started,trace_0043,"107 requests remaining (advanced 32%), 63,708 tokens at start"
1773254269.8612943,User-013,started,trace_0220,"185 requests remaining (advanced 52%), 117,125 tokens at start"
1773254269.9298913,User-014,started,trace_0561,"43 requests remaining (advanced 52%), 65,261 tokens at start"
1773254270.0197031,User-015,started,trace_0180,"63 requests remaining (advanced 70%), 141,899 tokens at start"
1773254270.0859377,User-016,started,trace_0108,"42 requests remaining (advanced 69%), 58,773 tokens at start"
1773254270.1495898,User-017,started,trace_0046,"279 requests remaining (advanced 37%), 48,461 tokens at start"
1773254270.241296,User-018,started,trace_0042,"4 requests remaining (advanced 67%), 151,911 tokens at start"
1773254270.3167713,User-019,started,trace_0387,"22 requests remaining (advanced 50%), 82,877 tokens at start"
1773254270.402938,User-020,started,trace_0116,"172 requests remaining (advanced 60%), 128,459 tokens at start"
1773254270.4921656,User-021,started,trace_0623,"6 requests remaining (advanced 40%), 141,110 tokens at start"
1773254270.5581474,User-022,started,trace_0010,"14 requests remaining (advanced 58%), 56,106 tokens at start"
1773254270.6485956,User-023,started,trace_0205,"370 requests remaining (advanced 55%), 144,184 tokens at start"
1773254270.7278128,User-024,started,trace_0488,"59 requests remaining (advanced 47%), 103,895 tokens at start"
1773254270.7940004,User-025,started,trace_0434,"12 requests remaining (advanced 48%), 57,490 tokens at start"
1773254270.860545,User-026,started,trace_0230,"6 requests remaining (advanced 54%), 59,113 tokens at start"
1773254270.9355512,User-027,started,trace_0473,"48 requests remaining (advanced 48%), 88,509 tokens at start"
