period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773276175.7873337,1773276205.7873337,1,14,10,13,13,13,0,1,1,0,0.43333333333333335,20819.066666666666,108.46666666666667,1.778349362886869,1.6338465213775635,4.03352723121643,4.0509006214141845,0.798482206953133,8563,0,0,95.15044665336609,78.85545629925198,125760,40.721687903771034,0,0,0,0.36462169885635376,3.601545572280884,0,1
2,1773276205.7873337,1773276235.7873337,0,15,11,25,24,24,1,0,0,0,0.8333333333333334,37888.4,229.56666666666666,0.6034659842650095,0.35492467880249023,2.209791362285613,2.86516126871109,0.8953062489434834,13762,0,0,97.02123308181763,78.43972598181831,118912,79.88446719116635,0,0,0,0.04458338022232056,0.09624242782592773,0,0
3,1773276235.7873337,1773276265.7873337,4,13,12,21,21,21,0,4,4,0,0.7,37200.7,168.03333333333333,0.8506938957032704,0.5310392379760742,2.963304042816162,3.678534412384034,0.7991048373213978,17009,2,0,91.29716777801514,82.09859455333036,224064,71.64353680989099,0,0,0,0.03885099411010742,0.10083436965942383,0,4
4,1773276265.7873337,1773276295.7873337,3,15,12,25,21,21,4,3,3,0,0.8333333333333334,42472.86666666667,234.06666666666666,0.7796536627269927,0.7258868217468262,1.2467317581176758,2.816935348510744,0.6982108754648708,17790,1,0,100.00426483154297,81.48069169786241,384320,74.01154457576692,0,0,0,0.03955398996671041,0.09412717819213867,0,3
5,1773276295.7873337,1773276325.7873337,7,14,10,23,20,20,3,7,7,0,0.7666666666666667,34175.7,130.6,1.006869912147522,0.6081275939941406,3.2434098482131963,4.013487000465392,0.6159660191142482,19320,3,0,76.59889912605286,87.84144458316622,393472,66.43766959508261,0,0,0,0.05086736325864439,0.16923880577087402,5,2
6,1773276325.7873337,1773276355.7873337,7,16,13,24,18,18,6,7,6,1,0.8,47271.3,148.56666666666666,2.2001125379042192,1.578747034072876,4.6807072997093195,5.356587841510772,0.8009390943157705,23965,2,0,142.0222053527832,79.41707168800242,282176,26.662915403192695,0,0,0,0.034642050663630165,0.09693455696105957,1,6
7,1773276355.7873337,1773276385.7873337,4,22,13,25,20,20,5,4,2,2,0.8333333333333334,35672.333333333336,236.33333333333334,0.7010558900378999,0.5430393218994141,1.5987892150878906,2.0620109558105475,0.8520136437077375,27522,3,0,86.88989043235779,88.86027045739002,158272,76.63147033207,0,0,0,0.04745182124051181,0.09575128555297852,1,3
8,1773276385.7873337,1773276415.7873337,2,24,8,20,16,16,4,2,2,0,0.6666666666666666,25143.2,151.4,0.39616912953993855,0.3648102283477783,0.6603000640869139,0.8552098846435546,0.8066734589913398,28522,0,0,45.16671395301819,94.20939564704895,145728,86.79436234866871,0,0,0,0.05402513345082601,0.09363579750061035,0,2
9,1773276415.7873337,1773276445.7873337,3,25,12,24,22,22,2,3,3,0,0.8,43562.3,188.86666666666667,1.5630432522815207,1.327622890472412,3.4968111038208005,3.859462723731995,0.8294869910333676,32053,2,0,117.7117612361908,85.98669509092967,222720,47.898558257282644,0,0,0,0.03539151191711426,0.09259629249572754,0,3
10,1773276445.7873337,1773276475.7873337,12,19,11,20,17,17,3,12,12,0,0.6666666666666666,28562.533333333333,126.0,1.3344648585600012,0.8348617553710938,4.278129959106446,4.3308701324462895,0.8419282511210763,41496,3,0,112.51197934150696,87.90193770521431,135360,55.51783804799996,0,0,0,0.05336883068084717,0.1513824462890625,1,11
