period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773242495.0565932,1773242525.0565932,40,0,1,1,1,1,0,40,40,0,0.03333333333333333,604.5,0.6,1.7977349758148193,1.7977349758148193,1.7977349758148193,1.7977349758148193,0.0,283,0,0,5.102498531341553,99.57479178905487,72448,64.04530048370361,0,0,0,0.9549111854739305,1.9559335708618164,7,33
2,1773242525.0565932,1773242555.0565932,5,39,21,60,20,20,40,5,5,0,2.0,30782.033333333333,332.1666666666667,11.135168993914569,0.176255464553833,37.195629668235775,39.9270094871521,0.27668724422556706,29210,4,0,424.95576524734497,67.80638142065568,2669568,0.0,0,0,0,0.047610721588134765,0.2022409439086914,1,4
3,1773242555.0565932,1773242585.0565932,0,11,1,5,1,1,4,0,0,0,0.16666666666666666,745.1,28.233333333333334,0.26274538040161133,0.26274538040161133,0.26274538040161133,0.26274538040161133,0.8424068767908309,29265,0,0,3.0415430068969727,99.07832030094032,14080,94.74509239196777,33,150,0,0.0,0.0,0,0
4,1773242585.0565932,1773242615.0565932,4,42,42,47,47,47,0,4,4,0,1.5666666666666667,70633.73333333334,432.73333333333335,1.2752156257629395,1.0653605461120605,2.5040940046310425,2.598041648864746,0.8348293891860852,34712,2,0,499.6628692150116,63.79254570905712,1399040,74.49568748474121,0,0,0,17.266165850209255,35.62295079231262,3,1
5,1773242615.0565932,1773242645.0565932,9,43,37,47,43,43,4,9,9,0,1.5666666666666667,58168.066666666666,348.0,2.143285326335741,1.8879786729812622,4.342381417751312,4.642240917682647,0.704411980619586,41829,6,0,532.9811446666718,65.83454200854668,2061568,57.13429347328518,0,0,0,0.07055762639412513,0.34096336364746094,1,8
6,1773242645.0565932,1773242675.0565932,32,26,35,61,54,54,7,32,30,2,2.033333333333333,53042.166666666664,386.6666666666667,0.6228953578255393,0.41153717041015625,1.4948976278305053,2.0799774885177618,0.8274681913351586,44783,6,0,283.0842583179474,83.73078975184211,1096960,87.5420928434892,0,0,0,0.06302964119684129,0.3668696880340576,5,27
7,1773242675.0565932,1773242705.0565932,30,32,24,44,21,21,23,30,21,9,1.4666666666666666,32524.633333333335,296.43333333333334,1.410785665512085,1.1248102188110352,3.7150948047637926,3.8283498382568357,0.7365104371799921,49285,4,0,298.5718538761139,83.94774979160677,1027584,71.78428668975829,0,0,0,0.04802515340405841,0.20238947868347168,0,30
8,1773242705.0565932,1773242735.0565932,30,32,21,48,23,23,25,30,25,5,1.6,30871.7,341.3333333333333,0.3731331203294837,0.2292015552520752,0.8323775529861447,1.1639340400695806,0.9549730253147046,54388,0,0,140.85761046409607,92.42701019010237,166656,92.53733759341033,0,0,0,0.043617780009905495,0.09890055656433105,6,24
9,1773242735.0565932,1773242765.0565932,18,49,30,57,30,30,27,18,15,3,1.9,54513.6,450.6,1.9706631633970473,1.3868491649627686,4.171250939369202,4.4825522065162655,0.7525357352653221,61015,5,0,426.27738761901855,78.79216977019809,1617664,60.58673673205905,0,0,0,0.0625186973147922,0.25225234031677246,0,18
10,1773242765.0565932,1773242795.0565932,19,49,30,44,32,32,12,19,13,6,1.4666666666666666,49812.4,283.06666666666666,1.727188989520073,0.8501632213592529,4.594324481487274,4.911504924297334,0.7848632896202966,65757,1,0,377.31704783439636,81.50406628262763,1285120,65.45622020959854,0,0,0,0.04640162256028917,0.10021853446960449,0,19
