period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773216164.186145,1773216194.186145,5,15,17,18,18,18,0,5,5,0,0.6,24855.966666666667,146.03333333333333,10.198927084604898,10.382974028587341,22.1601096868515,23.380826792716977,0.016234323999312832,11453,0,0,460.2511975765228,23.29146707057953,2931968,0.0,0,0,0,0.4143177011738653,0.9529802799224854,0,5
2,1773216194.186145,1773216224.186145,3,17,13,24,19,19,5,3,3,0,0.8,19940.833333333332,185.23333333333332,0.32925790234615926,0.18884825706481934,0.7838022470474215,1.7371595811843876,0.8934461340758192,15863,0,0,54.69937491416931,90.88343751430511,254720,93.41484195307682,0,0,0,0.75676044550809,5.076819181442261,0,3
3,1773216224.186145,1773216254.186145,6,18,15,28,25,25,3,6,6,0,0.9333333333333333,32851.433333333334,237.26666666666668,0.7722561454772949,0.43384885787963867,2.5954875946044886,3.1136657810211172,0.7122984919396775,19747,4,0,104.11540031433105,85.5395277341207,1133056,84.55487709045411,0,0,0,0.053308379265569875,0.20360493659973145,0,6
4,1773216254.186145,1773216284.186145,6,23,20,38,32,32,6,6,6,0,1.2666666666666666,36303.03333333333,313.1333333333333,0.7139553800225258,0.343572735786438,2.462267971038818,3.0925409364700327,0.6558456833686191,24781,5,0,148.50581550598145,82.93036603379524,1498112,85.72089239954948,0,0,0,0.05061672863207365,0.2541625499725342,1,5
5,1773216284.186145,1773216314.186145,5,27,20,33,29,29,4,5,3,2,1.1,37383.9,330.5,0.5683313926060994,0.40055060386657715,1.2335635662078854,1.5838099002838137,0.7672891325452572,27924,3,0,162.03850197792053,83.12098937729995,1043200,88.633372147878,0,0,0,0.05477678030729294,0.15207386016845703,0,5
6,1773216314.186145,1773216344.186145,8,29,22,42,38,38,4,8,7,1,1.4,44784.433333333334,318.56666666666666,0.5204081598081087,0.4714707136154175,1.1363806962966918,1.6672148942947405,0.7570209316740572,31770,5,0,143.39964842796326,87.08111275423754,1304576,89.59183680383782,0,0,0,0.05853821966383192,0.25324177742004395,1,7
7,1773216344.186145,1773216374.186145,9,34,28,63,55,55,8,9,9,0,2.1,58732.3,499.26666666666665,0.4709058403968811,0.25460946559906006,1.6235376000404358,2.3361454844474796,0.8143973822941284,34442,6,0,239.4903872013092,81.43485370532485,1306880,90.58188319206238,0,0,0,0.0553603358566761,0.30535387992858887,2,7
8,1773216374.186145,1773216404.186145,11,37,29,56,47,47,9,11,11,0,1.8666666666666667,53173.0,442.4,0.6284237297213807,0.3810234069824219,1.790216684341428,3.6675830841064414,0.6884034693221972,39800,5,0,291.45996475219727,79.7597246699863,1986560,87.43152540557239,0,0,0,0.05095548548940885,0.25189208984375,2,9
9,1773216404.186145,1773216434.186145,14,35,28,48,38,38,10,14,13,1,1.6,43688.26666666667,410.0,0.8742912182441125,0.3701913356781006,2.634751224517823,3.224336910247802,0.7618628744563358,41053,1,0,243.07164978981018,83.46451361974081,1247488,82.51417563511777,0,0,0,0.043878765667186063,0.10005044937133789,1,13
10,1773216434.186145,1773216464.186145,6,47,28,66,53,53,13,6,5,1,2.2,58592.6,559.6666666666666,0.5868282803782711,0.3660961389541626,1.9248871922492965,2.2665688610076904,0.7959034915081274,42566,4,0,269.8109209537506,83.03075968844335,1433600,88.26343439243458,0,0,0,0.051158058232274546,0.20123624801635742,0,6
11,1773216464.186145,1773216494.186145,13,44,29,55,51,51,4,13,11,2,1.8333333333333333,50559.1,435.1666666666667,0.7853760111565683,0.2540602684020996,2.868322014808655,3.3444125652313232,0.7775055961481606,47204,4,0,306.3535017967224,82.08459053820336,1348608,84.29247977686863,0,0,0,0.05796078328163393,0.20693206787109375,3,10
12,1773216494.186145,1773216524.186145,35,25,21,31,20,20,11,35,33,2,1.0333333333333334,25460.8,213.23333333333332,1.620519783185876,1.5294277667999268,3.5693221807479856,3.673106355667114,0.6458403220395841,50401,3,0,172.80663561820984,90.3996313545439,1081088,67.58960433628248,0,0,0,0.04951939492855432,0.15123462677001953,0,35
13,1773216524.186145,1773216554.186145,13,52,26,66,35,35,31,13,9,4,2.2,38809.53333333333,462.06666666666666,0.9341026963414373,0.8750193119049072,2.2133615016937247,2.6030194759368896,0.7189632401496808,56269,5,0,300.9157540798187,84.56842286770161,1307392,81.31794607317126,0,0,0,0.05800916931845925,0.25806355476379395,0,13
14,1773216554.186145,1773216584.186145,38,33,23,33,24,24,9,38,34,4,1.1,23980.033333333333,220.33333333333334,1.479839712381363,1.227339506149292,3.1996848344802853,3.340392050743103,0.6796401852511578,59308,6,0,212.67668533325195,90.01517909233559,920832,70.40320575237274,0,0,0,0.0650314215956063,0.33722877502441406,5,33
