period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773213292.4364772,1773213322.4364772,3,17,18,19,20,19,0,3,3,0,0.6333333333333333,26079.3,164.26666666666668,7.246233189105988,6.753668189048767,18.964171445369722,22.38668194532394,0.030702472572457836,11839,0,0,481.21578907966614,19.797368486722313,3030784,0.0,0,0,0,0.41422188800314197,0.9528710842132568,0,3
2,1773213322.4364772,1773213352.4364772,0,5,0,4,0,0,4,0,0,0,0.13333333333333333,0.0,26.766666666666666,0.0,0.0,0.0,0.0,0.0,14884,0,0,0.0,100.0,0,0.0,15,69,0,0.0,0.0,0,0
3,1773213352.4364772,1773213382.4364772,7,13,19,23,23,23,0,7,7,0,0.7666666666666667,29264.2,220.13333333333333,0.982804070348325,0.5660536289215088,5.875185489654533,6.505883102416992,0.9668758208084051,15325,0,0,128.70285892486572,78.54952351252238,116224,80.3439185930335,0,0,0,9.693387118975322,35.52129936218262,0,7
4,1773213382.4364772,1773213412.4364772,5,19,13,31,24,24,7,5,5,0,1.0333333333333334,30353.8,251.73333333333332,0.480302095413208,0.24576592445373535,1.414817655086517,1.51083838224411,0.8040801969750264,19797,4,0,81.74750828742981,88.64617940452364,712960,90.39395809173584,0,0,0,0.054363275396412815,0.20436525344848633,0,5
5,1773213412.4364772,1773213442.4364772,5,24,19,37,32,32,5,5,5,0,1.2333333333333334,34290.03333333333,309.53333333333336,1.0268734320998192,0.7709165811538696,2.7760063648223876,2.9762024712562565,0.601407310542375,25330,5,0,184.10096144676208,78.83896994864803,1638656,79.46253135800362,0,0,0,0.06724077946430929,0.34447622299194336,1,4
6,1773213442.4364772,1773213472.4364772,7,25,17,32,28,28,4,7,6,1,1.0666666666666667,39204.1,291.46666666666664,0.504132657215513,0.2842741012573242,1.371942043304443,1.7758268737792964,0.8070137225005446,27950,3,0,104.00899910926819,89.16572925945123,907264,89.91734685568973,0,0,0,0.05314519826103659,0.1523747444152832,1,6
7,1773213472.4364772,1773213502.4364772,7,30,18,41,35,35,6,7,6,1,1.3666666666666667,42131.933333333334,309.03333333333336,0.5444137505122594,0.48465800285339355,1.221466875076294,1.6288032484054544,0.7419927022096088,31816,5,0,115.71098589897156,89.5755868559485,1303296,89.11172498975482,0,0,0,0.05563880176078982,0.25295114517211914,2,5
8,1773213502.4364772,1773213532.4364772,6,37,31,65,58,58,7,6,6,0,2.1666666666666665,65637.86666666667,525.3333333333334,0.5685836513837178,0.30980241298675537,1.5425400972366328,2.646223509311669,0.7747486905885032,36266,6,0,295.5239918231964,77.09116342455842,1772544,88.62832697232564,0,0,0,0.057637110352516174,0.3334927558898926,0,6
9,1773213532.4364772,1773213562.4364772,18,30,30,52,46,46,6,18,18,0,1.7333333333333334,41400.433333333334,428.8,0.5760628710622373,0.35466957092285156,1.7407346963882446,2.520467579364776,0.7199525430723203,39445,5,0,216.83666729927063,84.94189810421732,1389824,88.47874257875525,0,0,0,0.05125636320847731,0.2541768550872803,4,14
10,1773213562.4364772,1773213592.4364772,9,40,30,52,37,37,15,9,6,3,1.7333333333333334,45164.6,458.3,1.2165111005306244,0.7088700532913208,3.5446391224861142,3.9711179423332212,0.7424127824524912,41101,1,0,296.57745456695557,79.82466295462886,1394944,75.66977798938751,0,0,0,0.04713911788408146,0.10072708129882812,2,7
11,1773213592.4364772,1773213622.4364772,5,48,31,64,56,56,8,5,4,1,2.1333333333333333,55924.53333333333,569.9333333333333,0.49274865101123677,0.31005656719207764,1.5751419425010682,1.9433384990692137,0.8031465994577462,43057,4,0,278.2094147205353,82.50255253329966,1319680,90.14502697977527,0,0,0,0.041584487756093344,0.20446157455444336,0,5
12,1773213622.4364772,1773213652.4364772,21,36,31,52,48,48,4,21,20,1,1.7333333333333334,47241.066666666666,414.46666666666664,0.6501982361078262,0.30955660343170166,1.9573093056678768,2.488818953037262,0.7885815025766205,47212,4,0,278.20308113098145,83.73081396894845,1197312,86.99603527784348,0,0,0,0.05237593720940983,0.27338075637817383,1,20
13,1773213652.4364772,1773213682.4364772,20,40,23,45,27,27,18,20,17,3,1.5,33750.63333333333,294.6666666666667,1.238409093448094,1.243193507194519,2.668502032756805,2.8378091192245485,0.6732667004048583,51383,3,0,253.76419711112976,85.90198904938168,1322240,75.23181813103812,0,0,0,0.046851819211786445,0.15079283714294434,1,19
14,1773213682.4364772,1773213712.4364772,23,42,28,48,36,36,12,23,16,7,1.6,43048.4,347.53333333333336,1.0847069830507845,0.9576735496520996,2.4768629074096675,2.591866149902344,0.7183531746031746,56238,5,0,344.0713584423065,82.35531495167659,1453568,78.30586033898432,0,0,0,0.049144359735342175,0.2523026466369629,0,23
15,1773213712.4364772,1773213742.4364772,31,40,26,52,33,33,19,31,26,5,1.7333333333333334,36066.7,325.46666666666664,1.1340361074967817,0.7701075077056885,3.7792846679687497,3.9960235595703124,0.7007636299058781,60013,6,0,296.223162651062,86.09280926520836,1294080,77.31927785006437,0,0,0,0.06009328567375571,0.3059525489807129,7,24
16,1773213742.4364772,1773213772.4364772,19,58,38,71,42,42,29,19,17,2,2.3666666666666667,55190.5,521.9333333333333,1.5856810491912219,0.8606793880462646,4.191557168960571,4.3173581314086915,0.662075369496247,63578,6,0,515.6476230621338,77.6775920752323,2235904,68.28637901617556,0,0,0,0.05701091329930192,0.3028240203857422,8,11
17,1773213772.4364772,1773213802.4364772,33,45,26,42,25,25,17,33,31,2,1.4,38584.2,254.23333333333332,1.4435457736253738,1.3099786043167114,3.2732924103736876,4.355060575008394,0.808709606020363,65805,1,0,325.43675780296326,86.0924462477366,884992,71.12908452749252,0,0,0,0.04614323803356716,0.09958839416503906,1,32
18,1773213802.4364772,1773213832.4364772,37,44,6,28,6,6,22,37,26,11,0.9333333333333333,9572.233333333334,104.76666666666667,3.879721244176229,4.338598012924194,5.144453167915344,5.202022194862366,0.8039696699375558,67080,3,0,133.45944356918335,94.50784182842867,225024,22.405575116475422,0,0,0,0.05085500329732895,0.15259790420532227,0,37
19,1773213832.4364772,1773213862.4364772,40,44,16,47,18,18,29,40,32,8,1.5666666666666667,25533.666666666668,260.8333333333333,0.9424609761489066,0.6561663150787354,2.19766957759857,2.8064397001266483,0.8799431485661734,72498,3,0,160.0616672039032,93.64834653952765,367616,81.15078047702188,0,0,0,0.05908339023590088,0.24783778190612793,5,35
20,1773213862.4364772,1773213892.4364772,37,53,22,50,18,18,32,37,29,8,1.6666666666666667,24652.5,292.3333333333333,2.1515810164538296,1.7445844411849976,5.283628141880035,5.413412098884582,0.7993589188252621,76852,6,0,348.3875765800476,87.09675642296119,592896,56.96837967092341,0,0,0,0.056791264960106384,0.302004337310791,1,36
21,1773213892.4364772,1773213922.4364772,58,38,5,29,5,5,24,58,45,13,0.9666666666666667,6250.2,116.83333333333333,1.2708504676818848,1.2208404541015625,1.912052297592163,1.9466772365570069,0.477963785445849,78207,6,0,85.39230847358704,97.03498928911156,391168,74.58299064636232,0,0,16,0.09304243564605713,1.3031833171844482,6,52
22,1773213922.4364772,1773213952.4364772,56,43,4,32,1,1,31,56,29,27,1.0666666666666667,7305.666666666667,93.03333333333333,7.9191030859947205,7.594285488128662,9.144508039951324,9.338178379535675,0.7776803973122991,79138,3,0,94.5273163318634,96.81726207636824,194816,0.0,0,0,307,1.0394614696502686,4.226969003677368,1,55
