period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,96,640000,1773209269.111589,1773209299.4002304,30.28691077232361,1,41,40,2560000,40,84524.96259008846,1.320702540470132,0.7048983156681061,0.3843952417373657,1.7054698824882508,1.70962513923645,0.7048985123634338,0.3843954801559448,1.7054698944091797,1.7096253776550292,0,0,0,0,2867.2632573848628,0.7048983156681061,RAMP_UP,11
2,64000,96,640000,1773209299.4002647,1773209330.570737,31.16870427131653,11,205,194,12416000,194,398348.28846016584,6.224192007190092,1.5404388634199948,1.6401242017745972,1.822413694858551,1.9244383597373962,1.5404390391615248,1.6401243209838867,1.8224138498306275,1.9244383764266966,0,0,0,0,902.9791389763469,1.5404388634199948,RAMP_UP,15
3,64000,96,896000,1773209330.570763,1773209362.5752578,32.003068923950195,15,189,174,11136000,174,347966.6286524831,5.436978572695049,2.158501312650483,2.2389696836471558,2.441401779651642,3.4697431159019474,2.158501489409085,2.2389698028564453,2.441402018070221,3.4697433543205265,0,0,0,0,996.3814002565363,2.158501312650483,RAMP_DOWN,13
4,64000,96,896000,1773209362.575272,1773209394.2655015,31.688626289367676,13,188,175,11200000,175,353439.1140128999,5.522486156451562,2.0523088455200194,1.843740463256836,3.4266743421554535,3.668347730636597,2.05230902671814,1.8437409400939941,3.4266744136810274,3.668347969055176,0,0,0,0,1045.4381004577424,2.0523088455200194,RAMP_DOWN,11
5,64000,96,896000,1773209394.265516,1773209426.2845573,32.01703405380249,11,202,191,12224000,191,381796.7641680483,5.965574440125755,1.5828659946381733,1.6672213077545166,1.957005500793457,2.120318651199341,1.5828661856226895,1.6672215461730957,1.9570056200027466,2.1203186750411986,0,0,0,0,1024.3059431273848,1.5828659946381733,RAMP_UP,15
6,64000,96,1152000,1773209426.2845786,1773209459.1768997,32.890758991241455,15,167,152,9728000,152,295766.9661132018,4.621358845518778,2.680424155373322,2.300856828689575,5.483748090267181,6.499469115734111,2.680424342029973,2.3008570671081543,5.48374832868576,6.49946935415269,0,0,0,0,1029.5628002818048,2.680424155373322,RAMP_DOWN,13
7,64000,96,1152000,1773209459.176914,1773209490.7060382,31.52743101119995,13,198,185,11840000,185,375545.98076176597,5.867905949402593,1.9122197473371352,1.82865309715271,2.4913694858551025,2.6476461315155024,1.9122199110082678,1.828653335571289,2.4913697242736816,2.647646331787109,0,0,0,0,967.0364598851518,1.9122197473371352,RAMP_UP,15
8,64000,96,1152000,1773209490.7060556,1773209522.5925522,31.88486337661743,15,205,191,12224000,191,383379.4065733522,5.990303227708627,2.1596174502247916,2.241943597793579,2.5246344804763794,2.6040345191955567,2.1596176149957467,2.241943836212158,2.524634599685669,2.604034757614136,0,0,0,0,1030.709031290612,2.1596174502247916,RAMP_DOWN,13
9,64000,96,1408000,1773209522.5925682,1773209554.010598,31.416466236114502,13,169,156,9984000,156,317795.13090250065,4.965548920351573,2.2945571587635922,1.859226942062378,5.710871517658234,6.02929527759552,2.2945573375775266,1.8592270612716675,5.710871756076813,6.029295384883881,0,0,0,0,1053.8006645076848,2.2945571587635922,RAMP_DOWN,11
10,64000,96,1408000,1773209554.010613,1773209585.3610291,31.34883213043213,11,204,194,12416000,194,396059.41134716367,6.188428302299433,1.5574997466864045,1.6374669075012207,1.8521710872650146,1.965561079978943,1.5574998941618143,1.6374671459197998,1.852171242237091,1.9655613017082214,0,0,0,0,1052.6550467095617,1.5574997466864045,RAMP_UP,15
11,64000,96,1664000,1773209585.3610456,1773209619.948496,34.58596754074097,15,203,188,12032000,188,347886.75452918175,5.435730539518465,2.1084522541533124,2.2086408138275146,2.3541805744171143,2.4275909852981568,2.108452425358143,2.208640933036804,2.3541808128356934,2.4275909852981568,0,0,0,0,955.1554148203761,2.1084522541533124,RAMP_DOWN,13
12,64000,96,1664000,1773209619.9485128,1773209651.7786834,31.828614473342896,13,148,135,8640000,135,271453.85191793926,4.2414664362178005,2.6905632849092838,2.8902649879455566,4.465504741668701,4.731447229385376,2.6905634544513846,2.8902649879455566,4.465505146980285,4.731447386741638,0,0,0,0,1153.842747075311,2.6905632849092838,RAMP_DOWN,11
13,64000,96,1664000,1773209651.778698,1773209683.0448449,31.264508724212646,11,140,129,8256000,129,264069.39807776926,4.126084344965145,2.2017006356586784,1.7940056324005127,3.9746430873870846,5.5440944576263425,2.201700805693634,1.7940058708190918,3.9746433258056637,5.5440944576263425,0,0,0,0,1132.48574220769,2.2017006356586784,RAMP_DOWN,9
14,64000,96,1920000,1773209683.0448618,1773209716.5331137,33.486666202545166,9,147,139,8896000,139,265657.9770047057,4.150905890698527,1.8052548058599018,1.3347647190093994,4.064491224288941,4.907628922462468,1.805254979099301,1.3347649574279785,4.0644916772842405,4.907629070281987,0,0,0,0,1127.8744814923934,1.8052548058599018,PLATEAU_RAMP_DOWN,3
15,64000,96,1920000,1773209716.5331292,1773209747.5608187,31.025983810424805,3,81,78,4992000,78,160897.39588926994,2.514021810769843,1.0693231118031037,0.5618559122085571,2.9251575112342807,3.3276686692237853,1.069323337995089,0.5618560314178467,2.925157713890073,3.3276689076423644,0,0,0,0,2432.636715912066,1.0693231118031037,PLATEAU_RAMP_DOWN,1
16,64000,96,1920000,1773209747.560837,1773209778.8578117,31.29543447494507,1,47,46,2944000,46,94071.22953851138,1.4698629615392405,0.5995476245880127,0.38015127182006836,1.6902306079864502,1.7624787092208858,0.5995478992876799,0.380151629447937,1.6902308464050293,1.7624789476394649,0,0,0,0,2632.959802887659,0.5995476245880127,PLATEAU_RAMP_DOWN,1
17,64000,96,2176000,1773209778.8578265,1773209809.2284985,30.368774890899658,1,53,52,3328000,52,109586.24481744479,1.7122850752725747,0.5325298492725079,0.37894272804260254,1.6893414378166198,1.7146955418586731,0.5325300968610324,0.37894296646118164,1.689341676235199,1.714695897102356,0,0,0,0,2594.194452051856,0.5325298492725079,PLATEAU_RAMP_DOWN,1
18,64000,96,2176000,1773209809.2285204,1773209839.3939838,30.16401696205139,1,45,44,2816000,44,93356.266293801,1.4586916608406406,0.6322992498224432,0.38234806060791016,1.689592957496643,1.6976730608940125,0.6322994936596263,0.38234829902648926,1.6895931601524352,1.6976731634140014,0,0,0,0,2731.5426080997127,0.6322992498224432,PLATEAU_RAMP_DOWN,1
19,64000,96,2176000,1773209839.3939981,1773209870.7130673,31.316941499710083,1,48,47,3008000,47,96050.2480750825,1.5007851261731642,0.5868499938477861,0.3801991939544678,1.693048357963562,1.7235171270370484,0.5868502069026866,0.3801994323730469,1.6930485963821411,1.7235173654556275,0,0,0,0,2680.8614782296445,0.5868499938477861,PLATEAU_RAMP_DOWN,1
20,64000,96,2432000,1773209870.7130878,1773209900.8863573,30.171903610229492,1,31,30,1920000,30,63635.36171940582,0.9943025268657159,0.949168038368225,0.3889153003692627,1.7279362320899962,1.7405480909347535,0.9491682847340902,0.38891541957855225,1.7279366850852966,1.7405483293533326,0,0,0,0,2706.04876504993,0.949168038368225,PLATEAU_RAMP_DOWN,1
21,64000,96,2432000,1773209900.8863723,1773209931.0333643,30.145530700683594,1,31,30,1920000,30,63691.03330983857,0.9951723954662276,0.9474723895390829,0.4027143716812134,1.6998073220252992,1.7283306097984314,0.9474725961685181,0.40271449089050293,1.699807584285736,1.7283309173583985,0,0,0,0,2781.3377418035047,0.9474723895390829,PLATEAU_RAMP_DOWN,1
22,64000,96,2688000,1773209931.03338,1773209962.4800065,31.445310831069946,1,34,33,2112000,33,67164.22716716195,1.0494410494869055,0.8572346875161836,0.38278865814208984,1.7141278266906739,1.7185132503509521,0.8572348898107355,0.38278889656066895,1.714128065109253,1.7185134887695312,0,0,0,0,2808.222775820193,0.8572346875161836,PLATEAU_RAMP_DOWN,1
23,64000,96,2688000,1773209962.4800224,1773209992.6921122,30.21064591407776,1,34,33,2112000,33,69909.13090725531,1.0923301704258643,0.8603894421548555,0.40009093284606934,1.7089877128601074,1.7116161537170411,0.8603896516742129,0.40009117126464844,1.7089877128601074,1.7116163158416748,0,0,0,0,2780.6433707375795,0.8603894421548555,PLATEAU_RAMP_DOWN,1
24,64000,96,2688000,1773209992.6921272,1773210023.686273,30.992712020874023,1,30,29,1856000,29,59885.046482862104,0.9357038512947203,0.966755381945906,0.44292187690734863,1.7097644329071044,2.0657008838653557,0.9667555710365032,0.44292187690734863,1.709764575958252,2.0657011222839348,0,0,0,0,2728.3860070882756,0.966755381945906,PLATEAU_RAMP_DOWN,1
25,64000,96,2944000,1773210023.6862876,1773210054.0321188,30.34442448616028,1,28,27,1728000,27,56946.21101771496,0.8897845471517962,1.017117809366297,0.9428021907806396,1.7340637683868407,1.740506854057312,1.0171180301242404,0.9428024291992188,1.7340640068054198,1.7405072689056396,0,0,0,0,2641.100281749472,1.017117809366297,PLATEAU_RAMP_DOWN,1
26,64000,96,2944000,1773210054.0321352,1773210084.1537025,30.12032651901245,1,26,25,1600000,25,53120.27407770807,0.8300042824641886,1.1456106185913086,1.6824471950531006,1.719140625,1.7285412120819093,1.1456108283996582,1.6824474334716797,1.7191409111022948,1.7285414505004884,0,0,0,0,2692.3441492948045,1.1456106185913086,RAMP_UP,7
27,64000,96,2944000,1773210084.1537173,1773210118.432462,34.27729678153992,7,43,36,2304000,36,67216.50235968498,1.0502578493700778,5.046588427490658,5.086853861808777,8.999306380748749,9.215208959579467,5.046588619550069,5.086853981018066,8.999306559562683,9.215209114551543,0,0,0,0,2022.6589822867415,5.046588427490658,RAMP_DOWN,3
28,64000,96,3136000,1773210118.432476,1773210150.3372068,31.90357232093811,3,36,33,2112000,33,66199.48320376361,1.0343669250588063,2.5531474388006963,3.1008362770080566,4.642572975158691,4.740765056610107,2.553147604971221,3.1008362770080566,4.642573308944702,4.740765371322632,0,0,0,0,2371.3431280254613,2.5531474388006963,RAMP_DOWN,1
29,64000,96,3136000,1773210150.3372204,1773210180.5385556,30.199928998947144,1,31,30,1920000,30,63576.308410093836,0.9933798189077162,0.9067056973775228,0.40260958671569824,1.7027275919914246,1.708943293094635,0.9067058483759562,0.4026097059249878,1.7027278304100038,1.708943362236023,0,0,0,0,2701.5468028687183,0.9067056973775228,RAMP_UP,11
30,64000,96,3136000,1773210180.5385716,1773210214.6616313,34.12153172492981,11,53,42,2688000,42,78777.23724917362,1.2308943320183379,6.8027658859888716,6.951855897903442,9.631381702423095,9.867319116592407,6.802766107377552,6.951855897903442,9.631381940841674,9.867319355010986,0,0,0,0,1966.14780619284,6.8027658859888716,RAMP_DOWN,7
31,64000,96,3328000,1773210214.6616473,1773210251.706332,37.04313588142395,7,40,33,2112000,33,57014.61147243493,0.8908533042567958,5.668149781949593,6.224180459976196,8.385268735885619,9.081487770080566,5.6681499842441445,6.224180698394775,8.385268974304198,9.081488170623778,0,0,0,0,2155.3935396636816,5.668149781949593,RAMP_DOWN,3
32,64000,96,3328000,1773210251.7063541,1773210285.4268577,33.71908211708069,3,39,36,2304000,36,68329.26210743113,1.0676447204286112,2.363410883479648,1.9913849830627441,4.541168570518494,4.637569844722748,2.3634110821617975,1.9913852214813232,4.541168630123138,4.637569928169251,0,0,0,0,2301.0677038832264,2.363410883479648,RAMP_DOWN,1
33,64000,96,3520000,1773210285.426874,1773210315.5647736,30.13610291481018,1,28,27,1728000,27,57339.86258557626,0.8959353528996291,1.0575032940617315,1.0574676990509033,1.7060455560684205,1.7104473495483399,1.0575034883287218,1.0574679374694824,1.7060457944869996,1.7104474115371704,0,0,0,0,2754.517079431358,1.0575032940617315,PLATEAU_RAMP_DOWN,1
34,64000,96,3520000,1773210315.5648026,1773210346.123245,30.556987285614014,1,24,23,1472000,23,48172.28826393517,0.752692004123987,1.209003158237623,1.6775977611541748,1.7183300495147704,1.7377787160873412,1.2090033759241519,1.677597999572754,1.7183305025100708,1.7377788209915161,0,0,0,0,2743.0548258676495,1.209003158237623,PLATEAU_RAMP_DOWN,1
35,64000,96,3520000,1773210346.1232617,1773210377.8028388,31.677689790725708,1,25,24,1536000,24,48488.38441652066,0.7576310065081353,1.205225904782613,1.688339352607727,1.7158260822296143,1.7311089897155763,1.2052261034647624,1.6883395910263062,1.7158263206481934,1.7311092281341554,0,0,0,0,2738.529003628633,1.205225904782613,PLATEAU_RAMP_DOWN,1
36,64000,96,3712000,1773210377.8028657,1773210408.2406096,30.436288356781006,1,27,26,1664000,26,54671.58086078757,0.8542434509498058,1.1104196493442242,1.6696195602416992,1.7048721313476562,1.7174957394599915,1.1104199152726393,1.6696197986602783,1.7048723697662354,1.7174957990646362,0,0,0,0,2638.675333647307,1.1104196493442242,PLATEAU_RAMP_DOWN,1
37,64000,96,3712000,1773210408.2406256,1773210439.5165951,31.274462699890137,1,24,23,1472000,23,47067.155529587115,0.7354243051497986,1.2410461384317149,1.6858623027801514,1.712590265274048,1.7240825223922729,1.241046439046445,1.6858625411987305,1.712590503692627,1.724082760810852,0,0,0,0,2697.821868210517,1.2410461384317149,PLATEAU_RAMP_DOWN,1
38,64000,96,3904000,1773210439.5166106,1773210471.186468,31.6686007976532,1,25,24,1536000,24,48502.300743069936,0.7578484491104678,1.204618215560913,1.6786617040634155,1.7136491298675538,1.7237490248680114,1.204618404308955,1.6786619424819946,1.713649368286133,1.7237492632865905,0,0,0,0,2700.0152154173206,1.204618215560913,PLATEAU_RAMP_DOWN,1
39,64000,96,3904000,1773210471.1864824,1773210502.862253,31.67429208755493,1,28,27,1728000,27,54555.28398940743,0.8524263123344911,1.0663290818532307,1.6762852668762207,1.7125440120697022,1.7152925062179565,1.0663293379324454,1.6762855052947998,1.7125442504882813,1.7152927446365356,0,0,0,0,2692.5143271846223,1.0663290818532307,RAMP_UP,7
40,64000,96,3904000,1773210502.8622704,1773210536.435856,33.57215356826782,7,34,27,1728000,27,51471.228870860825,0.8042379511072004,6.809523193924515,7.64458703994751,9.140366435050964,9.191064867973328,6.809523388191506,7.644587278366089,9.140366673469543,9.191065106391907,0,0,0,0,2153.6513646406406,6.809523193924515,RAMP_DOWN,3
41,64000,96,4096000,1773210536.4358726,1773210568.7664297,32.32917761802673,3,32,29,1856000,29,57409.440534766196,0.8970225083557218,2.82033214897945,3.0104565620422363,4.479163694381714,4.490529661178589,2.820332379176699,3.0104568004608154,4.479163932800293,4.490529727935791,0,0,0,0,2372.462255317472,2.82033214897945,RAMP_DOWN,1
