request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.42548370361328125,0.42548394203186035,0.00036978721618652344,0.4258613586425781,1773169211.3834486,1773169211.80931,1,0.0
P1_c1_r1,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.358142614364624,0.3581428527832031,0.00038552284240722656,0.3585350513458252,1773169211.8494942,1773169212.2080293,1,0.0
P1_c1_r2,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36670684814453125,0.36670708656311035,0.00030803680419921875,0.3670189380645752,1773169212.2500021,1773169212.617021,1,0.0
P1_c1_r3,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.371596097946167,0.3715963363647461,0.00031757354736328125,0.3719172477722168,1773169212.6563184,1773169213.0282357,1,0.0
P1_c1_r4,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35778141021728516,0.35778164863586426,0.00031280517578125,0.35809826850891113,1773169213.0680153,1773169213.4261136,1,0.0
P1_c1_r5,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3723466396331787,0.3723466396331787,0.00030732154846191406,0.37265801429748535,1773169213.4654114,1773169213.8380694,1,0.0
P1_c1_r6,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35860323905944824,0.35860347747802734,0.00030303001403808594,0.35891103744506836,1773169213.8792527,1773169214.2381637,1,0.0
P1_c1_r7,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.46312451362609863,0.46312475204467773,0.0006432533264160156,0.4637720584869385,1773169214.2776687,1773169214.7414408,1,0.0
P1_c1_r8,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3584415912628174,0.3584418296813965,0.00029158592224121094,0.3587374687194824,1773169214.7805703,1773169215.1393077,1,0.0
P1_c1_r9,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3816981315612793,0.3816981315612793,0.0003352165222167969,0.3820376396179199,1773169215.1781776,1773169215.5602152,1,0.0
P1_c1_r10,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35687255859375,0.3568727970123291,0.00030803680419921875,0.35718417167663574,1773169215.5990222,1773169215.9562063,1,0.0
P1_c1_r11,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3583340644836426,0.3583340644836426,0.0003180503845214844,0.3586556911468506,1773169215.9953,1773169216.3539557,1,0.0
P1_c1_r12,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38865232467651367,0.38865232467651367,0.00030994415283203125,0.38896942138671875,1773169216.398864,1773169216.7878335,1,0.0
P1_c1_r13,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37067675590515137,0.37067699432373047,0.0003020763397216797,0.3709828853607178,1773169216.8273113,1773169217.1982942,1,0.0
P1_c1_r14,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35736703872680664,0.35736703872680664,0.0002930164337158203,0.3576641082763672,1773169217.237494,1773169217.595158,1,0.0
P1_c1_r15,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35734033584594727,0.35734057426452637,0.0003077983856201172,0.3576521873474121,1773169217.6349676,1773169217.9926198,1,0.0
P1_c1_r16,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36372947692871094,0.36372947692871094,0.00031948089599609375,0.36405324935913086,1773169218.0319734,1773169218.3960266,1,0.0
P1_c1_r17,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37023353576660156,0.37023377418518066,0.0004162788391113281,0.3706543445587158,1773169218.4348748,1773169218.805529,1,0.0
P1_c1_r18,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37960171699523926,0.37960195541381836,0.0003616809844970703,0.37996745109558105,1773169218.8483932,1773169219.2283607,1,0.0
P1_c1_r19,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3636891841888428,0.3636891841888428,0.0003273487091064453,0.36402058601379395,1773169219.268149,1773169219.6321695,1,0.0
P1_c1_r20,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3838374614715576,0.3838374614715576,0.00030803680419921875,0.38414931297302246,1773169219.671504,1773169220.0556533,1,0.0
P1_c1_r21,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36371302604675293,0.36371326446533203,0.0003402233123779297,0.3640570640563965,1773169220.0943546,1773169220.4584117,1,0.0
P1_c1_r22,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3820023536682129,0.3820023536682129,0.0003275871276855469,0.38233327865600586,1773169220.497038,1773169220.8793712,1,0.0
P1_c1_r23,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.39832615852355957,0.39832615852355957,0.00029659271240234375,0.39862680435180664,1773169220.9188786,1773169221.3175054,1,0.0
P1_c1_r24,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3841993808746338,0.3841993808746338,0.0003261566162109375,0.38452935218811035,1773169221.356815,1773169221.7413445,1,0.0
P1_c1_r25,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3693084716796875,0.3693084716796875,0.0003142356872558594,0.3696262836456299,1773169221.780773,1773169222.1503992,1,0.0
P1_c1_r26,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35640573501586914,0.35640573501586914,0.0003027915954589844,0.35671257972717285,1773169222.1904428,1773169222.5471554,1,0.0
P1_c1_r27,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3705143928527832,0.3705146312713623,0.00030875205993652344,0.37082743644714355,1773169222.5882416,1773169222.959069,1,0.0
P1_c1_r28,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38257718086242676,0.38257718086242676,0.00032711029052734375,0.38291144371032715,1773169222.9996717,1773169223.3825831,1,0.0
P1_c1_r29,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.46534204483032227,0.46534204483032227,0.00034356117248535156,0.46568942070007324,1773169223.4225438,1773169223.8882332,1,0.0
P1_c1_r30,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3582344055175781,0.3582344055175781,0.0003075599670410156,0.35854601860046387,1773169223.9271069,1773169224.2856529,1,0.0
P1_c1_r31,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3879203796386719,0.387920618057251,0.00030541419982910156,0.3882298469543457,1773169224.3242304,1773169224.7124603,1,0.0
P1_c1_r32,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3575758934020996,0.3575758934020996,0.00032067298889160156,0.35790085792541504,1773169224.7505567,1773169225.1084576,1,0.0
P1_c1_r33,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3577873706817627,0.3577876091003418,0.00030350685119628906,0.3580951690673828,1773169225.1486435,1773169225.5067387,1,0.0
P1_c1_r34,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37351036071777344,0.37351059913635254,0.0003159046173095703,0.37383055686950684,1773169225.545173,1773169225.9190035,1,0.0
P1_c1_r35,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37622666358947754,0.37622666358947754,0.00031113624572753906,0.3765416145324707,1773169225.95798,1773169226.3345215,1,0.0
P1_c1_r36,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3908991813659668,0.3908991813659668,0.00030493736267089844,0.3912086486816406,1773169226.3734765,1773169226.7646852,1,0.0
P1_c1_r37,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3727867603302002,0.3727869987487793,0.00029587745666503906,0.37308669090270996,1773169226.8028455,1773169227.1759322,1,0.0
P1_c1_r38,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3845057487487793,0.3845057487487793,0.00032329559326171875,0.38483357429504395,1773169227.2147868,1773169227.5996203,1,0.0
P1_c1_r39,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35828685760498047,0.35828709602355957,0.0003075599670410156,0.3585982322692871,1773169227.6403136,1773169227.9989119,1,0.0
P1_c1_r40,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3621101379394531,0.3621103763580322,0.00034356117248535156,0.3624577522277832,1773169228.037591,1773169228.4000487,1,0.0
P1_c1_r41,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.354233980178833,0.3542342185974121,0.00032401084899902344,0.35456180572509766,1773169228.438939,1773169228.793501,1,0.0
P1_c1_r42,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36760854721069336,0.36760878562927246,0.0003075599670410156,0.3679201602935791,1773169228.8341234,1773169229.2020435,1,0.0
P1_c1_r43,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38395118713378906,0.38395142555236816,0.0003070831298828125,0.3842623233795166,1773169229.2414334,1773169229.6256957,1,0.0
P1_c1_r44,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38176488876342773,0.38176512718200684,0.0002989768981933594,0.3820679187774658,1773169229.6644106,1773169230.0464785,1,0.0
P1_c1_r45,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38181328773498535,0.38181352615356445,0.0003006458282470703,0.38211846351623535,1773169230.0860233,1773169230.4681418,1,0.0
P1_c1_r46,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.362440824508667,0.3624410629272461,0.0003311634063720703,0.3627767562866211,1773169230.5078871,1773169230.870664,1,0.0
P1_c1_r47,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.358966588973999,0.3589668273925781,0.0003001689910888672,0.3592708110809326,1773169230.9103954,1773169231.2696662,1,0.0
P1_c1_r48,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.384505033493042,0.3845052719116211,0.0003108978271484375,0.38481926918029785,1773169231.3092325,1773169231.6940517,1,0.0
P1_c1_r49,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38687896728515625,0.38687896728515625,0.00035452842712402344,0.3872406482696533,1773169231.7433274,1773169232.130568,1,0.0
P1_c1_r50,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36097097396850586,0.36097097396850586,0.00033736228942871094,0.3613126277923584,1773169232.171903,1773169232.5332155,1,0.0
P1_c1_r51,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3706073760986328,0.3706076145172119,0.00039267539978027344,0.371004581451416,1773169232.5731816,1773169232.9441862,1,0.0
P1_c1_r52,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3585953712463379,0.358595609664917,0.00038170814514160156,0.3589811325073242,1773169232.9841566,1773169233.3431377,1,0.0
P1_c1_r53,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37173986434936523,0.37174034118652344,0.0003523826599121094,0.37209630012512207,1773169233.3838131,1773169233.7559094,1,0.0
P1_c1_r54,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.38444089889526367,0.38444089889526367,0.0003371238708496094,0.384782075881958,1773169233.7953472,1773169234.1801293,1,0.0
P1_c1_r55,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3584866523742676,0.3584868907928467,0.0003294944763183594,0.35882019996643066,1773169234.2192764,1773169234.5780966,1,0.0
P1_c1_r56,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3581047058105469,0.3581047058105469,0.00037598609924316406,0.35848474502563477,1773169234.6177814,1773169234.9762661,1,0.0
P1_c1_r57,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.37592220306396484,0.37592244148254395,0.00030541419982910156,0.3762321472167969,1773169235.0181541,1773169235.3943863,1,0.0
P1_c1_r58,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3987157344818115,0.3987159729003906,0.0003249645233154297,0.3990447521209717,1773169235.4345193,1773169235.833564,1,0.0
P1_c1_r59,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3688035011291504,0.3688037395477295,0.00030994415283203125,0.36911773681640625,1773169235.8734324,1773169236.2425501,1,0.0
P1_c1_r60,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.35455918312072754,0.35455918312072754,0.0003066062927246094,0.35486936569213867,1773169236.2822895,1773169236.6371589,1,0.0
P1_c1_r61,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.412569522857666,0.412569522857666,0.0003113746643066406,0.4128849506378174,1773169236.6767566,1773169237.0896416,1,0.0
P1_c1_r62,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.4446284770965576,0.4446284770965576,0.000347137451171875,0.4449794292449951,1773169237.1291537,1773169237.5741332,1,0.0
P1_c1_r63,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36171650886535645,0.36171674728393555,0.00034308433532714844,0.3620636463165283,1773169237.615239,1773169237.9773026,1,0.0
P1_c1_r64,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36707520484924316,0.36707520484924316,0.0003223419189453125,0.367401123046875,1773169238.0188816,1773169238.3862827,1,0.0
P1_c1_r65,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3739054203033447,0.3739054203033447,0.0003342628479003906,0.37424421310424805,1773169238.4266214,1773169238.8008657,1,0.0
P1_c1_r66,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3775765895843506,0.3775768280029297,0.0003199577331542969,0.3779008388519287,1773169238.8405726,1773169239.2184734,1,0.0
P1_c1_r67,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.36614227294921875,0.36614251136779785,0.0003542900085449219,0.3665008544921875,1773169239.2578404,1773169239.6243412,1,0.0
P1_c1_r68,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.4329261779785156,0.4329261779785156,0.0003795623779296875,0.43331122398376465,1773169239.6671107,1773169240.100422,1,0.0
P1_c1_r69,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.40296316146850586,0.40296339988708496,0.0004317760467529297,0.40340304374694824,1773169240.1403275,1773169240.5437305,1,0.0
P1_c1_r70,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.3641221523284912,0.3641223907470703,0.000392913818359375,0.3645203113555908,1773169240.5870957,1773169240.951616,1,0.0
P1_c1_r71,SUSTAINED_P1,8000000,96,64000,61440,2560,1,0.39599609375,0.3959963321685791,0.00041675567626953125,0.39641857147216797,1773169240.9968064,1773169241.393225,1,0.0
P2_c21_r1,SUSTAINED_P2,8000000,96,64000,61440,2560,1,0.5730559825897217,0.5730562210083008,0.000301361083984375,0.5733613967895508,1773169241.4959838,1773169242.0693452,21,0.0
P2_c21_r0,SUSTAINED_P2,8000000,96,64000,61440,2560,1,0.37842726707458496,0.37842726707458496,0.00040793418884277344,0.37884020805358887,1773169241.4446442,1773169241.8234844,21,0.0
P2_c21_r3,SUSTAINED_P2,8000000,96,64000,61440,2560,1,0.8976092338562012,0.8976094722747803,0.0008404254913330078,0.8984534740447998,1773169241.5860336,1773169242.484487,21,0.0
P2_c21_r2,SUSTAINED_P2,8000000,96,64000,61440,2560,1,0.9430034160614014,0.9430036544799805,0.00042724609375,0.9434340000152588,1773169241.5411081,1773169242.4845421,21,0.0
P2_c21_r6,SUSTAINED_P2,8000000,96,64000,61440,2560,1,1.4919862747192383,1.4919862747192383,0.0008199214935302734,1.4928100109100342,1773169241.7239506,1773169243.2167606,21,0.0
P2_c21_r4,SUSTAINED_P2,8000000,96,64000,61440,2560,1,1.5842506885528564,1.5842506885528564,0.0008447170257568359,1.585099458694458,1773169241.631093,1773169243.2161925,21,0.0
P2_c21_r5,SUSTAINED_P2,8000000,96,64000,61440,2560,1,1.5406579971313477,1.5406579971313477,0.042453765869140625,1.583118200302124,1773169241.6758866,1773169243.2590048,21,0.0
P2_c21_r8,SUSTAINED_P2,8000000,96,64000,61440,2560,1,1.9614980220794678,1.9614982604980469,0.0004506111145019531,1.9619550704956055,1773169241.8184943,1773169243.7804494,21,0.0
P2_c21_r7,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.0115299224853516,2.0115299224853516,0.042110443115234375,2.0536489486694336,1773169241.7692666,1773169243.8229156,21,0.0
P2_c21_r9,SUSTAINED_P2,8000000,96,64000,61440,2560,1,1.9103672504425049,1.9103672504425049,0.04174160957336426,1.9521160125732422,1773169241.8708727,1773169243.8229887,21,0.0
P2_c21_r10,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.518420934677124,2.5184214115142822,0.0012650489807128906,2.519695281982422,1773169241.918432,1773169244.4381273,21,0.0
P2_c21_r12,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.425168514251709,2.425168752670288,0.0008056163787841797,2.4259791374206543,1773169242.0122995,1773169244.4382787,21,0.0
P2_c21_r11,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.471956729888916,2.471956968307495,0.0004425048828125,2.4724035263061523,1773169241.9659233,1773169244.4383268,21,0.0
P2_c21_r13,SUSTAINED_P2,8000000,96,64000,61440,2560,1,3.0121841430664062,3.0121843814849854,0.0005183219909667969,3.012706995010376,1773169242.0604393,1773169245.0731463,21,0.0
P2_c21_r15,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.9200327396392822,2.9200327396392822,0.0009002685546875,2.9209365844726562,1773169242.1521578,1773169245.0730944,21,0.0
P2_c21_r14,SUSTAINED_P2,8000000,96,64000,61440,2560,1,2.9657795429229736,2.9657797813415527,0.0013980865478515625,2.967181444168091,1773169242.1057308,1773169245.0729122,21,0.0
