period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,96,640000,1773169211.3410044,1773169241.395269,30.052484273910522,1,72,71,4544000,71,151202.14217846826,2.3625334715385664,0.3766651690845758,0.3706073760986328,0.42920494079589844,0.46378977298736573,0.37666531012091836,0.3706076145172119,0.429205060005188,0.4637899398803711,0,0,0,0,3050.9770031736975,0.3766651690845758,RAMP_UP,21
2,64000,96,640000,1773169241.3953032,1773169274.9395106,33.54277515411377,21,167,147,9408000,147,280477.68727466726,4.3824638636666755,3.8455740270160494,4.055397987365723,4.4972443819046015,4.6185395145416255,3.8455741973150346,4.055398225784302,4.497244548797608,4.618539752960205,0,0,0,0,1116.7104818708185,3.8455740270160494,RAMP_UP,25
3,64000,96,1024000,1773169274.93953,1773169316.693061,41.74967098236084,25,162,137,8768000,137,210013.63109434955,3.281462985849212,4.478480572248027,4.737894058227539,5.8225696086883545,6.3289064693450925,4.478480742795624,4.737894058227539,5.822569847106934,6.328906555175781,0,0,0,0,1083.0826264999343,4.478480572248027,RAMP_UP,27
4,64000,96,1024000,1773169316.6931095,1773169351.4117885,34.71694278717041,27,160,133,8512000,133,245182.87950013834,3.8309824921896616,5.287679548550369,5.5477213859558105,6.744631195068359,7.300064182281496,5.287679734982942,5.54772162437439,6.744631433486938,7.300064420700075,0,0,0,0,1232.3204553320386,5.287679548550369,RAMP_DOWN,25
5,64000,96,1024000,1773169351.4118037,1773169385.5983982,34.18515086174011,25,172,147,9408000,147,275207.2102314282,4.300112659866065,4.419800422629532,4.720649242401123,5.1506503343582155,5.2415096569061275,4.4198006075255725,4.720649242401123,5.1506506443023685,5.241509895324707,0,0,0,0,1179.4677824932492,4.419800422629532,RAMP_UP,27
6,64000,96,1408000,1773169385.5984137,1773169420.4079666,34.808088541030884,27,116,89,5696000,89,163640.1261530262,2.5568769711410346,6.560043846623281,5.806236505508423,9.855630159378045,10.979299011230468,6.560044026106931,5.806236505508423,9.855630397796624,10.979299011230468,0,0,0,0,1344.9269607904598,6.560043846623281,RAMP_DOWN,25
7,64000,96,1408000,1773169420.4079812,1773169455.1766727,34.76718044281006,25,175,150,9600000,150,276122.47751270566,4.314413711136026,4.382237963676452,4.700263142585754,5.100857055187225,5.259800002574919,4.382238167126974,4.7002633810043335,5.100857186317444,5.259800124168394,0,0,0,0,1252.9689852799668,4.382237963676452,RAMP_UP,27
8,64000,96,1792000,1773169455.176689,1773169493.4813557,38.303244829177856,27,149,122,7808000,122,203846.959567566,3.1851087432432186,5.571240845273753,5.283803224563599,10.766789519786833,11.292643146514893,5.571241083692332,5.283803343772888,10.766789770126342,11.292643384933472,0,0,0,0,1239.74059289644,5.571240845273753,RAMP_DOWN,25
9,64000,96,1792000,1773169493.4813716,1773169528.736331,35.25351071357727,25,170,145,9280000,145,263236.19441470184,4.113065537729716,4.524150647788212,4.869107246398926,5.329463243484497,5.495680150985718,4.524150813859085,4.869107484817505,5.329463481903076,5.495680389404297,0,0,0,0,1100.1743457803643,4.524150647788212,RAMP_UP,27
10,64000,96,2176000,1773169528.7363467,1773169567.1649163,38.427281856536865,27,161,135,8640000,135,224840.2588623439,3.5131290447241237,5.292553672084102,5.496017217636108,6.988822317123413,7.282133679389953,5.292553841626202,5.4960174560546875,6.988822317123413,7.282133917808532,0,0,0,0,1113.7108141146362,5.292553672084102,RAMP_DOWN,25
11,64000,96,2176000,1773169567.1649354,1773169601.4984276,34.33222436904907,25,135,110,7040000,110,205055.16695698423,3.2039869837028787,5.995857767625289,6.359400749206543,8.181105589866638,8.404556832313537,5.995857949690385,6.3594008684158325,8.181105720996857,8.404557070732116,0,0,0,0,1280.6747981502333,5.995857767625289,RAMP_DOWN,23
