request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.7070064544677734,0.7070066928863525,0.0003590583801269531,0.7073886394500732,1773205829.720612,1773205830.4280007,1,0.0
P1_c1_r1,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6327507495880127,0.6327509880065918,0.00037169456481933594,0.6331291198730469,1773205830.4916286,1773205831.1247578,1,0.0
P1_c1_r2,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6429965496063232,0.6429965496063232,0.00035262107849121094,0.6433539390563965,1773205831.1839442,1773205831.8272982,1,0.0
P1_c1_r3,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.619957447052002,0.619957685470581,0.0003578662872314453,0.6203205585479736,1773205831.888796,1773205832.5091166,1,0.0
P1_c1_r4,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6433472633361816,0.6433472633361816,0.0003731250762939453,0.6437294483184814,1773205832.5731091,1773205833.2168386,1,0.0
P1_c1_r5,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6572487354278564,0.6572489738464355,0.0004417896270751953,0.6576967239379883,1773205833.277401,1773205833.9350977,1,0.0
P1_c1_r6,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6593179702758789,0.659318208694458,0.00035071372985839844,0.6596732139587402,1773205833.9971957,1773205834.656869,1,0.0
P1_c1_r7,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6653029918670654,0.6653029918670654,0.0003581047058105469,0.6656656265258789,1773205834.7150855,1773205835.3807511,1,0.0
P1_c1_r8,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6092007160186768,0.6092009544372559,0.00036025047302246094,0.6095693111419678,1773205835.445111,1773205836.0546803,1,0.0
P1_c1_r9,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6572198867797852,0.6572201251983643,0.00036525726318359375,0.6575894355773926,1773205836.113982,1773205836.7715714,1,0.0
P1_c1_r10,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6552286148071289,0.655228853225708,0.0003428459167480469,0.655576229095459,1773205836.8305268,1773205837.486103,1,0.0
P1_c1_r11,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.680051326751709,0.6800518035888672,0.0003407001495361328,0.6803967952728271,1773205837.5447917,1773205838.2251885,1,0.0
P1_c1_r12,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.647538423538208,0.6475386619567871,0.0003528594970703125,0.6478967666625977,1773205838.2862747,1773205838.9341714,1,0.0
P1_c1_r13,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6735496520996094,0.6735498905181885,0.00036025047302246094,0.6739137172698975,1773205838.9943728,1773205839.6682866,1,0.0
P1_c1_r14,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6338362693786621,0.6338365077972412,0.00041937828063964844,0.6342613697052002,1773205839.752287,1773205840.3865483,1,0.0
P1_c1_r15,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6252810955047607,0.6252813339233398,0.0004703998565673828,0.6257619857788086,1773205840.4511857,1773205841.0769477,1,0.0
P1_c1_r16,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6518056392669678,0.6518058776855469,0.0004200935363769531,0.6522312164306641,1773205841.149875,1773205841.8021061,1,0.0
P1_c1_r17,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.7010049819946289,0.701005220413208,0.0003497600555419922,0.701359748840332,1773205841.8735974,1773205842.5749571,1,0.0
P1_c1_r18,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6745109558105469,0.6745114326477051,0.0003387928009033203,0.6748545169830322,1773205842.6326432,1773205843.3074977,1,0.0
P1_c1_r19,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6635684967041016,0.6635687351226807,0.0003657341003417969,0.6639387607574463,1773205843.367699,1773205844.0316377,1,0.0
P1_c1_r20,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6481313705444336,0.6481316089630127,0.0003466606140136719,0.6484856605529785,1773205844.0979245,1773205844.7464101,1,0.0
P1_c1_r21,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.7070064544677734,0.7070066928863525,0.0003407001495361328,0.7073516845703125,1773205844.8056045,1773205845.5129561,1,0.0
P1_c1_r22,SUSTAINED_P1,5000000,96,100000,96000,4000,1,0.6481330394744873,0.6481332778930664,0.0004565715789794922,0.6485953330993652,1773205845.571362,1773205846.2199574,1,0.0
