period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773227745.6769125,1773227775.6769125,20,0,0,0,0,0,0,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0,0.0,0,0,0,0.47638490200042727,0.9529571533203125,1,19
2,1773227775.6769125,1773227805.6769125,4,16,11,37,17,17,20,4,4,0,1.2333333333333334,15006.3,268.5,1.8799222045474582,0.17542588710784912,5.064363336563069,24.827971620559644,0.6999715343011671,14897,0,0,74.9119291305542,87.51467847824097,539648,81.20077795452542,0,0,0,0.7967593442826044,5.189764738082886,1,3
3,1773227805.6769125,1773227835.6769125,5,16,13,21,17,17,4,5,5,0,0.7,29043.066666666666,191.46666666666667,0.7437674469417996,0.547512412071228,1.9529612779617298,2.4889942789077746,0.7277471517824329,17701,1,0,77.12234377861023,87.75835813037934,948224,92.56232553058202,0,0,0,0.04797255992889404,0.10014986991882324,2,3
4,1773227835.6769125,1773227865.6769125,5,19,15,32,27,27,5,5,5,0,1.0666666666666667,41216.1,275.1666666666667,0.8627674908473574,0.719062089920044,2.6694848060607894,3.0710652542114256,0.7290619982389807,20745,3,0,132.71597290039062,81.56722598605685,1339136,91.37232509152643,0,0,0,0.04387468844652176,0.1507110595703125,0,5
5,1773227865.6769125,1773227895.6769125,5,22,15,33,28,28,5,5,5,0,1.1,26985.6,319.8,0.47093684332711355,0.30223679542541504,1.2100349307060236,1.6647719979286195,0.7261217061011316,23284,3,0,130.6475989818573,83.8706667923633,886016,95.29063156672886,0,0,0,0.052884549805612274,0.15319442749023438,0,5
6,1773227895.6769125,1773227925.6769125,7,23,19,38,35,34,4,7,6,1,1.2666666666666666,42185.63333333333,256.8333333333333,0.43824287142072404,0.2812228202819824,0.9626750230789178,1.908212046623226,0.7823776506908244,26308,3,0,118.85294532775879,86.79411718580458,1100800,95.61757128579276,0,0,0,0.04606202172070015,0.15259003639221191,0,7
7,1773227925.6769125,1773227955.6769125,10,23,16,44,36,36,8,10,10,0,1.4666666666666666,36008.76666666667,347.43333333333334,0.5202446315023634,0.2653709650039673,1.499613642692566,2.168107831478118,0.7745819001304709,27900,3,0,143.04868054389954,85.55063832889904,973056,94.79755368497636,0,0,0,0.03719996369403342,0.15314960479736328,0,10
8,1773227955.6769125,1773227985.6769125,9,27,25,46,36,36,10,9,9,0,1.5333333333333334,41898.36666666667,352.23333333333335,1.4230652583969965,0.4358186721801758,4.607813715934753,5.157871055603027,0.6735474006116208,31059,3,0,286.0919177532196,73.51000761544263,1639680,85.76934741603004,0,0,0,0.03801641775214154,0.15301156044006348,0,9
9,1773227985.6769125,1773228015.6769125,12,24,20,41,32,32,9,12,12,0,1.3666666666666667,38026.666666666664,314.26666666666665,0.8709446117281914,0.3639872074127197,2.8322162747383115,3.3678055143356334,0.6904761904761905,34502,0,0,174.8205533027649,83.81291173122547,1411072,91.29055388271809,0,0,0,0.037125571207566696,0.10036897659301758,1,11
10,1773228015.6769125,1773228045.6769125,9,29,20,43,34,33,10,9,7,2,1.4333333333333333,51323.5,384.7,1.0567940643855505,0.6528286933898926,2.6983762741088864,3.212334170341489,0.7675124792013311,35938,2,0,228.90916991233826,79.92024825330365,1430784,89.43205935614449,0,0,0,0.031121556351824505,0.1011507511138916,0,9
