period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773224903.7981572,1773224933.7981572,17,3,4,4,4,4,0,17,17,0,0.13333333333333333,3572.9666666666667,16.2,7.913244366645813,8.516373634338379,13.938618350028992,13.99168580532074,0.0,1673,0,0,106.01897192001343,82.33017134666443,428288,20.86755633354187,0,0,0,0.4535331158410935,0.9524946212768555,0,17
2,1773224933.7981572,1773224963.7981572,7,14,11,34,17,17,17,7,7,0,1.1333333333333333,13618.566666666668,164.66666666666666,0.3788313585169175,0.16167092323303223,1.3114243030548094,1.4084436511993408,0.8881568627450981,15579,1,0,42.2139208316803,93.29937764576503,182528,96.21168641483082,0,0,0,0.6287276744842529,4.698439121246338,2,5
3,1773224963.7981572,1773224993.7981572,10,14,15,29,22,22,7,10,10,0,0.9666666666666667,28037.933333333334,284.6,0.5818527440230051,0.48365914821624756,1.1651688933372497,1.6971025538444515,0.7659914712153518,18851,3,0,98.52525234222412,86.31593717469109,786688,94.18147255976996,0,0,0,0.052740707993507385,0.1518237590789795,0,10
4,1773224993.7981572,1773225023.7981572,6,21,17,40,30,30,10,6,6,0,1.3333333333333333,37928.23333333333,278.56666666666666,0.6702997207641601,0.4642728567123413,2.091434490680694,2.2288408184051516,0.7658879819870532,22223,3,0,114.6660087108612,85.84370262828874,1064704,93.29700279235841,0,0,0,0.04399703608618842,0.15299582481384277,0,6
5,1773225023.7981572,1773225053.7981572,5,25,20,37,32,32,5,5,4,1,1.2333333333333334,31711.233333333334,316.96666666666664,0.4463560953736305,0.33516788482666016,0.9428117513656616,1.5709717893600474,0.7166711553999461,25529,3,0,149.76348876953125,83.35961235894096,1077248,95.5364390462637,0,0,0,0.04572737216949463,0.1530601978302002,1,4
6,1773225053.7981572,1773225083.7981572,5,28,18,45,40,40,5,5,5,0,1.5,43079.9,389.3333333333333,0.40111601061937285,0.24570536613464355,0.9782857894897461,1.558174753189088,0.7910677109150391,27252,3,0,152.23360633850098,84.62286804661606,1079040,95.98883989380627,0,0,0,0.0464078426361084,0.1515977382659912,1,4
7,1773225083.7981572,1773225113.7981572,16,20,20,40,35,35,5,16,16,0,1.3333333333333333,38588.3,305.9,0.7336898512310452,0.5535104274749756,1.9993956089019775,2.1228391408920286,0.7287769784172662,30226,3,0,187.00201034545898,82.68499904208713,1254656,92.66310148768954,0,0,0,0.04672678617330698,0.1523594856262207,4,12
8,1773225113.7981572,1773225143.7981572,17,20,24,42,26,26,16,17,17,0,1.4,36048.76666666667,360.5,1.3513431708017984,0.45102882385253906,4.346363019943237,4.945186922550202,0.6671800035538707,35595,1,0,194.41762590408325,82.4848985671997,1438464,86.48656829198202,0,0,0,0.048233004503471906,0.12018966674804688,9,8
9,1773225143.7981572,1773225173.7981572,12,27,25,48,31,31,17,12,12,0,1.6,49095.63333333333,439.76666666666665,1.7831017136573792,0.7038328647613525,5.718240237236023,6.511317880153656,0.793032965121336,35550,2,0,284.6200661659241,75.67349861829709,1218304,82.16898286342621,0,0,0,0.04462552070617676,0.17229866981506348,0,12
10,1773225173.7981572,1773225203.7981572,12,28,20,44,33,33,11,12,11,1,1.4666666666666666,42685.2,452.46666666666664,0.42585710323218146,0.34883832931518555,1.1609294414520261,1.2656750106811523,0.8706047116490772,37582,1,0,149.66699481010437,87.5277504324913,662272,95.74142896767819,0,0,0,0.039452211423353714,0.0968630313873291,0,12
11,1773225203.7981572,1773225233.7981572,9,34,24,50,39,39,11,9,8,1,1.6666666666666667,47197.73333333333,454.4,0.5451959096468412,0.35013842582702637,1.8207822084426881,1.9361602592468259,0.8401266681746211,41010,3,0,170.93760561943054,86.74902282019919,904704,94.5480409035316,0,0,0,0.04107177003901055,0.1533794403076172,0,9
12,1773225233.7981572,1773225263.7981572,9,37,20,46,37,37,9,9,9,0,1.5333333333333334,50671.96666666667,403.96666666666664,0.9555412240930505,0.3670344352722168,3.849693202972407,4.918778820037842,0.7228448639083171,45969,3,0,247.04166102409363,82.09843036057293,1683968,90.44458775906949,0,0,0,0.044886293618575386,0.23202800750732422,1,8
