timestamp,user_id,event_type,trace_id,details
1773224903.7982213,User-001,started,trace_0109,"601 requests, 47,714 initial tokens"
1773224903.8484504,User-002,started,trace_0466,"14 requests, 104,290 initial tokens"
1773224903.8986013,User-003,started,trace_0485,"137 requests, 69,944 initial tokens"
1773224903.9487352,User-004,started,trace_0392,"21 requests, 12,073 initial tokens"
1773224903.9988577,User-005,started,trace_0009,"33 requests, 43,698 initial tokens"
1773224904.048976,User-006,started,trace_0288,"116 requests, 24,567 initial tokens"
1773224904.0990984,User-007,started,trace_0504,"69 requests, 124,901 initial tokens"
1773224904.1492114,User-008,started,trace_0589,"54 requests, 12,249 initial tokens"
1773224904.1993349,User-009,started,trace_0172,"466 requests, 89,509 initial tokens"
1773224904.249488,User-010,started,trace_0242,"48 requests, 15,422 initial tokens"
1773224904.299614,User-011,started,trace_0441,"26 requests, 71,284 initial tokens"
1773224904.3497236,User-012,started,trace_0043,"157 requests, 18,768 initial tokens"
1773224904.3998387,User-013,started,trace_0220,"382 requests, 19,105 initial tokens"
1773224904.449956,User-014,started,trace_0561,"89 requests, 40,023 initial tokens"
1773224904.5000675,User-015,started,trace_0180,"209 requests, 20,698 initial tokens"
1773224904.5501873,User-016,started,trace_0108,"136 requests, 47,006 initial tokens"
1773224904.6002958,User-017,started,trace_0046,"442 requests, 11,578 initial tokens"
1773224904.6504016,User-018,started,trace_0042,"12 requests, 132,684 initial tokens"
1773224904.700511,User-019,started,trace_0387,"44 requests, 28,379 initial tokens"
1773224904.750617,User-020,started,trace_0116,"430 requests, 18,847 initial tokens"
1773224933.8479784,User-021,started,trace_0010,"33 requests, 43,698 initial tokens"
1773224963.8756692,User-022,started,trace_0191,"462 requests, 17,696 initial tokens"
1773224963.9258933,User-023,started,trace_0430,"21 requests, 8,991 initial tokens"
1773224963.9762406,User-024,started,trace_0101,"179 requests, 19,700 initial tokens"
1773224993.8786616,User-025,started,trace_0078,"66 requests, 15,818 initial tokens"
1773224993.9295268,User-026,started,trace_0372,"179 requests, 20,583 initial tokens"
1773224993.9800966,User-027,started,trace_0538,"12 requests, 12,200 initial tokens"
