period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773222034.3088157,1773222064.3088157,17,3,4,4,4,4,0,17,17,0,0.13333333333333333,3572.9666666666667,15.833333333333334,8.149210333824158,8.585306286811829,14.167258024215696,14.541901540756225,0.0,1673,0,0,110.57490086555481,81.57084985574087,428288,18.507896661758423,0,0,0,0.45370637802850633,0.9526793956756592,0,17
2,1773222064.3088157,1773222094.3088157,1,22,15,41,25,24,17,1,1,0,1.3666666666666667,18925.4,288.93333333333334,0.3960429859161377,0.22661733627319336,0.8508778572082518,1.4402021121978745,0.8115614767980128,16535,3,0,86.15435338020325,87.51386182895605,427264,96.03957014083862,0,0,0,0.9271823534598718,5.229273557662964,0,1
3,1773222094.3088157,1773222124.3088157,6,21,19,27,25,25,2,6,6,0,0.9,33927.7,270.5,1.6903102016448974,0.6153044700622559,4.734995031356811,5.217725715637206,0.717845456833627,21425,4,0,162.57420325279236,79.92911070953181,1147904,83.09689798355102,0,0,0,0.062014679754934,0.20285558700561523,4,2
4,1773222124.3088157,1773222154.3088157,3,29,21,42,36,36,6,3,3,0,1.4,52650.13333333333,285.76666666666665,1.238865113258362,0.8128232955932617,3.69018143415451,3.9777176308631894,0.763198442948666,26311,5,0,179.14882969856262,81.3386635730664,1495040,87.61134886741638,0,0,0,0.058682722923083186,0.2510848045349121,0,3
5,1773222154.3088157,1773222184.3088157,7,27,19,30,27,27,3,7,7,0,1.0,32875.4,242.93333333333334,0.6589056209281638,0.37927770614624023,1.957863116264343,2.3412342548370355,0.7393817378880374,28879,2,0,119.90083742141724,88.24501593907674,1027328,93.41094379071836,0,0,0,0.05154278699089499,0.10232281684875488,1,6
6,1773222184.3088157,1773222214.3088157,12,27,22,42,36,36,6,12,11,1,1.4,41111.3,335.3,0.5405883531312685,0.3489515781402588,1.3755855560302717,1.8748285293579103,0.818564305007272,31721,5,0,132.3909614086151,88.68453321293887,894208,94.59411646868732,0,0,0,0.05833811455584587,0.2548511028289795,3,9
7,1773222214.3088157,1773222244.3088157,7,38,25,57,45,45,12,7,7,0,1.9,49632.5,450.23333333333335,0.5271771301825842,0.34365344047546387,1.4215524554252623,1.9910773253440857,0.8330608381378539,35066,6,0,193.04490065574646,85.70037772920396,993280,94.72822869817415,0,0,0,0.05062591571074266,0.3430914878845215,2,5
8,1773222244.3088157,1773222274.3088157,20,30,28,38,31,31,7,20,20,0,1.2666666666666666,35060.13333333333,339.1666666666667,0.8369085355238481,0.5374569892883301,2.5121702194213866,2.6319718837738035,0.7594566607784613,38896,5,0,252.72120332717896,83.15191977818806,1010944,91.63091464476152,0,0,0,0.05123824798143827,0.25423550605773926,6,14
9,1773222274.3088157,1773222304.3088157,11,40,29,59,39,39,20,11,11,0,1.9666666666666666,48249.3,437.1,0.7867353545294867,0.3501131534576416,4.142386198043817,4.871208801269532,0.8235528412108338,44174,1,0,216.87013363838196,85.82548146154366,1020672,92.13264645470514,0,0,0,0.04348623275756836,0.11320352554321289,0,11
10,1773222304.3088157,1773222334.3088157,9,43,25,42,34,34,8,9,6,3,1.4,51824.23333333333,429.2,0.6545885520822862,0.4032403230667114,2.433714473247527,3.215232131481172,0.851188269698093,45252,1,0,206.18838095664978,86.78279609252245,924928,93.45411447917714,0,0,0,0.05097512602806091,0.10175538063049316,0,9
11,1773222334.3088157,1773222364.3088157,8,47,26,48,39,39,9,8,8,0,1.6,47882.86666666667,471.4,0.5082351978008564,0.41223597526550293,1.123908567428589,1.2463156986236568,0.8117169735610148,47952,3,0,164.62360954284668,90.02281154285777,1081088,94.91764802199144,0,0,0,0.04686643214935952,0.15281081199645996,1,7
12,1773222364.3088157,1773222394.3088157,10,50,24,45,39,38,7,10,9,1,1.5,47387.933333333334,406.1,0.9638861536979675,0.44582533836364746,3.1417634606361386,3.4654398798942565,0.7690955792889009,51432,5,0,244.07965660095215,86.44001907772488,1311744,90.36113846302032,0,0,0,0.06469257175922394,0.3646504878997803,0,10
13,1773222394.3088157,1773222424.3088157,9,53,25,52,42,42,10,9,8,1,1.7333333333333334,51795.03333333333,358.56666666666666,0.8163180918920607,0.42391204833984375,1.9480275511741636,2.331280198097229,0.7685425685425685,54823,2,0,232.42069125175476,87.50426391119598,1437184,91.8368190810794,0,0,0,0.05196933269500732,0.10241246223449707,1,8
14,1773222424.3088157,1773222454.3088157,10,57,29,55,48,48,7,10,8,2,1.8333333333333333,54556.433333333334,398.8666666666667,0.9814847196851458,0.3679237365722656,3.8962504386901813,4.297093563079834,0.7476419709600407,55494,5,0,284.0352213382721,85.86889446078249,1650688,90.18515280314855,0,0,0,0.05978824411119733,0.36818885803222656,0,10
15,1773222454.3088157,1773222484.3088157,18,51,26,47,39,39,8,18,16,2,1.5666666666666667,46035.1,304.96666666666664,0.5908111058748685,0.3961334228515625,1.4942695856094368,2.2651571416854845,0.8417122715889064,57663,2,0,192.47570180892944,90.70165691744302,873728,94.09188894125131,0,0,0,0.04648820270191539,0.10237646102905273,0,18
16,1773222484.3088157,1773222514.3088157,8,67,24,56,38,38,18,8,8,0,1.8666666666666667,38746.7,470.0,1.0079268091603328,0.5771578550338745,3.3267341136932362,4.292725853919984,0.6684668797531136,63101,6,0,294.6665689945221,86.90370804468792,1540096,89.92073190839666,0,0,0,0.06538044888040294,0.30582404136657715,0,8
17,1773222514.3088157,1773222544.3088157,23,54,28,41,35,35,6,23,21,2,1.3666666666666667,56065.066666666666,245.73333333333332,2.6588270995352,2.7469682693481445,5.553572416305542,6.006201791763305,0.7417659825610174,67646,2,0,376.9048810005188,83.68377138525894,1736192,73.411729004648,0,0,0,0.04656010440417698,0.10167169570922852,3,20
18,1773222544.3088157,1773222574.3088157,17,63,32,55,33,33,22,17,16,1,1.8333333333333333,56842.03333333333,395.6333333333333,1.538493851820628,1.2385987043380737,3.495053231716156,4.26686519384384,0.8018177038344537,72454,3,0,473.6726760864258,80.26363849639893,1350912,84.61506148179373,0,0,0,0.047126137480443836,0.2510871887207031,3,14
19,1773222574.3088157,1773222604.3088157,19,64,36,57,44,44,13,19,15,4,1.9,67830.2,376.2,0.8135313074639503,0.5177061557769775,2.9677338361740078,4.09403440952301,0.8250196695515343,74996,3,0,390.67125487327576,84.31039137055117,1423360,91.8646869253605,0,0,0,0.05317236609378104,0.15140581130981445,0,19
20,1773222604.3088157,1773222634.3088157,24,64,34,61,46,46,15,24,20,4,2.033333333333333,61568.933333333334,380.23333333333335,0.9942497688791027,0.723902702331543,2.872184991836548,3.5494969964027403,0.838372980095707,77420,5,0,464.16612339019775,82.41794987158342,1193216,90.05750231120896,0,0,0,0.04975385738141609,0.25571203231811523,1,23
21,1773222634.3088157,1773222664.3088157,48,46,21,38,23,23,15,48,39,9,1.2666666666666666,21824.133333333335,197.16666666666666,1.8165108950241753,1.8219208717346191,4.047406554222107,4.373398771286011,0.8356660467847705,79965,6,0,323.7312717437744,88.52016766866049,429824,81.83489104975826,0,0,0,0.05442802367671844,0.3020451068878174,4,44
22,1773222664.3088157,1773222694.3088157,35,62,33,69,30,30,39,35,26,9,2.3,42598.76666666667,430.4,1.9853587571312399,1.2322609424591064,5.343561100959778,5.932169156074525,0.83806134723336,85783,3,0,435.72897005081177,85.02649587454255,827136,80.14641242868761,0,0,0,0.04638628448758807,0.15260624885559082,3,32
23,1773222694.3088157,1773222724.3088157,51,52,31,55,31,31,24,51,40,11,1.8333333333333333,43669.833333333336,291.73333333333335,2.0132933644687427,2.2212339639663696,3.758970499038696,4.325997018814088,0.7298195863687479,90484,6,0,460.40889525413513,85.10003575229337,1414656,79.86706635531257,0,0,0,0.05918855799569024,0.30307984352111816,19,32
24,1773222724.3088157,1773222754.3088157,45,61,36,62,20,20,42,45,36,9,2.066666666666667,55204.833333333336,411.1333333333333,5.9767505557913525,6.452522039413452,8.98914189338684,9.100065064430236,0.8903198360211935,91182,3,0,619.7604930400848,80.5106763194942,726016,40.23249444208648,0,0,246,0.46695877398763386,3.997939348220825,0,45
25,1773222754.3088157,1773222784.3088157,55,55,20,55,21,21,34,55,44,11,1.8333333333333333,29258.366666666665,280.53333333333336,2.4137344587416876,2.6040992736816406,3.767383098602295,3.991176700592041,0.8146526561587858,92147,4,0,355.67614221572876,89.22193508437186,650240,75.86265541258312,0,0,0,0.055831296627338114,0.3343229293823242,1,54
26,1773222784.3088157,1773222814.3088157,45,67,36,74,30,30,44,45,35,10,2.466666666666667,56386.53333333333,415.53333333333336,2.082306776291285,1.013516902923584,6.8864075422286986,7.052475280761718,0.8174693321217629,96085,2,0,474.305326461792,85.88377004578001,1234176,79.17693223708714,0,0,2,0.163160463479849,3.446230411529541,14,31
27,1773222814.3088157,1773222844.3088157,60,56,21,39,9,9,30,60,44,16,1.3,29123.6,184.43333333333334,7.269858258111136,7.269071817398071,9.508710145950317,9.911849069595338,0.8019352001172848,97953,4,0,439.0856964588165,87.38259492934435,691712,27.30141741888864,0,0,840,1.5713602326950937,6.50354790687561,11,49
28,1773222844.3088157,1773222874.3088157,59,57,22,58,13,13,45,59,44,15,1.9333333333333333,33382.9,309.1,5.9673005017367275,6.122204661369324,7.708484554290771,7.7283016872406005,0.8582848372449958,100335,0,0,410.9885492324829,88.18998421745738,567296,40.326994982632726,0,0,372,0.6515691154881528,3.289625406265259,12,47
29,1773222874.3088157,1773222904.3088157,47,75,37,76,33,33,43,47,32,15,2.533333333333333,55893.73333333333,401.76666666666665,3.3830174945649647,2.9967751502990723,7.123224008083342,7.370240778923034,0.861098380690498,101784,6,0,576.2511999607086,84.2554316950626,931072,66.16982505435035,0,0,1264,1.862255804355328,5.209692001342773,0,47
30,1773222904.3088157,1773222934.3088157,59,67,30,70,33,33,37,59,48,11,2.3333333333333335,43046.36666666667,366.53333333333336,0.9427485971739797,0.6382796764373779,2.12415223121643,3.164371652603149,0.8790178571428572,104878,4,0,419.3264355659485,88.90670805381089,624384,90.57251402826022,0,0,205,0.267399004947992,1.780714511871338,5,54
31,1773222934.3088157,1773222964.3088157,60,72,17,53,12,12,41,60,42,18,1.7666666666666666,23182.066666666666,246.46666666666667,1.6539638182696175,1.2964589595794678,3.175603628158568,4.256320333480835,0.659174649963154,109536,6,0,250.99323964118958,93.66178687774773,947200,83.46036181730383,0,0,3031,2.9357015512607716,7.98123836517334,13,47
32,1773222964.3088157,1773222994.3088157,60,72,21,47,11,11,36,60,36,24,1.5666666666666667,26760.2,282.1333333333333,9.989213500704084,9.728938341140747,13.02540397644043,13.121253204345702,0.8209383977018831,111689,0,0,436.9862494468689,88.96499370083664,574464,0.1078649929591613,0,0,5346,12.280479502170644,15.276052951812744,11,49
33,1773222994.3088157,1773223024.3088157,60,72,25,58,18,18,40,60,40,20,1.9333333333333333,31642.166666666668,292.96666666666664,4.803315467834473,3.5579946041107178,8.547365379333495,8.706453323364258,0.7991228070175439,116787,0,0,398.5230658054352,89.93628621703446,762112,51.96684532165528,0,0,4663,8.188316760392025,11.213853120803833,7,53
34,1773223024.3088157,1773223054.3088157,60,72,28,67,23,23,44,60,44,16,2.2333333333333334,38958.76666666667,337.26666666666665,4.2047032487803495,3.9030957221984863,6.315327119827271,6.422851648330688,0.80335415981585,119719,0,0,454.0804696083069,88.5333214745377,918528,57.95296751219651,0,0,2829,4.379676295750177,6.595213413238525,11,49
35,1773223054.3088157,1773223084.3088157,60,72,35,74,27,27,47,60,47,13,2.466666666666667,45817.566666666666,389.6,2.966805587496076,2.0455784797668457,6.099454283714294,6.129590654373169,0.8818787568146871,121072,0,0,503.42979979515076,87.28712626779922,648960,70.33194412503924,0,0,263,0.40733366077010696,2.2444913387298584,14,46
36,1773223084.3088157,1773223114.3088157,60,72,25,55,14,14,41,60,41,19,1.8333333333333333,35409.26666666667,239.06666666666666,7.744299001693726,8.718744993209839,9.863517093658446,10.19472578048706,0.759073917761968,123834,0,0,455.0273952484131,88.50940921089865,1022976,22.55700998306274,0,0,1609,2.5104234738783404,5.456135988235474,18,42
37,1773223114.3088157,1773223144.3088157,60,72,27,58,14,14,44,60,44,16,1.9333333333333333,35794.63333333333,314.0,7.988551466553299,8.018869876861572,9.851466345787047,10.551976060867307,0.8350232613622808,125937,0,0,522.581803560257,86.80348980908443,708096,20.11448533446701,0,0,1512,2.762494971012247,6.2606213092803955,12,48
38,1773223144.3088157,1773223174.3088157,60,72,17,54,8,8,46,60,46,14,1.8,26608.266666666666,239.8,6.597531444886151,6.982468128204346,8.023760652542114,8.230081911087035,0.8971437740693197,126271,0,0,327.64149141311646,91.72622496431524,328192,34.02468555113849,0,0,688,1.164114519401833,2.942950487136841,14,46
