period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,128000,96,640000,1773211393.8966286,1773211424.0677507,30.169682264328003,1,30,29,3712000,29,123037.42437450164,0.9612298779257941,0.9322373209328487,0.8914196491241455,0.9693910121917723,1.7428702640533436,0.9322375182447762,0.8914196491241455,0.9693912506103514,1.7428705024719227,0,0,0,0,2747.7808673128643,0.9322373209328487,RAMP_UP,11
2,128000,96,640000,1773211424.067774,1773211459.9756076,35.90636086463928,11,61,50,6400000,50,178241.3991806879,1.3925109310991242,5.71586501121521,5.348394274711609,9.291183829307556,9.624156696796415,5.715865206718445,5.348394513130188,9.291184067726135,9.624157173633574,0,0,0,0,2131.0257773414814,5.71586501121521,RAMP_DOWN,7
3,128000,96,896000,1773211459.9756258,1773211492.4812164,32.50446438789368,7,58,51,6528000,51,200833.95074897344,1.569015240226355,3.702707098979576,3.5878334045410156,6.0250478982925415,6.112719297409058,3.702707281299666,3.5878336429595947,6.025048136711121,6.112719535827637,0,0,0,0,2181.5645871023044,3.702707098979576,RAMP_DOWN,3
4,128000,96,896000,1773211492.4812272,1773211523.6876798,31.20508885383606,3,52,49,6272000,49,200992.85822828155,1.5702567049084497,1.6973829853291413,1.4050443172454834,3.167936754226684,3.4076886272430413,1.6973831799565529,1.4050445556640625,3.1679368495941156,3.4076887512207024,0,0,0,0,2531.643417654594,1.6973829853291413,RAMP_UP,7
5,128000,96,896000,1773211523.6876962,1773211556.4066458,32.71773099899292,7,58,51,6528000,51,199524.83869376325,1.5587878022950254,3.7261731063618377,3.817772150039673,5.075860977172852,5.5831780433654785,3.726173298031676,3.817772388458252,5.075861215591431,5.5831780433654785,0,0,0,0,2160.823572712536,3.7261731063618377,RAMP_DOWN,3
6,128000,96,1152000,1773211556.4066596,1773211587.510231,31.102479457855225,3,52,49,6272000,49,201655.9486358232,1.575437098717369,1.6963762945058394,1.414050817489624,3.0323823928833007,3.105211915969848,1.696376489133251,1.414050817489624,3.03238263130188,3.1052122783660883,0,0,0,0,2515.9715958856227,1.6963762945058394,RAMP_UP,7
7,128000,96,1152000,1773211587.5102432,1773211622.3946702,34.88330340385437,7,60,53,6784000,53,194476.99437921966,1.5193515185876536,3.4791375736020647,3.4136099815368652,5.205385160446167,5.288029689788818,3.4791377625375426,3.4136099815368652,5.205385303497314,5.28802981376648,0,0,0,0,2174.580458794758,3.4791375736020647,RAMP_DOWN,3
8,128000,96,1408000,1773211622.394681,1773211654.5464911,32.15059423446655,3,58,55,7040000,55,218969.51417628466,1.710699329502224,1.5074586088007147,1.4258973598480225,2.187523055076599,3.0003138542175294,1.507458816875111,1.4258975982666016,2.1875231981277468,3.000313963890076,0,0,0,0,2588.8826536561673,1.5074586088007147,RAMP_UP,7
9,128000,96,1408000,1773211654.5465088,1773211688.5745673,34.02685308456421,7,61,54,6912000,54,203133.6833536196,1.5869819012001531,3.5562672394293324,3.4533740282058716,5.012889969348907,6.049796879291534,3.5562674160356873,3.4533742666244507,5.012890362739563,6.0497971177101135,0,0,0,0,2163.2684409561425,3.5562672394293324,RAMP_DOWN,3
10,128000,96,1408000,1773211688.57458,1773211719.9445233,31.368869304656982,3,57,54,6912000,54,220345.8445655181,1.7214519106681103,1.5379381842083402,1.3930808305740356,2.595550692081451,3.2619463825225825,1.537938400551125,1.3930810689926147,2.59555093050003,3.261946494579315,0,0,0,0,2698.508332099329,1.5379381842083402,RAMP_UP,7
