period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773265555.0298536,1773265585.0298536,16,14,0,0,0,0,0,16,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18398,0,0,0.0,100.0,0,0.0,0,0,0,0.648328959941864,4.611082315444946,8,8
2,1773265585.0298536,1773265615.0298536,23,7,0,1,0,0,1,23,8,15,0.03333333333333333,0.0,2.7666666666666666,0.0,0.0,0.0,0.0,0.0,26494,0,0,0.0,100.0,0,0.0,0,0,0,0.049028247594833374,0.08536958694458008,5,18
3,1773265615.0298536,1773265645.0298536,7,23,12,36,13,13,23,7,7,0,1.2,36035.36666666667,215.5,5.485782994164361,0.6835224628448486,20.419478905200958,21.016374304294583,0.9244847192608386,29038,0,0,156.59497714042664,82.60055809550815,326400,0.0,0,0,0,0.05211637020111084,0.1003572940826416,2,5
4,1773265645.0298536,1773265675.0298536,11,19,14,25,18,18,7,11,11,0,0.8333333333333334,43795.566666666666,205.86666666666667,1.1913304924964905,0.4794522523880005,5.035629141330719,5.098111507892608,0.9115410858758164,31824,0,0,132.37745213508606,85.29139420721266,464640,60.28898358345032,0,0,0,0.0518601680624074,0.09751176834106445,0,11
5,1773265675.0298536,1773265705.0298536,1,30,18,33,22,22,11,1,1,0,1.1,54592.8,254.26666666666668,1.7488087882166323,0.6167185306549072,5.984385371208188,6.7523372173309335,0.8493900531748514,36606,1,0,177.97817206382751,80.86256214367447,986112,41.706373726112254,0,0,0,0.045666165973829186,0.08988595008850098,0,1
6,1773265705.0298536,1773265735.0298536,5,26,17,29,29,29,0,5,4,1,0.9666666666666667,65825.6,179.5,0.996274183536398,0.5092811584472656,3.8075510025024384,4.41432279586792,0.9509743523232062,38426,0,0,116.48569560050964,87.47465638704197,387072,66.79086054878672,0,0,0,0.056492762132124466,0.10038447380065918,1,4
7,1773265735.0298536,1773265765.0298536,4,28,17,27,25,25,2,4,1,3,0.9,52656.566666666666,262.26666666666665,1.551294937133789,0.7122981548309326,4.8521538257598875,5.018126440048217,0.9386224510479588,41707,1,0,164.10654664039612,82.90556805829206,387584,48.29016876220704,0,0,0,0.045275633151714616,0.09294700622558594,0,4
8,1773265765.0298536,1773265795.0298536,4,30,14,21,18,18,3,4,3,1,0.7,40757.53333333333,155.46666666666667,1.4098759492238362,1.0479612350463867,3.298980069160461,3.409714760780334,0.9372086933752292,45934,2,0,98.67151880264282,90.3263216860154,306944,53.004135025872124,0,0,0,0.06670819010053362,0.09751057624816895,0,4
9,1773265795.0298536,1773265825.0298536,5,30,11,18,15,15,3,5,4,1,0.6,36557.0,124.3,2.5603819052378336,2.4490301609039307,5.479317736625671,5.7339565420150755,0.7442933037538677,50186,1,0,116.2923891544342,88.92453436624437,1121280,14.653936492072214,0,0,0,0.04604911804199219,0.09730935096740723,0,5
10,1773265825.0298536,1773265855.0298536,6,30,9,19,15,15,4,6,5,1,0.6333333333333333,32838.166666666664,148.06666666666666,1.0314396858215331,0.7287676334381104,2.5908384799957274,2.6897691822052,0.8435489112772181,52288,2,0,56.60335636138916,94.75894848505656,616192,65.61867713928223,0,0,0,0.06003592127845401,0.17062807083129883,0,6
11,1773265855.0298536,1773265885.0298536,6,30,9,20,14,14,6,6,6,0,0.6666666666666666,26815.8,176.0,2.7897969484329224,2.2156468629837036,6.612373650074005,6.614034330844879,0.8722337207451043,55399,0,0,103.37127017974854,90.42858609446773,410880,7.006768385569255,0,0,0,0.046404337882995604,0.09447693824768066,1,5
12,1773265885.0298536,1773265915.0298536,14,23,9,16,12,12,4,14,12,2,0.5333333333333333,21718.466666666667,125.6,1.3445549011230469,0.5199923515319824,3.40413212776184,3.695534181594848,0.7976412776412777,58675,1,0,67.43909525871277,93.9244058325484,527104,55.18150329589844,0,0,0,0.04498552282651266,0.10075879096984863,6,8
13,1773265915.0298536,1773265945.0298536,7,31,14,29,16,16,13,7,6,1,0.9666666666666667,51318.03333333333,257.0,3.0444154089147393,2.3129074573516846,6.822731709480285,7.698256793022155,0.8705652372832009,62065,1,0,149.02758193016052,86.92740509384556,796672,0.0,0,0,0,0.3244626955552535,3.4817638397216797,4,3
14,1773265945.0298536,1773265975.0298536,4,34,20,28,21,21,7,4,4,0,0.9333333333333333,62438.03333333333,286.0,1.6596533393859862,0.8623275756835938,4.440985918045041,5.471519584655759,0.8774694100758766,62362,0,0,194.99850225448608,82.8948682232907,917760,44.678222020467125,0,0,0,0.047431955337524416,0.0941915512084961,0,4
15,1773265975.0298536,1773266005.0298536,19,20,11,14,12,12,2,19,17,2,0.4666666666666667,30527.766666666666,80.16666666666667,2.113354245821635,1.4466776847839355,5.181040930747986,5.524029955863953,0.7214260747990213,63354,1,0,92.43900346755981,92.09923047285814,1020160,29.55485847261217,0,0,0,0.0495266421087857,0.10088729858398438,0,19
16,1773266005.0298536,1773266035.0298536,6,34,18,42,26,26,16,6,3,3,1.4,56487.566666666666,326.8333333333333,0.638373118180495,0.4454917907714844,1.6863264441490173,3.0202608704566956,0.9458172749943323,66042,1,0,147.61914610862732,87.69840449094772,367104,78.72089606065016,0,0,0,0.049442132314046226,0.09376335144042969,1,5
17,1773266035.0298536,1773266065.0298536,4,36,17,34,28,28,6,4,4,0,1.1333333333333333,67528.16666666667,331.7,0.8417573715078419,0.4986269474029541,2.4968483924865708,3.087069816589355,0.926733674694987,67467,0,0,133.28151202201843,88.89320733149846,593408,71.94142094973861,0,0,0,0.03904295712709427,0.09832072257995605,1,3
18,1773266065.0298536,1773266095.0298536,5,35,16,24,20,20,4,5,5,0,0.8,52333.36666666667,253.9,0.5515732651665097,0.5753645896911621,0.8467726707458496,0.8919333457946778,0.9905798874480058,68136,0,0,89.44782900810242,92.5460142493248,59136,81.61422449444969,0,0,0,0.04934942245483399,0.09999561309814453,0,5
19,1773266095.0298536,1773266125.0298536,3,38,17,26,21,21,5,3,3,0,0.8666666666666667,52227.566666666666,267.0,0.8132942404065814,0.6809022426605225,2.4131789207458496,2.7337924003601075,0.9927666530445444,69806,1,0,94.49566102027893,92.31742593331066,45312,72.89019198644729,0,0,0,0.05259521802266439,0.10029244422912598,2,1
