timestamp,user_id,event_type,trace_id,details
1773265555.0394826,User-001,started,trace_0464,"16 requests remaining (advanced 27%), 32,608 tokens at start"
1773265555.0901623,User-002,started,trace_0252,"466 requests, 89,509 initial tokens"
1773265555.1447308,User-003,started,trace_0411,"12 requests remaining (advanced 25%), 15,466 tokens at start"
1773265555.2102525,User-004,started,trace_0154,"17 requests remaining (advanced 51%), 55,640 tokens at start"
1773265555.287416,User-005,started,trace_0375,"71 requests remaining (advanced 49%), 98,248 tokens at start"
1773265555.365271,User-006,started,trace_0110,"224 requests remaining (advanced 50%), 102,503 tokens at start"
1773265555.4511726,User-007,started,trace_0579,"173 requests remaining (advanced 52%), 125,189 tokens at start"
1773265555.5145538,User-008,started,trace_0216,"42 requests remaining (advanced 56%), 49,426 tokens at start"
1773265555.5766337,User-009,started,trace_0235,"16 requests remaining (advanced 67%), 42,954 tokens at start"
1773265555.6637657,User-010,started,trace_0282,"55 requests remaining (advanced 55%), 105,698 tokens at start"
1773265555.726985,User-011,started,trace_0352,"38 requests remaining (advanced 34%), 45,245 tokens at start"
1773265555.7871025,User-012,started,trace_0558,"15 requests remaining (advanced 46%), 35,413 tokens at start"
1773265555.8518622,User-013,started,trace_0111,"87 requests remaining (advanced 45%), 53,444 tokens at start"
1773265555.942156,User-014,started,trace_0176,"246 requests remaining (advanced 31%), 125,725 tokens at start"
1773265556.0199246,User-015,started,trace_0264,"225 requests remaining (advanced 33%), 95,643 tokens at start"
1773265556.093916,User-016,started,trace_0037,"9 requests remaining (advanced 68%), 86,908 tokens at start"
1773265556.1592107,User-017,started,trace_0010,"18 requests remaining (advanced 45%), 55,034 tokens at start"
1773265556.2226505,User-018,started,trace_0145,"145 requests remaining (advanced 29%), 48,071 tokens at start"
1773265556.2895746,User-019,started,trace_0499,"7 requests remaining (advanced 46%), 62,549 tokens at start"
1773265556.3551142,User-020,started,trace_0195,"54 requests remaining (advanced 56%), 55,539 tokens at start"
1773265556.4396768,User-021,started,trace_0410,"14 requests remaining (advanced 36%), 114,137 tokens at start"
1773265556.5043426,User-022,started,trace_0288,"60 requests remaining (advanced 48%), 51,218 tokens at start"
1773265556.582719,User-023,started,trace_0487,"17 requests remaining (advanced 59%), 100,154 tokens at start"
1773265556.6513672,User-024,started,trace_0055,"99 requests remaining (advanced 33%), 67,793 tokens at start"
1773265556.710079,User-025,started,trace_0266,"52 requests remaining (advanced 50%), 31,137 tokens at start"
1773265556.7886264,User-026,started,trace_0232,"57 requests remaining (advanced 58%), 105,270 tokens at start"
1773265556.8611465,User-027,started,trace_0044,"56 requests remaining (advanced 48%), 73,177 tokens at start"
1773265556.9114287,User-028,started,trace_0248,"466 requests, 89,509 initial tokens"
1773265556.9783132,User-029,started,trace_0009,"14 requests remaining (advanced 58%), 56,106 tokens at start"
1773265557.041898,User-030,started,trace_0562,"6 requests remaining (advanced 65%), 47,468 tokens at start"
1773265675.1456857,User-031,started,trace_0192,"205 requests remaining (advanced 32%), 82,234 tokens at start"
1773265699.4264255,User-030,completed,trace_0562,"17/17 requests, 82.5% cache hit"
1773265699.4562502,User-032,started,trace_0025,"535 requests remaining (advanced 58%), 94,759 tokens at start"
1773265731.2883484,User-003,completed,trace_0411,"16/16 requests, 91.2% cache hit"
1773265731.3168747,User-033,started,trace_0209,"48 requests remaining (advanced 68%), 83,951 tokens at start"
1773265735.131028,User-034,started,trace_0476,"9 requests remaining (advanced 31%), 10,137 tokens at start"
1773265765.0822644,User-035,started,trace_0565,"56 requests remaining (advanced 67%), 113,755 tokens at start"
1773265765.1526458,User-036,started,trace_0181,"56 requests remaining (advanced 47%), 65,565 tokens at start"
1773265775.3024597,User-001,completed,trace_0464,"22/22 requests, 63.9% cache hit"
1773265775.3292432,User-037,started,trace_0379,"70 requests remaining (advanced 59%), 83,384 tokens at start"
1773265795.0744092,User-038,started,trace_0568,"181 requests remaining (advanced 52%), 58,024 tokens at start"
1773265825.1017525,User-039,started,trace_0430,"9 requests remaining (advanced 57%), 70,290 tokens at start"
1773265825.1984282,User-040,started,trace_0168,"152 requests remaining (advanced 53%), 141,038 tokens at start"
1773265837.774541,User-034,completed,trace_0476,"13/13 requests, 84.6% cache hit"
1773265837.8141568,User-041,started,trace_0320,"38 requests remaining (advanced 41%), 122,593 tokens at start"
1773265840.2150917,User-040,truncated,trace_0168,"170/322 requests, 0.0% cache hit"
1773265857.4317062,User-012,completed,trace_0558,"28/28 requests, 54.7% cache hit"
1773265857.4367526,User-042,started,trace_0505,"17 requests remaining (advanced 37%), 11,148 tokens at start"
1773265885.1668985,User-043,started,trace_0121,"109 requests remaining (advanced 42%), 86,142 tokens at start"
1773265915.0749218,User-044,started,trace_0294,"16 requests remaining (advanced 60%), 28,127 tokens at start"
1773265923.2048035,User-039,completed,trace_0430,"21/21 requests, 17.8% cache hit"
1773265923.2281172,User-045,started,trace_0291,"54 requests remaining (advanced 60%), 54,414 tokens at start"
1773265975.1390054,User-046,started,trace_0349,"78 requests remaining (advanced 56%), 89,267 tokens at start"
1773266005.0660872,User-047,started,trace_0196,"22 requests remaining (advanced 42%), 53,236 tokens at start"
1773266032.0862207,User-007,truncated,trace_0579,"204/361 requests, 53.9% cache hit"
1773266032.1251316,User-048,started,trace_0331,"62 requests remaining (advanced 57%), 102,856 tokens at start"
1773266056.8648314,User-042,completed,trace_0505,"27/27 requests, 44.4% cache hit"
1773266056.8764462,User-049,started,trace_0177,"6 requests remaining (advanced 57%), 29,611 tokens at start"
1773266095.0926845,User-050,started,trace_0021,"231 requests remaining (advanced 40%), 69,361 tokens at start"
1773266125.0859299,User-051,started,trace_0457,"4 requests remaining (advanced 60%), 12,909 tokens at start"
1773266125.1543183,User-052,started,trace_0078,"30 requests remaining (advanced 55%), 46,442 tokens at start"
1773266133.3663595,User-029,completed,trace_0009,"33/33 requests, 93.9% cache hit"
1773266133.4025085,User-053,started,trace_0344,"112 requests remaining (advanced 64%), 102,400 tokens at start"
1773266168.29493,User-051,completed,trace_0457,"10/10 requests, 99.4% cache hit"
1773266168.3273175,User-054,started,trace_0247,"167 requests remaining (advanced 30%), 81,906 tokens at start"
1773266191.4316363,User-019,completed,trace_0499,"13/13 requests, 86.0% cache hit"
1773266191.4769807,User-055,started,trace_0213,"63 requests remaining (advanced 46%), 130,806 tokens at start"
1773266203.318805,User-014,truncated,trace_0176,"120/356 requests, 99.7% cache hit"
1773266212.4780362,User-055,truncated,trace_0213,"54/117 requests, 0.0% cache hit"
1773266215.137097,User-056,started,trace_0046,"237 requests remaining (advanced 46%), 69,379 tokens at start"
1773266235.014554,User-017,completed,trace_0010,"33/33 requests, 94.9% cache hit"
1773266235.024712,User-057,started,trace_0267,"240 requests remaining (advanced 43%), 14,934 tokens at start"
1773266245.1415536,User-058,started,trace_0533,"152 requests remaining (advanced 59%), 124,923 tokens at start"
1773266246.5179224,User-016,completed,trace_0037,"28/28 requests, 99.4% cache hit"
1773266246.5393012,User-059,started,trace_0343,"25 requests remaining (advanced 59%), 58,887 tokens at start"
1773266305.1583703,User-060,started,trace_0228,"30 requests remaining (advanced 57%), 49,731 tokens at start"
1773266305.2225664,User-061,started,trace_0536,"10 requests remaining (advanced 52%), 40,086 tokens at start"
1773266307.760951,User-021,completed,trace_0410,"22/22 requests, 91.4% cache hit"
1773266307.7803879,User-062,started,trace_0243,"93 requests remaining (advanced 57%), 50,378 tokens at start"
1773266365.1324985,User-063,started,trace_0298,"101 requests remaining (advanced 45%), 112,790 tokens at start"
1773266382.7142677,User-041,truncated,trace_0320,"28/64 requests, 82.0% cache hit"
1773266382.7692223,User-064,started,trace_0033,"79 requests remaining (advanced 59%), 161,141 tokens at start"
1773266391.7869213,User-064,truncated,trace_0033,"112/191 requests, 0.0% cache hit"
1773266425.1709225,User-065,started,trace_0262,"45 requests remaining (advanced 63%), 92,070 tokens at start"
1773266443.2538698,User-058,truncated,trace_0533,"228/374 requests, 99.3% cache hit"
1773266443.284919,User-066,started,trace_0303,"105 requests remaining (advanced 44%), 85,295 tokens at start"
1773266463.0927427,User-061,completed,trace_0536,"21/21 requests, 21.1% cache hit"
1773266463.139101,User-067,started,trace_0079,"309 requests remaining (advanced 62%), 129,854 tokens at start"
1773266485.082776,User-068,started,trace_0595,"17 requests remaining (advanced 48%), 45,328 tokens at start"
1773266515.0916574,User-069,started,trace_0040,"70 requests remaining (advanced 39%), 63,395 tokens at start"
1773266515.1526475,User-070,started,trace_0455,"9 requests remaining (advanced 18%), 28,559 tokens at start"
1773266519.2949972,User-049,completed,trace_0177,"14/14 requests, 97.3% cache hit"
1773266519.2951794,User-071,started,trace_0207,"52 requests, 8,868 initial tokens"
1773266545.079297,User-072,started,trace_0532,"17 requests remaining (advanced 53%), 38,082 tokens at start"
1773266573.010182,User-071,truncated,trace_0207,"4/52 requests, 74.3% cache hit"
1773266573.0103533,User-073,started,trace_0380,"359 requests, 22,253 initial tokens"
1773266578.4924312,User-053,truncated,trace_0344,"205/309 requests, 96.6% cache hit"
1773266578.4989545,User-074,started,trace_0419,"9 requests remaining (advanced 62%), 14,823 tokens at start"
1773266604.016045,User-023,completed,trace_0487,"41/41 requests, 79.9% cache hit"
1773266605.1748097,User-075,started,trace_0570,"39 requests remaining (advanced 66%), 32,925 tokens at start"
1773266635.145666,User-076,started,trace_0189,"33 requests remaining (advanced 56%), 60,114 tokens at start"
1773266665.161687,User-077,started,trace_0001,"6 requests remaining (advanced 57%), 46,849 tokens at start"
