period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773242504.3996882,1773242534.3996882,40,0,1,1,1,1,0,40,40,0,0.03333333333333333,604.5,0.6,15.962464809417725,15.962464809417725,15.962464809417725,15.962464809417725,0.0,283,0,0,20.9881911277771,98.25098407268524,72448,0.0,0,0,0,0.9549095223589641,1.9563300609588623,7,33
2,1773242534.3996882,1773242564.3996882,0,31,7,40,0,0,40,0,0,0,1.3333333333333333,19505.066666666666,315.26666666666665,34.86987754276821,39.097222089767456,43.64085400104523,44.204588532447815,0.030962800875273522,27746,0,0,323.9318480491638,65.16861848933722,2267392,0.0,9,18,0,0.0,0.0,0,0
3,1773242564.3996882,1773242594.3996882,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27746,0,0,0.0,100.0,0,0.0,32,76,0,0.0,0.0,0,0
4,1773242594.3996882,1773242624.3996882,7,32,35,41,41,41,0,7,7,0,1.3666666666666667,54255.433333333334,372.7,1.2841236067981254,0.7526721954345703,3.4389469623565674,5.204136896133427,0.996458226752194,27829,0,0,259.23843574523926,77.84286873972313,23040,74.31752786403749,1,0,0,21.41814977924029,63.91344141960144,4,3
5,1773242624.3996882,1773242654.3996882,4,40,28,43,36,36,7,4,4,0,1.4333333333333333,57969.2,354.6666666666667,1.595701092481613,1.2263853549957275,3.6098497271537777,4.532211413383483,0.7082566104441335,37795,4,0,385.14201259613037,70.82257480332346,2028032,68.08597815036774,0,0,0,1.9126846253871919,74.26591277122498,1,3
6,1773242654.3996882,1773242684.3996882,12,34,27,40,36,36,4,12,12,0,1.3333333333333333,53025.4,321.26666666666665,1.122188948296212,0.7671823501586914,2.847886371612548,3.816969470977784,0.8224897334729044,40358,2,0,217.3216688632965,84.25205298092054,1128704,77.55622103407576,0,0,0,0.04979300498962402,0.1014106273651123,1,11
7,1773242684.3996882,1773242714.3996882,12,40,29,58,49,48,10,12,10,2,1.9333333333333333,56336.86666666667,419.76666666666665,0.7388425779342651,0.5602028369903564,1.916394555568695,2.383053534030914,0.8251393048026989,44965,6,0,294.7254252433777,81.10734453568091,1180928,85.2231484413147,0,0,0,0.0600945868734586,0.30518031120300293,0,12
8,1773242714.3996882,1773242744.3996882,19,39,27,52,43,43,9,19,15,4,1.7333333333333334,49315.4,422.43333333333334,0.687202863915022,0.3589303493499756,2.7486271619796745,2.9376720857620238,0.8181857544923143,47847,6,0,309.54592871665955,82.2100040967437,1074944,86.25594272169955,0,0,0,0.0626648765499309,0.3072628974914551,1,18
9,1773242744.3996882,1773242774.3996882,21,40,25,42,26,26,16,21,18,3,1.4,40463.73333333333,279.46666666666664,2.750830155831796,2.360158681869507,6.041379857063293,6.330336952209472,0.7521764364480558,53635,3,0,283.1296317577362,84.52843542307453,1202432,44.98339688336408,0,0,0,0.05866699868982488,0.2675793170928955,2,19
10,1773242774.3996882,1773242804.3996882,20,42,32,52,32,32,20,20,19,1,1.7333333333333334,48564.46666666667,385.4,0.8048495615229887,0.5516982078552246,2.353515636920927,3.2432712602615363,0.8047922620356123,59656,1,0,241.69077968597412,87.00587205989386,1136640,83.90300876954022,0,0,0,0.05023494421267042,0.09859299659729004,4,16
11,1773242804.3996882,1773242834.3996882,13,54,33,60,42,41,19,13,12,1,2.0,64552.4,470.46666666666664,1.2975607592126597,0.6246099472045898,3.3078020811080933,3.5465178728103632,0.8052459233288128,64216,5,0,371.1040925979614,81.53710982099695,1507328,74.0487848157468,0,0,0,0.06375796265072292,0.2528693675994873,1,12
12,1773242834.3996882,1773242864.3996882,26,42,22,35,26,26,9,26,21,5,1.1666666666666667,44933.96666666667,231.93333333333334,1.3575685554080539,1.3499650955200195,2.9372182130813598,3.015381097793579,0.7731375902698594,67034,1,0,245.09367632865906,87.98560410153632,1222400,72.84862889183891,0,0,0,0.04402061218911029,0.09190058708190918,0,26
13,1773242864.3996882,1773242894.3996882,16,58,34,66,45,45,21,16,11,5,2.2,56857.46666666667,511.06666666666666,0.7714301162295871,0.5592072010040283,2.226785707473753,2.6512110710144055,0.8315619483982424,71654,6,0,367.7356698513031,83.43533018687825,1148160,84.57139767540825,0,0,0,0.06654773439679827,0.36619114875793457,1,15
14,1773242894.3996882,1773242924.3996882,21,59,39,63,54,54,9,21,14,7,2.1,58714.5,393.9,0.749222300269387,0.5430889129638672,1.8448974847793576,2.9938434553146362,0.759656652360515,72713,6,0,448.7060089111328,81.30391629536946,1691648,85.01555399461228,0,0,0,0.059585466104395246,0.3038487434387207,1,20
15,1773242924.3996882,1773242954.3996882,24,60,35,62,45,44,18,24,21,3,2.066666666666667,51362.433333333334,367.0,0.7810148726338926,0.4714038372039795,2.4905079007148743,3.165553295612335,0.8231479171863307,76670,4,0,470.3658583164215,81.33468816204676,1089024,84.37970254732214,0,0,0,0.04655666784806685,0.20581412315368652,0,24
16,1773242954.3996882,1773242984.3996882,31,56,28,51,34,33,18,31,24,7,1.7,47749.96666666667,355.1333333333333,0.9295293653712553,0.46961987018585205,2.563048517704009,2.9571513247489936,0.855865522174535,80313,3,0,303.11064982414246,88.38656514083746,825344,81.40941269257489,0,0,0,0.05676405183200178,0.15315604209899902,0,31
17,1773242984.3996882,1773243014.3996882,31,61,37,69,45,45,24,31,23,8,2.3,55478.13333333333,419.1,0.9681119071112738,0.7260313034057617,2.562157440185546,3.3494715976715086,0.8361425382898484,84862,5,0,403.74611139297485,85.37151770315309,1090048,80.63776185777452,0,0,0,0.0526687082122354,0.25743770599365234,2,29
18,1773243014.3996882,1773243044.3996882,43,52,22,44,21,21,23,43,35,8,1.4666666666666666,32528.866666666665,239.0,4.968293418054995,4.212969541549683,8.640782022476197,8.665727381706239,0.8011158516573679,88600,3,0,374.06579327583313,86.87488444646199,775680,0.6341316389000973,0,0,0,0.04871936781065805,0.15070033073425293,1,42
19,1773243044.3996882,1773243074.3996882,35,62,29,68,32,31,37,35,29,6,2.2666666666666666,49655.3,389.1333333333333,0.817073618664461,0.5289530754089355,2.360227489471434,2.8635508942604067,0.8907230676640013,91554,2,0,382.24632024765015,86.86438762035567,650752,83.6585276267108,0,0,0,0.04625202006981021,0.10425639152526855,0,35
20,1773243074.3996882,1773243104.3996882,34,65,27,53,27,27,26,34,24,10,1.7666666666666666,43089.166666666664,282.1666666666667,3.6875213340476707,3.9019296169281006,5.654909825325012,5.880365839004516,0.7664107010156056,95658,2,0,392.143919467926,86.79650102801595,1207040,26.249573319046586,0,0,0,0.0394130314097685,0.10603141784667969,0,34
