period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1773213305.5380898,1773213335.5380898,17,3,4,4,4,4,0,17,17,0,0.13333333333333333,3572.9666666666667,15.966666666666667,9.457969605922699,8.966920018196106,16.166192936897275,16.53633726596832,0.0,1673,0,0,113.33783531188965,81.11036078135172,428288,0.0,0,0,0,0.45371509733654203,0.9528708457946777,0,17
2,1773213335.5380898,1773213365.5380898,0,6,0,17,0,0,17,0,0,0,0.5666666666666667,0.0,95.33333333333333,0.0,0.0,0.0,0.0,0.0,14879,0,0,0.0,100.0,0,0.0,14,53,0,0.0,0.0,0,0
3,1773213365.5380898,1773213395.5380898,5,15,18,24,24,24,0,5,5,0,0.8,29591.566666666666,207.63333333333333,0.9348234136899313,1.5319870710372925,1.5677613615989685,1.6059048628807067,0.9632008081391153,15380,0,0,95.04792642593384,84.15867892901103,130560,81.30353172620138,0,0,0,9.50110149383545,39.69657588005066,3,2
4,1773213395.5380898,1773213425.5380898,3,21,16,30,25,25,5,3,3,0,1.0,44696.166666666664,245.9,1.329938496862139,0.7004632949829102,4.020941996574401,4.45705215215683,0.7452235384027512,19778,4,0,139.3723545074463,80.64272854063246,1365504,73.40123006275722,0,0,0,0.06054039512361799,0.2199714183807373,0,3
5,1773213425.5380898,1773213455.5380898,5,24,19,34,31,31,3,5,5,0,1.1333333333333333,33361.7,286.1666666666667,1.427967748334331,1.0859458446502686,3.4120174646377563,3.4777487039566037,0.55968,24852,5,0,187.26939797401428,78.47478184206732,1761280,71.44064503331337,0,0,0,0.057375053564707436,0.25312209129333496,0,5
6,1773213455.5380898,1773213485.5380898,6,26,19,34,29,29,5,6,6,0,1.1333333333333333,35971.53333333333,349.53333333333336,0.6836063861846924,0.3883628845214844,1.8234307765960691,1.949148893356323,0.800973467086128,27867,3,0,129.10689616203308,86.55136498312154,858368,86.32787227630615,0,0,0,0.05653745106288365,0.1523745059967041,2,4
7,1773213485.5380898,1773213515.5380898,13,24,19,34,28,28,6,13,13,0,1.1333333333333333,30641.7,241.16666666666666,1.3088884909947713,0.605392336845398,4.160588753223419,4.691746454238892,0.693079657118963,31434,5,0,146.8732044696808,86.76817977750623,1127424,73.82223018010457,0,0,0,0.057411874212869786,0.2518134117126465,2,11
8,1773213515.5380898,1773213545.5380898,7,36,31,62,50,49,13,7,7,0,2.066666666666667,56798.566666666666,528.7333333333333,0.9448169001511165,0.356380820274353,3.2410300374031067,4.176806604862216,0.7594931949770659,35818,6,0,312.80658292770386,75.75142768002296,1637632,81.10366199697768,0,0,0,0.0579491372694049,0.30359721183776855,0,7
9,1773213545.5380898,1773213575.5380898,12,36,31,54,46,46,8,12,12,0,1.8,51130.26666666667,440.6,0.6255270657332047,0.4033924341201782,2.1048076152801514,2.79632304906845,0.7787104318048943,37373,5,0,269.59674048423767,81.27800413303905,1356544,87.4894586853359,0,0,0,0.0561491230786857,0.2644493579864502,2,10
10,1773213575.5380898,1773213605.5380898,16,32,30,43,33,33,10,16,15,1,1.4333333333333333,39272.53333333333,375.3,1.1199270180293492,0.6676406860351562,3.845040106773376,4.375455384254454,0.8305969337827552,40430,0,0,257.42786931991577,82.1230646305614,797696,77.60145963941302,0,0,0,0.04902482032775879,0.1008753776550293,0,16
