request_id,phase_id,working_set_size,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl
P1_c1_r0,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.446580171585083,0.4465804100036621,0.00035452842712402344,0.4469413757324219,1773209300.3715148,1773209300.8184562,1,0.0
P1_c1_r1,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.454329252243042,0.4543297290802002,0.0003497600555419922,0.45468568801879883,1773209300.858584,1773209301.3132696,1,0.0
P1_c1_r2,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.45431065559387207,0.45431065559387207,0.00035309791564941406,0.45467042922973633,1773209301.3654442,1773209301.8201146,1,0.0
P1_c1_r3,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4539768695831299,0.4539778232574463,0.0009160041809082031,0.4549074172973633,1773209301.859532,1773209302.3144395,1,0.0
P1_c1_r4,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.44791221618652344,0.44791245460510254,0.0003409385681152344,0.4482591152191162,1773209302.3681247,1773209302.8163838,1,0.0
P1_c1_r5,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3923969268798828,0.3923971652984619,0.00034999847412109375,0.39275240898132324,1773209302.858863,1773209303.2516155,1,0.0
P1_c1_r6,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.418154239654541,0.4181544780731201,0.0003669261932373047,0.41852593421936035,1773209303.2908232,1773209303.7093492,1,0.0
P1_c1_r7,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4120492935180664,0.4120495319366455,0.0003478527069091797,0.4124021530151367,1773209303.7491486,1773209304.1615508,1,0.0
P1_c1_r8,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.46764564514160156,0.46764588356018066,0.00035452842712402344,0.4680054187774658,1773209304.2010262,1773209304.6690316,1,0.0
P1_c1_r9,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.41112351417541504,0.41112351417541504,0.0003650188446044922,0.41149425506591797,1773209304.7096877,1773209305.121182,1,0.0
P1_c1_r10,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.42515110969543457,0.42515110969543457,0.0003457069396972656,0.42550158500671387,1773209305.1604085,1773209305.58591,1,0.0
P1_c1_r11,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.402418851852417,0.4024190902709961,0.00034999847412109375,0.4027738571166992,1773209305.625128,1773209306.027902,1,0.0
P1_c1_r12,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.40439462661743164,0.40439462661743164,0.00048279762268066406,0.40488409996032715,1773209306.0674815,1773209306.4723656,1,0.0
P1_c1_r13,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4126851558685303,0.4126853942871094,0.0003581047058105469,0.41304779052734375,1773209306.525001,1773209306.9380488,1,0.0
P1_c1_r14,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4331197738647461,0.4331200122833252,0.00034999847412109375,0.4334745407104492,1773209306.9784718,1773209307.4119463,1,0.0
P1_c1_r15,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.39384031295776367,0.3938405513763428,0.0003516674041748047,0.3941969871520996,1773209307.4524295,1773209307.8466265,1,0.0
P1_c1_r16,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3981773853302002,0.3981776237487793,0.0003590583801269531,0.3985416889190674,1773209307.886633,1773209308.2851746,1,0.0
P1_c1_r17,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4011058807373047,0.4011061191558838,0.00035119056701660156,0.4014618396759033,1773209308.3354218,1773209308.7368836,1,0.0
P1_c1_r18,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.43846726417541504,0.43846750259399414,0.0003838539123535156,0.4388558864593506,1773209308.7767558,1773209309.2156117,1,0.0
P1_c1_r19,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3966350555419922,0.3966355323791504,0.0003669261932373047,0.3970062732696533,1773209309.255413,1773209309.6524193,1,0.0
P1_c1_r20,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.42034029960632324,0.42034053802490234,0.000354766845703125,0.4207000732421875,1773209309.6917677,1773209310.1124678,1,0.0
P1_c1_r21,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4578227996826172,0.4578227996826172,0.0003490447998046875,0.4581763744354248,1773209310.1527271,1773209310.6109035,1,0.0
P1_c1_r22,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.40944647789001465,0.40944671630859375,0.00033402442932128906,0.40978527069091797,1773209310.650918,1773209311.0607033,1,0.0
P1_c1_r23,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.40188121795654297,0.40188145637512207,0.00034809112548828125,0.4022352695465088,1773209311.1158297,1773209311.518065,1,0.0
P1_c1_r24,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.41437244415283203,0.41437268257141113,0.0003638267517089844,0.41474151611328125,1773209311.5592237,1773209311.9739652,1,0.0
P1_c1_r25,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.41782093048095703,0.41782116889953613,0.0003578662872314453,0.4181835651397705,1773209312.0140405,1773209312.432224,1,0.0
P1_c1_r26,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.40015149116516113,0.40015172958374023,0.00044465065002441406,0.4006023406982422,1773209312.472618,1773209312.8732204,1,0.0
P1_c1_r27,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.3951866626739502,0.3951869010925293,0.00038242340087890625,0.39557456970214844,1773209312.9144547,1773209313.3100293,1,0.0
P1_c1_r28,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4084184169769287,0.4084186553955078,0.0003726482391357422,0.4087955951690674,1773209313.3497353,1773209313.7585309,1,0.0
P1_c1_r29,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.42879605293273926,0.42879652976989746,0.0003528594970703125,0.4291536808013916,1773209313.7988672,1773209314.228021,1,0.0
P1_c1_r30,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.42444944381713867,0.4244496822357178,0.00036454200744628906,0.4248185157775879,1773209314.267794,1773209314.6926124,1,0.0
P1_c1_r31,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.43184804916381836,0.43184828758239746,0.00036215782165527344,0.43221449851989746,1773209314.7325997,1773209315.1648142,1,0.0
P1_c1_r32,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.4199986457824707,0.4199988842010498,0.00035762786865234375,0.4203610420227051,1773209315.2044582,1773209315.6248193,1,0.0
P1_c1_r33,SUSTAINED_P1,5000000,96,64000,61440,2560,1,0.41269826889038086,0.41269850730895996,0.00032591819763183594,0.4130289554595947,1773209315.6650064,1773209316.0780354,1,0.0
