period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,96,640000,1773209300.3312516,1773209330.6072862,30.27471661567688,1,66,65,4160000,65,137408.387758314,2.147006058723656,0.41730826451228215,0.41116881370544434,0.454325532913208,0.4728362560272217,0.41730851026681753,0.41116905212402344,0.45432591438293457,0.4728364944458008,0,0,0,0,2766.0628390240577,0.41730826451228215,RAMP_UP,21
2,64000,96,640000,1773209330.6073072,1773209365.0356812,34.42684531211853,21,143,122,7808000,122,226799.75261199783,3.543746134562466,4.59852032583268,4.4208128452301025,6.518781149387359,6.589276127815246,4.598520517349243,4.420813202857971,6.518781614303588,6.589276416301727,0,0,0,0,1320.8395621136444,4.59852032583268,RAMP_DOWN,17
3,64000,96,896000,1773209365.0357006,1773209398.000787,32.963826179504395,17,142,125,8000000,125,242690.273769678,3.7920355276512185,3.693127267837524,3.6214187145233154,6.0116473674774165,6.194998073577881,3.6931274223327635,3.6214187145233154,6.01164755821228,6.19499831199646,0,0,0,0,1282.0774303976445,3.693127267837524,RAMP_DOWN,13
4,64000,96,896000,1773209398.0007992,1773209431.4233325,33.42112946510315,13,140,128,8192000,128,245114.39712274598,3.829912455042906,2.8166070822626352,2.6186517477035522,4.002512896060943,4.464042224884033,2.8166072387248278,2.6186517477035522,4.002513134479522,4.464042398929596,0,0,0,0,1202.7384352503377,2.8166070822626352,RAMP_DOWN,11
5,64000,96,896000,1773209431.4233453,1773209463.2723103,31.847652673721313,11,142,132,8448000,132,265262.8778186456,4.144732465916338,2.3247752063202136,2.331058382987976,3.2404160618782027,3.4478747844696045,2.3247753634597315,2.3310585021972656,3.2404161930084214,3.4478747844696045,0,0,0,0,1213.9021330684077,2.3247752063202136,RAMP_DOWN,9
6,64000,96,1152000,1773209463.2723243,1773209494.5784552,31.30495834350586,9,128,119,7616000,119,243284.14420586257,3.8013147532166025,2.0795633071610906,1.9119882583618164,2.904646301269531,3.109615130424498,2.079563481467111,1.9119884967803955,2.904646325111389,3.109615368843077,0,0,0,0,1259.9831823522295,2.0795633071610906,RAMP_DOWN,7
7,64000,96,1152000,1773209494.5784652,1773209525.738206,31.1583411693573,7,135,128,8192000,128,262915.15185206424,4.108049247688504,1.5082157347351313,1.302060842514038,2.465068531036376,3.0361932516098022,1.5082159098237753,1.3020609617233276,2.465068531036376,3.0361934900283813,0,0,0,0,1304.8964427594335,1.5082157347351313,RAMP_UP,11
8,64000,96,1152000,1773209525.738219,1773209557.3883307,31.648834228515625,11,139,128,8192000,128,258840.4975946634,4.044382774916616,2.3575115613639355,2.3838950395584106,3.377716124057767,3.6219449019432073,2.3575117234140635,2.3838951587677,3.3777162075042697,3.6219451403617864,0,0,0,0,1313.6303457200818,2.3575115613639355,RAMP_DOWN,9
9,64000,96,1408000,1773209557.388343,1773209588.8186216,31.42913317680359,9,138,129,8256000,129,262686.21388811886,4.104472092001857,1.9274802134018536,1.8790514469146729,2.8252524852752687,2.892943277359009,1.9274804037670756,1.879051685333252,2.825252628326416,2.892943515777588,0,0,0,0,1268.4489380451075,1.9274802134018536,RAMP_UP,11
10,64000,96,1408000,1773209588.8186326,1773209620.7859495,31.965969562530518,11,130,119,7616000,119,238253.37082618105,3.722708919159079,2.565252418277644,2.4507815837860107,4.00113728046417,4.63079083442688,2.5652525845695946,2.45078182220459,4.00113728046417,4.630790877342224,0,0,0,0,1329.4021693987468,2.565252418277644,RAMP_DOWN,9
