Old Traces Cache Hit Rates (callanjfox traces)
==================================================
Trace             Reqs  Same-Model%  Cumulative%
--------------------------------------------------
trace_0001        1191        98.1%        98.4%
trace_0002         360        98.6%        98.6%
trace_0003         574        98.2%        98.6%
trace_0004         877        98.6%        98.6%
trace_0005         378        44.2%        91.9%
trace_0006        1039        98.6%        98.6%
trace_0007         286        99.0%        99.0%
trace_0008         334        98.6%        98.8%
trace_0009          51        98.7%        98.7%
trace_0010         276        98.4%        98.4%
trace_0011         492        98.9%        98.9%
trace_0012         669        98.2%        98.5%
trace_0013          54        98.9%        98.9%
trace_0014         787        98.8%        98.8%
trace_0015         165        97.8%        97.8%
trace_0016          15        92.4%        92.4%
trace_0017         277        98.4%        98.4%
trace_0018         511        98.7%        98.9%
trace_0019         318        98.8%        98.8%
trace_0020         492        98.9%        98.9%
trace_0021         454        98.6%        98.6%
trace_0022         246        61.5%        95.9%
trace_0023          25        98.1%        98.1%
trace_0024         492        98.9%        98.9%
trace_0025        1140        98.5%        98.5%
trace_0026         745        93.8%        96.6%
trace_0027          32        98.2%        98.2%
trace_0028         166        99.1%        99.1%
trace_0029         301        98.1%        98.1%
trace_0030         586        98.6%        98.6%
trace_0031         244        99.2%        99.2%
trace_0032         523        98.6%        98.6%
trace_0033         345        98.4%        98.4%
trace_0034         651        98.3%        98.7%
trace_0035         536        98.4%        98.4%
trace_0036         167        98.5%        98.5%
trace_0037         143        99.5%        99.5%
trace_0038        2321        96.0%        98.7%
trace_0039        1077        97.0%        98.4%
trace_0040          70        96.8%        96.8%
trace_0041          50        95.7%        95.7%
trace_0042        1120        98.7%        98.7%
trace_0043         852        98.7%        98.7%
trace_0044        1050        50.1%        95.8%
trace_0045         492        98.9%        98.9%
trace_0046         137        98.4%        98.4%
trace_0047         554        98.2%        98.2%
trace_0048         286        99.0%        99.0%
trace_0049          35        97.0%        97.0%
trace_0050        1553        97.4%        98.2%
trace_0051           6        98.0%        98.0%
trace_0052         286        99.0%        99.0%
trace_0053         481        99.1%        99.1%
trace_0054         175        98.5%        98.5%
trace_0055         747        98.7%        98.9%
trace_0056         252        98.9%        98.9%
trace_0057         408        98.4%        98.4%
trace_0058         211        98.8%        98.8%
trace_0059          58        98.9%        98.9%
trace_0060        1680        41.5%        92.5%
trace_0061         901        98.5%        98.5%
trace_0062         131        97.8%        97.8%
trace_0063          79        98.2%        98.2%
trace_0064         142        98.8%        98.8%
trace_0065         200        99.3%        99.3%
trace_0066         194        98.0%        98.0%
trace_0067         245        99.0%        99.0%
trace_0068         178        98.6%        98.6%
trace_0069          19        96.0%        96.0%
trace_0070         224        99.1%        99.1%
trace_0071          21        95.4%        95.4%
trace_0072          88        98.4%        98.4%
trace_0073         145        99.0%        99.0%
trace_0074         152        99.2%        99.2%
trace_0075         149        98.2%        98.2%
trace_0076         188        98.6%        98.6%
trace_0077          50        96.2%        96.2%
trace_0078         164        99.2%        99.2%
trace_0079          28        96.7%        96.7%
trace_0080         245        98.9%        98.9%
trace_0081         146        99.0%        99.0%
trace_0082         102        98.5%        98.5%
trace_0083         200        99.3%        99.3%
trace_0084         207        99.3%        99.3%
trace_0085         157        98.6%        98.6%
trace_0086         297        98.5%        98.5%
trace_0087         145        97.5%        97.5%
trace_0088         114        99.0%        99.0%
trace_0089         227        97.7%        97.7%
trace_0090          39        97.7%        97.7%
trace_0091          14        91.7%        91.7%
trace_0092         110        98.6%        98.6%
trace_0093         134        99.0%        99.0%
trace_0094         247        99.4%        99.4%
trace_0095         235        98.8%        98.8%
trace_0096         157        99.0%        99.0%
trace_0097         333        98.7%        98.7%
trace_0098         229        98.5%        98.5%
trace_0099          22        96.6%        96.6%
trace_0100         277        99.2%        99.2%
trace_0101         121        98.9%        98.9%
trace_0102         152        99.3%        99.3%
trace_0103         206        99.0%        99.0%
trace_0104           7        77.4%        77.4%
trace_0105         115        97.9%        97.9%
trace_0106         239        98.3%        98.3%
trace_0107          40        95.1%        95.1%
trace_0108         173        98.2%        98.2%
trace_0109         122        99.2%        99.2%
trace_0110         145        98.9%        98.9%
trace_0111         153        99.0%        99.0%
trace_0112         103        96.1%        96.1%
trace_0113         183        99.2%        99.2%
trace_0114         157        97.9%        97.9%
trace_0115          72        97.5%        97.5%
trace_0116         339        99.7%        99.7%
trace_0117         134        99.1%        99.1%
trace_0118         203        98.7%        98.7%
trace_0119         337        98.4%        98.4%
trace_0120         157        99.0%        99.0%
trace_0121          33        97.0%        97.0%
trace_0122         569        76.1%        98.8%
trace_0123         213        98.8%        98.8%
trace_0124         193        99.0%        99.0%
trace_0125         205        99.2%        99.2%
trace_0126         313        99.2%        99.2%
trace_0127         199        98.7%        98.7%
trace_0128         143        98.3%        98.3%
trace_0129          14        96.1%        96.1%
trace_0130         285        99.5%        99.5%
trace_0131         185        99.2%        99.2%
trace_0132         144        98.4%        98.4%
trace_0133         193        99.4%        99.4%
trace_0134         197        99.3%        99.3%
trace_0135          70        98.6%        98.6%
trace_0136         127        98.8%        98.8%
trace_0137         456        98.7%        98.7%
trace_0138         266        98.9%        98.9%
trace_0139         117        98.7%        98.7%
trace_0140         116        98.4%        98.4%
trace_0141         191        99.3%        99.3%
trace_0142          65        98.0%        98.0%
trace_0143         170        98.9%        98.9%
trace_0144         147        98.9%        98.9%
trace_0145         128        98.9%        98.9%
trace_0146         158        99.1%        99.1%
trace_0147         187        98.4%        98.4%
trace_0148         445        99.2%        99.2%
trace_0149         424        99.4%        99.4%
