Neon Traces Cache Hit Rates
===========================================================================
Trace            Session ID        Reqs  Same-Model%  Cumulative%
---------------------------------------------------------------------------
trace_0001       8844491a-6c4d      459         8.1%        27.1%
trace_0002       0b0418f5-c4b4      190        97.2%        97.2%
trace_0003       79e9a7a1-de40       22        39.7%        39.7%
trace_0004       b30c4141-a516      103        40.6%        48.2%
trace_0005       2c9b3bb2-df67       99        97.0%        97.0%
trace_0006       bffb0255-1e9a      755        90.4%        90.8%
trace_0007       1fe7048a-237a      534        91.8%        91.8%
trace_0008       ef665b49-ae83      966        94.4%        95.0%
trace_0009       4d25e02f-ff6f       22        18.8%        18.9%
trace_0010       1ef16b28-0a3c      184        91.8%        91.8%
trace_0011       9cbe954e-3746      148        77.0%        79.0%
trace_0012       011b89c3-6292      193        82.1%        82.5%
trace_0013       057ab6f2-0ef7      135        63.5%        63.5%
trace_0014       22841f45-7e13      912        62.0%        63.7%
trace_0015       9807303a-8b1f      787        85.0%        85.1%
trace_0016       30515efa-e8c4       89        87.0%        89.6%
trace_0017       9c952611-940f       28        39.8%        39.9%
trace_0018       307319db-f28d       48        57.5%        57.5%
trace_0019       493172d7-8d90       82        22.9%        24.1%
trace_0020       475044ad-a0ad      773        73.5%        73.9%
trace_0021       32217e26-23d4      333        91.6%        92.3%
trace_0022       765787d1-07bf      129        77.0%        77.0%
trace_0023       4411bdbd-212e      190        75.0%        78.0%
trace_0024       1aa1e86e-f133      289        65.6%        72.4%
trace_0025       f194ca9d-ae37      757        52.9%        64.1%
trace_0026       8a138954-083e      188        73.4%        73.8%
trace_0027       460ca94d-fd1c       24        94.7%        94.7%
trace_0028       4c138a45-ad64       73        51.1%        51.1%
trace_0029       5431bae9-d1f6       58        49.6%        49.6%
trace_0030       c506eb57-be2b      694        71.6%        84.1%
trace_0031       9a5dd5f0-8355       58        27.5%        27.9%
trace_0032       c9916064-1d22      194        69.6%        72.3%
trace_0033       e358a6f7-4ad3      160        58.1%        69.8%
trace_0034       e2615d31-7e77       55        53.0%        53.0%
trace_0035       c407e9ea-6459       65        43.9%        43.9%
trace_0036       9bbf1c68-1e91      433        81.1%        81.1%
trace_0037       46d7ff77-3a8d      153        53.3%        67.2%
trace_0038       75c45216-bb75      346        27.8%        28.5%
trace_0039       e2dbe8ce-db47       81        62.1%        62.1%
trace_0040       f705898d-1c21       94        39.7%        39.7%
trace_0041       5f76088b-20ed       24        11.3%        11.4%
trace_0042       44355384-599c      134        61.3%        66.1%
trace_0043       0684e2c0-ea4f       41        37.6%        37.6%
trace_0044       3738ce08-aab8       26        11.7%        19.3%
trace_0045       a2887e0a-9fe6     2654        68.8%        89.8%
trace_0046       f02a18f5-e64d       47        58.5%        58.5%
trace_0047       106edeb3-3837       25        26.5%        26.5%
trace_0048       606507b4-2580       34        60.1%        60.7%
trace_0049       c35a74fe-8b8d      164        94.9%        96.2%
trace_0050       ed5a089e-a2a3      123        75.1%        76.2%
trace_0051       55874e63-04d4      136        61.1%        61.1%
trace_0052       fed61977-ff4e       94        84.5%        84.5%
trace_0053       0755149e-18af      131        62.0%        62.0%
trace_0054       07b1853e-56a9       77        60.7%        60.7%
trace_0055       05273eef-05e8      245        62.9%        72.3%
trace_0056       def9e708-9542       58        51.6%        51.6%
trace_0057       48a3a807-cf9b       36        49.3%        49.3%
trace_0058       5b1a1446-723f      134        29.6%        29.6%
trace_0059       1459c68f-2f8c      129        14.2%        65.6%
trace_0060       598f609a-8744      359        46.7%        47.3%
trace_0061       aaf9d4f3-1789      325        75.6%        77.3%
trace_0062       8553fd1f-9479      177        65.5%        65.5%
trace_0063       54be870a-19a4       72        62.9%        62.9%
trace_0064       96f29789-3c63       43        90.0%        90.0%
trace_0065       158532e3-b3fc       22        28.4%        28.4%
trace_0066       8b1f17d0-6969      796         6.4%        76.5%
trace_0067       9018cafa-1d68      138        60.3%        60.3%
trace_0068       3575c35b-566a       41        50.4%        50.4%
trace_0069       c2f87903-5895       37        68.8%        68.8%
trace_0070       1096824f-cd0f      480        79.0%        80.2%
trace_0071       758ee0d8-3d7c      182        77.4%        83.3%
trace_0072       db802acb-583d     1347        88.9%        90.8%
trace_0073       eb95b78c-3bfd      276        54.8%        69.5%
trace_0074       b0fe465c-6909     1019        86.6%        89.8%
trace_0075       d83c5a27-3931      545        90.4%        91.1%
trace_0076       09b6378f-0270      288        43.4%        68.8%
trace_0077       761f1410-0853       20        62.0%        62.0%
trace_0078       0f209d31-0e7d      969        74.5%        80.6%
